UID,ID10,SEX,SHDAY,DAYSH,BGRP,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
00SH00001,1998109859,2,2000-03-06,66,1,10,S9859,11.0,62,3,NO FLEECE ?,42,2.0,177,2000-04-27,1,82,00
00SH00002,1996107120,2,2000-03-06,66,1,10,S7120,9.2,60,4,,07,4.0,156,2000-04-20,1,0,00
00SH00003,1996445557,2,2000-03-06,66,1,44,T5557,12.2,58,5,,02,4.0,198,2000-04-27,1,0,00
00SH00004,1998109399,2,2000-03-06,66,1,10,S9399,10.6,64,2,,43,2.0,171,2000-04-27,1,71,00
00SH00005,1994637058,2,2000-03-06,66,1,63,K7058,9.4,54,7,,06,6.0,150,2000-04-24,2,0,00
00SH00006,1996106949,2,2000-03-06,66,1,10,S6949,9.0,64,2,,43,4.0,152,2000-05-01,2,0,00
00SH00007,1998109558,2,2000-03-06,66,1,10,S9558,10.6,62,3,,07,2.0,161,2000-04-20,1,68,00
00SH00008,1996107060,2,2000-03-06,66,1,10,S7060,10.6,60,4,,42,4.0,151,2000-04-27,1,0,00
00SH00009,1994637284,2,2000-03-06,66,1,63,K7284,14.4,58,5,HEAVY,06,6.0,216,2000-04-20,1,0,00
00SH00010,1995638078,2,2000-03-06,66,1,63,K8078,13.0,56,6,,06,5.0,215,2000-04-27,1,0,00
00SH00011,1995105848,2,2000-03-06,66,1,10,S5848,12.0,62,3,,42,5.0,206,2000-05-08,1,0,00
00SH00012,1994104478,2,2000-03-06,66,1,10,S4478,11.2,62,3,,42,6.0,183,2000-05-08,1,0,00
00SH00013,1996107128,2,2000-03-06,66,1,10,S7128,11.6,64,2,,43,4.0,186,2000-04-20,1,0,00
00SH00014,1994637482,2,2000-03-06,66,1,63,K7482,11.4,58,5,,06,6.0,204,2000-04-20,1,0,00
00SH00015,1997108326,2,2000-03-06,66,1,10,S8326,10.6,62,3,,07,3.0,153,2000-04-27,1,0,00
00SH00016,1996638686,2,2000-03-06,66,1,63,K8686,9.6,60,4,,05,4.0,197,2000-04-20,1,0,00
00SH00017,1996106872,2,2000-03-06,66,1,10,S6872,10.2,60,4,,07,4.0,187,2000-05-01,2,0,00
00SH00018,1995105923,2,2000-03-06,66,1,10,S5923,9.6,62,3,,07,5.0,158,2000-04-20,1,0,00
00SH00019,1997639308,2,2000-03-06,66,1,63,K9308,10.6,62,3,,06,3.0,156,2000-04-24,2,0,00
00SH00020,1994105305,2,2000-03-06,66,1,10,S5305,10.2,62,3,,42,6.0,173,2000-04-24,2,0,00
00SH00021,1997107890,2,2000-03-06,66,1,10,S7890,10.4,64,2,,07,3.0,165,2000-04-20,1,0,00
00SH00022,1995105916,2,2000-03-06,66,1,10,S5916,11.6,62,3,,43,5.0,187,2000-04-27,1,0,00
00SH00023,1995105784,2,2000-03-06,66,1,10,S5784,11.4,62,3,,07,5.0,185,2000-04-24,2,0,00
00SH00024,1996638771,2,2000-03-06,66,1,63,K8771,12.0,56,6,,06,4.0,203,2000-05-01,2,0,00
00SH00025,1998109393,2,2000-03-06,66,1,10,S9393,8.8,64,2,,07,2.0,130,2000-04-20,1,60,00
00SH00026,1996106960,2,2000-03-06,66,1,10,S6960,12.0,64,2,,07,4.0,203,2000-06-01,3,0,00
00SH00027,1998640241,2,2000-03-06,66,1,64,K0241,10.6,60,4,,06,2.0,190,2000-04-20,1,78,00
00SH00028,1997108537,2,2000-03-06,66,1,10,S8537,12.2,64,2,,42,3.0,172,2000-04-20,1,0,00
00SH00029,1997108187,2,2000-03-06,66,1,10,S8187,11.4,60,4,,07,3.0,167,2000-05-23,2,0,00
00SH00030,1998109209,2,2000-03-06,66,1,10,S9209,9.2,64,2,,07,2.0,156,2000-04-20,1,73,00
00SH00031,1998446510,2,2000-03-06,66,1,44,T6510,9.2,60,4,,02,2.0,187,2000-04-20,1,0,00
00SH00032,1996107518,2,2000-03-06,66,1,10,S7518,10.2,62,3,,07,4.0,189,2000-04-27,1,0,00
00SH00033,1995106272,2,2000-03-06,66,1,10,S6272,10.6,60,4,,07,5.0,200,2000-05-01,2,0,00
00SH00034,1994637214,2,2000-03-06,66,1,63,K7214,12.4,56,6,,06,6.0,227,2000-04-20,1,0,00
00SH00035,1997108382,2,2000-03-06,66,1,10,S8382,13.8,60,4,HEAVY,07,3.0,157,2000-04-20,1,0,00
00SH00036,1997639307,2,2000-03-06,66,1,63,K9307,10.8,60,4,,06,3.0,213,2000-05-01,2,0,00
00SH00037,1996107546,2,2000-03-06,66,1,10,S7546,8.6,62,3,,43,4.0,199,2000-04-24,2,0,00
00SH00038,1995637954,2,2000-03-06,66,1,63,K7954,10.6,58,5,,06,5.0,178,2000-04-20,1,0,00
00SH00039,1997446287,2,2000-03-06,66,1,44,T6287,9.6,62,3,,02,3.0,186,2000-04-20,1,0,00
00SH00040,1994104801,2,2000-03-06,66,1,10,S4801,8.0,62,3,,07,6.0,166,2000-04-20,1,0,00
00SH00041,1997107913,2,2000-03-06,66,1,10,S7913,12.2,62,3,,43,3.0,153,2000-05-01,2,0,00
00SH00042,1998109604,2,2000-03-06,66,1,10,S9604,10.4,62,3,,07,2.0,149,2000-05-23,2,81,00
00SH00043,1994104668,2,2000-03-06,66,1,10,S4668,11.2,62,3,,07,6.0,185,,K,0,00
00SH00044,1996107461,2,2000-03-06,66,1,10,S7461,12.0,62,3,,07,4.0,163,2000-04-27,1,0,00
00SH00045,1997108388,2,2000-03-06,66,1,10,S8388,9.2,60,4,,43,3.0,183,2000-04-27,1,0,00
00SH00046,1996106993,2,2000-03-06,66,1,10,S6993,11.0,60,4,,42,4.0,172,2000-05-01,2,0,00
00SH00047,1997108212,2,2000-03-06,66,1,10,S8212,9.6,60,4,,42,3.0,146,2000-04-24,2,0,00
00SH00048,1997639964,2,2000-03-06,66,1,63,K9964,9.0,58,5,,05,3.0,164,2000-05-17,H,0,00
00SH00049,1995105919,2,2000-03-06,66,1,10,S5919,10.4,60,4,,07,5.0,195,2000-05-08,1,0,00
00SH00050,1997108280,2,2000-03-06,66,1,10,S8280,8.8,64,2,,43,3.0,159,2000-05-08,1,0,00
00SH00051,1997107996,2,2000-03-06,66,1,10,S7996,10.8,64,2,,07,3.0,161,2000-04-24,2,0,00
00SH00052,1998640251,2,2000-03-06,66,1,64,K0251,11.6,60,4,,06,2.0,200,2000-04-20,1,83,00
00SH00053,1997108897,2,2000-03-06,66,1,10,S8897,9.8,64,2,,07,3.0,182,2000-05-08,1,0,00
00SH00054,1997107787,2,2000-03-06,66,1,10,S7787,10.2,62,3,,07,3.0,166,2000-04-20,1,0,00
00SH00055,1996445467,2,2000-03-06,66,1,44,T5467,10.8,64,2,,02,4.0,196,2000-05-01,2,0,00
00SH00056,1997639602,2,2000-03-06,66,1,63,K9602,12.2,58,5,,05,3.0,172,2000-04-27,1,0,00
00SH00057,1997639941,2,2000-03-06,66,1,63,K9941,10.6,56,6,,05,3.0,0,,*,0,00
00SH00058,1996107422,2,2000-03-06,66,1,10,S7422,13.6,60,4,,43,4.0,162,2000-04-20,1,0,00
00SH00059,1997108102,2,2000-03-06,66,1,10,S8102,10.2,60,4,,07,3.0,167,2000-04-27,1,0,00
00SH00060,1998640270,2,2000-03-06,66,1,64,K0270,10.8,62,3,,05,2.0,153,2000-04-27,1,0,00
00SH00061,1996107467,2,2000-03-06,66,1,10,S7467,8.8,62,3,,07,4.0,188,2000-05-08,1,0,00
00SH00062,1998109437,2,2000-03-06,66,1,10,S9437,10.4,60,4,,43,2.0,170,2000-04-20,1,84,00
00SH00063,1994105088,2,2000-03-06,66,1,10,S5088,13.4,62,3,,41,6.0,148,2000-04-27,1,0,00
00SH00064,1998446437,2,2000-03-06,66,1,44,T6437,9.8,64,2,,02,2.0,200,2000-04-20,1,0,00
00SH00065,1995105890,2,2000-03-06,66,1,10,S5890,16.4,58,5,"HEAVY,CHECK?",07,5.0,167,2000-04-24,2,0,00
00SH00066,1998446596,2,2000-03-06,66,1,44,T6596,11.0,62,3,,02,2.0,186,2000-04-20,1,0,00
00SH00067,1997639632,2,2000-03-06,66,1,63,K9632,11.6,58,5,,06,3.0,231,2000-04-24,2,0,00
00SH00068,1993636718,2,2000-03-06,66,1,63,K6718,10.6,56,6,,06,7.0,206,2000-05-08,1,0,00
00SH00069,1998108998,2,2000-03-06,66,1,10,S8998,13.0,62,3,,43,2.0,178,2000-04-20,1,82,00
00SH00070,1994104616,2,2000-03-06,66,1,10,S4616,11.6,62,3,,07,6.0,177,2000-04-24,2,0,00
00SH00071,1996106924,2,2000-03-06,66,1,10,S6924,13.4,62,3,,42,4.0,179,2000-04-24,2,0,00
00SH00072,1998640413,2,2000-03-06,66,1,64,K0413,11.2,58,5,,06,2.0,194,2000-05-08,1,86,00
