UID,ETAG,DATE,DAY,KG,LBS,FLWT,GRFL
20SH00480,L1662,2020-02-20,51,102,224,70,7.0
20SH00481,L1666,2020-02-20,51,115,253,100,10.0
20SH00482,L1670,2020-02-20,51,112,245,70,7.0
20SH00483,L1686,2020-02-20,51,84,184,70,7.0
20SH00484,L1707,2020-02-20,51,114,250,100,10.0
20SH00485,L1711,2020-02-20,51,101,221,50,5.0
20SH00486,L1717,2020-02-20,51,127,278,110,11.0
20SH00487,L1734,2020-02-18,49,94,207,60,6.0
20SH00488,L1743,2020-02-20,51,99,218,60,6.0
20SH00489,L1744,2020-02-20,51,99,218,70,7.0
20SH00490,L1747,2020-02-20,51,84,184,70,7.0
20SH00491,L1749,2020-02-20,51,105,230,90,9.0
20SH00492,L1751,2020-02-20,51,91,200,90,9.0
20SH00493,L1757,2020-02-20,51,91,199,80,8.0
20SH00494,L1765,2020-02-20,51,93,205,100,10.0
20SH00495,L1774,2020-02-20,51,81,177,80,8.0
20SH00496,L1785,2020-02-20,51,88,194,40,4.0
20SH00497,L1791,2020-02-20,51,107,234,50,5.0
20SH00498,L1795,2020-02-18,49,105,231,50,5.0
20SH00499,L1800,2020-02-20,51,92,202,80,8.0
20SH00500,L1801,2020-02-20,51,98,216,90,9.0
20SH00501,L1802,2020-02-20,51,91,199,60,6.0
20SH00502,L1804,2020-02-20,51,99,218,90,9.0
20SH00503,L1815,2020-02-20,51,100,219,100,10.0
20SH00504,L1822,2020-02-20,51,97,213,70,7.0
20SH00505,L1823,2020-02-20,51,101,221,90,9.0
20SH00506,L1835,2020-02-18,49,84,185,80,8.0
20SH00507,L1841,2020-02-20,51,98,215,70,7.0
20SH00508,L1845,2020-02-19,50,103,227,70,7.0
20SH00509,L1846,2020-02-20,51,89,196,100,10.0
20SH00510,L1848,2020-02-20,51,96,211,100,10.0
20SH00511,L1854,2020-02-20,51,96,210,90,9.0
20SH00512,L1857,2020-02-18,49,107,234,100,10.0
20SH00513,L1884,2020-02-18,49,83,182,70,7.0
20SH00514,L1889,2020-02-20,51,79,174,110,11.0
20SH00515,L1895,2020-02-20,51,86,189,100,10.0
20SH00516,L1896,2020-02-20,51,85,186,90,9.0
20SH00517,L1898,2020-02-19,50,115,252,100,10.0
20SH00518,L1902,2020-02-19,50,131,288,70,7.0
20SH00519,L1903,2020-02-20,51,93,205,50,5.0
20SH00520,L1907,2020-02-20,51,103,226,70,7.0
20SH00521,L1912,2020-02-20,51,83,183,70,7.0
20SH00522,L1917,2020-02-20,51,82,179,110,11.0
20SH00523,L1920,2020-02-20,51,91,200,80,8.0
20SH00524,L1921,2020-02-20,51,106,232,90,9.0
20SH00525,L1934,2020-02-19,50,109,240,110,11.0
20SH00526,L1936,2020-02-20,51,97,213,80,8.0
20SH00527,L1937,2020-02-19,50,86,189,90,9.0
20SH00528,L1939,2020-02-20,51,93,205,70,7.0
20SH00529,L1947,2020-02-20,51,79,174,100,10.0
20SH00530,L1949,2020-02-20,51,90,198,90,9.0
20SH00531,L1954,2020-02-20,51,90,198,60,6.0
20SH00532,L1957,2020-02-18,49,90,197,60,6.0
20SH00533,L1958,2020-02-18,49,80,175,70,7.0
20SH00534,L1964,2020-02-20,51,103,226,120,12.0
20SH00535,L1974,2020-02-20,51,78,171,70,7.0
20SH00536,L1975,2020-02-20,51,126,277,80,8.0
20SH00537,L1976,2020-02-20,51,95,208,90,9.0
20SH00538,L1982,2020-02-20,51,110,242,110,11.0
20SH00539,L1983,2020-02-20,51,91,200,100,10.0
20SH00540,L1987,2020-02-20,51,104,228,80,8.0
20SH00541,L1989,2020-02-20,51,81,177,60,6.0
20SH00542,L1991,2020-02-20,51,103,226,100,10.0
20SH00543,L2003,2020-02-20,51,76,167,90,9.0
20SH00544,L2007,2020-02-20,51,99,217,50,5.0
20SH00545,L2013,2020-02-18,49,79,174,70,7.0
20SH00546,L2019,2020-02-19,50,103,227,90,9.0
20SH00547,L2025,2020-02-20,51,86,188,80,8.0
20SH00548,L2027,2020-02-20,51,81,178,70,7.0
20SH00549,L2028,2020-02-20,51,78,171,60,6.0
20SH00550,L2029,2020-02-19,50,103,227,140,14.0
20SH00551,L2030,2020-02-19,50,79,173,80,8.0
20SH00552,L2033,2020-02-20,51,87,190,70,7.0
20SH00553,L2034,2020-02-20,51,85,187,80,8.0
20SH00554,L2036,2020-02-19,50,98,216,110,11.0
20SH00555,L2037,2020-02-19,50,112,246,90,9.0
20SH00556,L2041,2020-02-19,50,98,215,90,9.0
20SH00557,L2044,2020-02-18,49,80,176,100,10.0
20SH00558,L2046,2020-02-19,50,99,218,120,12.0
20SH00559,L2047,2020-02-20,51,81,177,80,8.0
20SH00560,L2048,2020-02-20,51,82,179,80,8.0
