UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK,PSHDAY,GRFL_365,AGE
07SH00001,2003114155,11,R4155,10.0,62,3,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-18,9.9,4.0
07SH00002,1999110037,11,R0037,10.6,62,3,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-18,10.5,8.0
07SH00003,2005115396,11,R5396,12.0,62,3,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-19,11.9,2.0
07SH00004,2005115418,11,R5418,11.4,62,3,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-19,11.3,2.0
07SH00005,2001112426,11,R2426,12.8,60,4,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-18,12.7,6.0
07SH00006,2005115393,11,R5393,12.0,62,3,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-19,11.9,2.0
07SH00007,2003642989,64,K2989,11.2,62,3,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-18,11.1,4.0
07SH00008,2004114450,11,R4450,9.6,60,4,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-18,9.5,3.0
07SH00009,2005116047,11,R6047,11.0,62,3,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-19,10.9,2.0
07SH00010,2005643381,64,K3381,11.6,58,5,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-19,11.5,2.0
07SH00011,2005643513,64,K3513,11.2,56,6,2,2007-02-21,52,Band 1 Ewe,1,K3313=K3513,2006-02-19,11.1,2.0
07SH00012,2005115664,11,R5664,9.8,60,4,2,2007-02-21,52,Band 1 Ewe,1,TENDER,2006-02-19,9.7,2.0
07SH00013,2005643342,64,K3342,12.2,62,3,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-19,12.1,2.0
07SH00014,2005643522,64,K3522,12.0,58,5,2,2007-02-21,52,Band 1 Ewe,1,,2006-02-19,11.9,2.0
