UID,ID10,BRD,ETAG,SEX,LINE,GRFL,GRADE,FLGR1,SHDAY,DAYSH,BGRP,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
99SH00001,1993040424,04,A0424,2,72,7.4,58,5,1999-03-15,74,3,,30,5.5,148,1999-04-26,3,0,99
99SH00002,1994041592,04,A1592,2,73,8.4,56,6,1999-03-15,74,3,,30,4.5,151,1999-04-26,3,0,99
99SH00003,1997639558,63,K9558,2,68,7.2,60,4,1999-03-15,74,3,,06,2.0,162,1999-05-17,3,81,99
99SH00004,1997044242,04,A4242,2,73,5.8,60,4,1999-03-15,74,3,,30,2.0,129,1999-06-17,5,0,99
99SH00005,1996043105,04,A3105,2,73,8.0,60,4,1999-03-15,74,3,,30,3.0,157,1999-04-26,3,0,99
99SH00006,1997044457,04,A4457,2,73,7.0,58,5,1999-03-15,74,3,,30,2.0,151,1999-06-17,5,0,99
99SH00007,1992039385,03,L9385,2,73,6.8,58,5,1999-03-15,74,3,,30,6.5,167,1999-04-26,3,0,99
99SH00008,1995042608,04,A2608,2,73,5.8,62,3,1999-03-15,74,3,,30,3.5,149,1999-04-26,3,0,99
99SH00009,1991102255,10,S2255,2,18,8.4,60,4,1999-03-15,74,3,,07,7.5,156,1999-04-26,3,0,99
99SH00010,1995050784,05,50784,2,00,11.2,58,5,1999-03-15,74,3,,00,4.0,153,1999-04-26,3,0,99
99SH00011,1997108106,10,S8106,2,ID,11.2,60,4,1999-03-15,74,3,,43,2.0,139,1999-04-26,3,75,99
99SH00012,1996043140,04,A3140,2,73,8.4,60,4,1999-03-15,74,3,,30,3.0,148,1999-04-26,3,0,99
99SH00013,1997044716,04,A4716,2,73,5.6,58,5,1999-03-15,74,3,,30,1.5,145,1999-04-26,3,0,99
99SH00014,1997639909,63,K9909,2,68,9.6,58,5,1999-03-15,74,3,,06,2.0,149,1999-05-20,3,85,99
99SH00015,1993103952,10, 4605,2,18,7.8,62,3,1999-03-15,74,3,,07,6.0,167,1999-04-26,3,0,99
99SH00016,1997107916,10,S7916,2,18,9.2,60,4,1999-03-15,74,3,,07,2.0,158,1999-04-26,3,76,99
99SH00017,1996006273,00, 6273,2,00,10.4,58,5,1999-03-15,74,3,,00,3.0,159,1999-04-26,3,0,99
99SH00018,1995050288,05,50288,2,00,10.6,56,6,1999-03-15,74,3,,00,4.0,166,1999-04-26,3,0,99
99SH00019,1996006213,00, 6213,2,00,11.8,62,3,1999-03-15,74,3,,00,3.0,149,1999-04-26,3,0,99
99SH00020,1997044344,04,A4344,2,73,6.2,58,5,1999-03-15,74,3,,30,2.0,120,1999-04-26,3,0,99
99SH00021,1997107918,10,S7918,2,18,7.6,62,3,1999-03-15,74,3,,07,2.0,144,1999-04-26,3,66,99
99SH00022,1995050132,05,50132,2,00,10.8,60,4,1999-03-15,74,3,,00,4.0,160,1999-05-20,3,0,99
99SH00023,1994000433,00, 2099,2,00,8.4,62,3,1999-03-15,74,3,,00,5.0,186,1999-05-25,3,0,99
99SH00024,1996043805,04,A3805,2,73,6.8,62,3,1999-03-15,74,3,,30,2.5,150,1999-04-26,3,0,99
99SH00025,1995042666,04,A2666,2,73,8.6,58,5,1999-03-15,74,3,,30,3.5,148,1999-04-26,3,0,99
99SH00026,1993104192,10, 5073,2,18,5.8,62,3,1999-03-15,74,3,DEAD,07,6.0,0,,*,0,99
99SH00027,1997044556,04,A4556,2,73,9.0,62,3,1999-03-15,74,3,,30,2.0,145,1999-04-26,3,0,99
99SH00028,1995042411,04,A2411,2,73,8.4,60,4,1999-03-15,74,3,MSG,30,4.0,0,,*,0,99
99SH00029,1995042213,04,A2213,2,73,9.8,58,5,1999-03-15,74,3,,30,4.0,150,1999-04-26,3,0,99
99SH00030,1995638009,63,K8009,2,61,10.6,58,5,1999-03-15,74,3,,06,4.0,182,1999-04-26,3,0,99
99SH00031,1992039546,03,L9546,2,73,7.4,56,6,1999-03-15,74,3,?L954x,30,6.5,153,1999-04-26,3,0,99
99SH00032,1993636730,63,K6730,2,62,5.4,62,3,1999-03-15,74,3,MSG,06,6.0,0,,*,0,99
99SH00033,1996043018,04,A3018,2,73,8.4,64,2,1999-03-15,74,3,,30,3.0,162,1999-04-26,3,0,99
99SH00034,1992103114,10,  533,2,18,9.8,62,3,1999-03-15,74,3,,07,7.0,146,1999-04-26,3,0,99
99SH00035,1994041579,04,A1579,2,73,7.0,62,3,1999-03-15,74,3,"X,BLK.WOOL",30,4.5,158,1999-06-17,5,0,99
99SH00036,1995050161,05,50161,2,00,10.8,56,6,1999-03-15,74,3,,00,4.0,161,1999-05-25,3,0,99
99SH00037,1995637851,63,K7851,2,62,9.8,56,6,1999-03-15,74,3,,06,4.0,146,1999-05-20,3,0,99
99SH00038,1997108513,10,S8513,2,18,11.0,60,4,1999-03-15,74,3,,43,2.0,136,1999-04-26,3,73,99
99SH00039,1996043076,04,A3076,2,73,9.4,60,4,1999-03-15,74,3,,30,3.0,159,1999-04-26,3,0,99
99SH00040,1995042782,04,A2782,2,73,9.2,60,4,1999-03-15,74,3,?A7282,30,3.5,151,1999-04-26,3,0,99
99SH00041,1994000163,00, 4622,2,00,11.0,62,3,1999-03-15,74,3,,00,5.0,171,1999-06-01,5,0,99
99SH00042,1991038183,03,L8183,2,73,8.6,58,5,1999-03-15,74,3,,30,7.5,151,1999-04-26,3,0,99
99SH00043,1997044847,04,A4847,2,73,4.0,62,3,1999-03-15,74,3,DEAD,30,1.5,0,,*,0,99
99SH00044,1996006237,00, 6237,2,00,9.6,60,4,1999-03-15,74,3,,00,3.0,134,1999-06-17,5,0,99
99SH00045,1993104114,10, 2540,2,18,11.2,62,3,1999-03-15,74,3,,07,6.0,166,1999-04-26,3,0,99
99SH00046,1997044462,04,A4462,2,73,5.6,60,4,1999-03-15,74,3,,30,2.0,152,1999-04-26,3,0,99
99SH00047,1993104011,10,S4011,2,18,9.0,62,3,1999-03-15,74,3,,07,6.0,162,1999-04-26,3,0,99
99SH00048,1995638243,63,K8243,2,62,9.0,62,3,1999-03-15,74,3,,06,4.0,143,1999-04-26,3,0,99
99SH00049,1996043854,04,A3854,2,73,7.2,58,5,1999-03-15,74,3,,30,2.5,154,1999-04-26,3,0,99
99SH00050,1997108315,10,S8315,2,ID,10.4,60,4,1999-03-15,74,3,,07,2.0,157,1999-04-26,3,76,99
99SH00051,1996006050,00, 6050,2,00,11.4,60,4,1999-03-15,74,3,,00,3.0,173,1999-04-26,3,0,99
99SH00052,1993040531,04,A0531,2,73,7.2,58,5,1999-03-15,74,3,,30,5.5,154,1999-04-26,3,0,99
99SH00053,1995042057,04,A2057,2,73,8.8,58,5,1999-03-15,74,3,,30,4.0,142,1999-04-26,3,0,99
99SH00054,1997639475,63,K9475,2,68,9.2,58,5,1999-03-15,74,3,,06,2.0,148,1999-04-26,3,82,99
99SH00055,1997007485,00, 7485,2,00,9.8,62,3,1999-03-15,74,3,,00,2.0,199,1999-05-25,3,0,99
99SH00056,1992038860,03,L8860,2,88,7.6,62,3,1999-03-15,74,3,,30,7.0,141,1999-04-26,3,0,99
99SH00057,1997639414,63,K9414,2,68,9.0,60,4,1999-03-15,74,3,,06,2.0,139,1999-04-26,3,86,99
99SH00058,1996006087,00, 6087,2,00,9.0,60,4,1999-03-15,74,3,,00,3.0,189,1999-05-25,3,0,99
99SH00059,1997108309,10,S8309,2,ID,9.8,60,4,1999-03-15,74,3,,07,2.0,153,1999-04-26,3,78,99
99SH00060,1997639694,63,K9694,2,68,10.4,60,4,1999-03-15,74,3,,06,2.0,154,1999-04-26,3,85,99
99SH00061,1995638396,63,K8396,2,62,8.8,58,5,1999-03-15,74,3,,06,4.0,145,1999-04-26,3,0,99
