UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,LOT,RMK,ADG,DISP
12SH00001,H1399,2,,0.0,0,,0,30,Missing,,
12SH00002,H1571,2,,0.0,0,,0,30,Band 1 Ewe,,6
12SH00003,H2267,2,,0.0,0,,0,30,Missing,,
12SH00004,H2704,2,,0.0,0,,0,30,Missing,,
12SH00005,H3493,2,,10.2,102,,52,30,Band 2 Ewe,,
12SH00006,H3747,2,,0.0,0,,0,30,Band 2 Ewe,,6
12SH00007,H3794,2,,0.0,0,,0,30,Missing,,
12SH00008,H5652,2,,0.0,0,,0,30,Missing,,
12SH00009,H5668,2,,0.0,0,,0,30,Band 2 Ewe,,
12SH00010,H5684,2,,0.0,0,,0,30,Missing,,
12SH00011,H6067,2,,0.0,0,,0,30,Band 2 Ewe,,
12SH00012,H6335,2,,0.0,0,,0,30,Missing,,
12SH00013,H6682,2,,0.0,0,,0,30,Missing EL,,
12SH00014,H6973,2,,0.0,0,,0,30,Missing EL,,
12SH00015,H7134,2,,0.0,0,,0,30,Missing EL,,
12SH00016,H7376,2,,0.0,0,,0,30,Missing EL,,
12SH00017,K4633,1,,12.2,122,,54,06,Mature Ram,,
12SH00018,L0267,2,,0.0,0,,0,PC,Missing EL,,
12SH00019,L0367,2,,0.0,0,,0,PC,Pregnant EL,,6
12SH00020,L0401,2,,0.0,0,,0,PC,Missing EL,,
12SH00021,L0402,2,,5.0,50,,54,PC,Open EL,,
12SH00022,L0468,2,,0.0,0,,0,PC,Open EL,,6
12SH00023,L0546,1,,0.0,0,,0,PC,Missing,,
12SH00024,R6040,2,,0.0,0,,0,07,Missing,,
12SH00025,R6376,2,,0.0,0,,0,07,Missing,,
12SH00026,R8365,2,,0.0,0,,0,07,Missing,,
12SH00027,R8440,2,,0.0,0,,0,07,Missing,,
12SH00028,R8672,2,,0.0,0,,0,07,Missing EL,,
12SH00029,R8897,2,,0.0,0,,0,07,Missing EL,,
12SH00030,R8927,2,,0.0,0,,0,07,Missing EL,,
12SH00031,R8994,2,,0.0,0,,0,07,Missing EL,,
12SH00032,R9002,2,,0.0,0,,0,07,Missing EL,,
12SH00033,R9021,2,,0.0,0,,0,07,Missing EL,,
12SH00034,R9045,2,,0.0,0,,0,07,Missing EL,,
12SH00035,R9067,2,,0.0,0,,0,07,Missing EL,,
12SH00036,R9098,2,,0.0,0,,0,07,Missing EL,,
12SH00037,R9111,2,,0.0,0,,0,07,Missing EL,,
12SH00038,T1622,2,,0.0,0,,0,02,Band 1 Ewe,,6
12SH00039,T3806,1,,0.0,0,,0,02,Missing,,
12SH00040,X4487,2,,0.0,0,,0,CS,CS Missing,,
12SH00041,X4826,2,,9.0,90,,54,97,S,,
12SH00042,X6502,2,,4.4,44,,54,S3,S3,,
12SH00043,X7244,2,,6.8,68,,54,97,S,,
12SH00044,X7387,2,,7.4,74,,54,S3,S3,,
12SH00045,X8686,1,,11.6,116,,54,CM,Mature Ram CM,,
12SH00046,X8930,2,,0.0,0,,0,CM,CM,,6
12SH00047,X9980,1,,0.0,0,,0,CS,Missing CS,,
12SH00048,Z0003,1,,0.0,0,,0,97,Missing S,,
12SH00049,Z0158,2,,0.0,0,,0,C3,Missing EL C3,,
12SH00050,Z0182,2,,0.0,0,,0,97,Pregnant EL S,,
12SH00051,Z0289,2,,0.0,0,,0,33,Missing EL CP,,
12SH00052,Z0309,2,,0.0,0,,0,33,Missing EL CP,,
12SH00053,Z0321,2,,0.0,0,,0,33,Missing EL CP,,
12SH00054,Z0325,1,,4.0,40,,54,SC,Yrlng Ram SC,,
12SH00055,Z0340,2,,5.0,50,,53,CM,Open EL CM,,
12SH00056,Z0364,2,,0.0,0,,0,R3,Missing EL R3,,
12SH00057,Z0413,2,,0.0,0,,0,R3,Missing EL R3,,
