UID,ID9,YR,ETAG,BRD,SEX,LINE,BGRP,RGRP,GRP,AGE,BAND,DATE,TIME,SPWT,DAYSH,GRFL,GRADE,FLGR1,LOT,BRAND,RMK,L,YEAR,STM
93SH00169, 90634718,90,K4718,63,2,60,1,0,,3.0,1,0517,1435,139,137,8.2,58,5,,,"SUCK1SIDE,FLT",,93,06
93SH00170, 90634727,90,K4727,63,2,62,1,0,,3.0,2,0518,0957,166,138,13.9,54,7,,,LTS,,93,06
93SH00171, 90634728,90,K4728,63,2,68,A,0,2,3.0,1,0517,1205,168,137,11.4,54,7,,,,,93,06
93SH00172, 90634732,90,K4732,63,2,60,1,0,,3.0,5,0518,1655,156,138,8.6,64,2,,,,,93,06
93SH00173, 90634739,90,K4739,63,2,62,1,0,,3.0,5,0519,1027,168,139,10.7,60,4,,,,,93,06
93SH00174, 90634742,90,K4742,63,2,68,A,0,3,3.0,5,0517,1716,160,137,11.1,54,7,,,,,93,06
93SH00175, 90634770,90,K4770,63,2,60,1,0,,3.0,2,0518,1040,179,138,12.4,58,5,,,,,93,06
93SH00176, 90634772,90,K4772,63,2,62,1,0,,3.0,1,0517,1440,171,137,9.2,62,3,,,R.BLOODY=OK,,93,06
93SH00177, 90634792,90,K4792,63,2,62,1,0,,3.0,5,0517,1721,184,137,9.4,60,4,,,,,93,06
93SH00178, 90634798,90,K4798,63,2,62,1,0,,3.0,5,0517,1515,169,137,11.5,58,5,,,,,93,06
93SH00179, 90634799,90,K4799,63,2,60,1,0,,3.0,1,0517,1322,153,137,10.0,56,6,,,"BIGBAG,FLTS",,93,06
93SH00180, 90634801,90,K4801,63,2,62,1,0,,3.0,2,0518,1355,204,138,11.9,60,4,,,,,93,06
93SH00181, 90634812,90,K4812,63,2,68,A,0,3,3.0,5,0519,1405,141,139,7.2,62,3,,,,,93,06
93SH00182, 90634824,90,K4824,63,2,60,1,0,,3.0,1,0517,1436,155,137,7.4,62,3,,,,,93,06
93SH00183, 90634832,90,K4832,63,2,62,1,0,,3.0,5,0517,1607,153,137,10.3,58,5,,,,,93,06
93SH00184, 90634839,90,K4839,63,2,68,A,0,2,3.0,5,0527,0000,153,147,11.0,58,5,,,NOBAG,,93,06
93SH00185, 90634842,90,K4842,63,2,60,1,0,,3.0,1,0518,1118,200,138,11.4,60,4,,,,,93,06
93SH00186, 90634849,90,K4849,63,2,62,1,0,,3.0,1,0517,1145,159,137,9.7,60,4,,,FIGHTER,,93,06
