UID,ID9,YR,ETAG,BRD,SEX,LINE,BGRP,RGRP,GRP,AGE,BAND,DATE,TIME,SPWT,DAYSH,GRFL,GRADE,FLGR1,LOT,BRAND,RMK,L,YEAR,STM
93SH00220, 90635076,90,K5076,63,2,60,1,0,,3.0,5,0519,1024,157,139,10.5,58,5,,,,,93,06
93SH00221, 90635077,90,K5077,63,2,62,1,0,,3.0,5,0518,1524,155,138,10.4,56,6,,,,,93,06
93SH00222, 90635079,90,K5079,63,2,68,A,0,2,3.0,D,0517,0912,231,137,10.6,58,5,,,EWECLR3,,93,06
93SH00223, 90635082,90,K5082,63,2,60,1,0,,3.0,1,0517,1419,200,137,9.8,54,7,,,,,93,06
93SH00224, 90635084,90,K5084,63,2,62,1,0,,3.0,2,0518,0933,154,138,9.7,56,6,,,,,93,06
93SH00225, 90635096,90,K5096,63,2,62,1,0,,3.0,2,0518,0843,156,138,10.3,56,6,,,,,93,06
93SH00226, 90635106,90,K5106,63,2,68,A,0,2,3.0,1,0517,1159,161,137,10.1,62,3,,,,,93,06
93SH00227, 90635107,90,K5107,63,2,62,1,0,,3.0,1,0517,1138,176,137,9.7,58,5,,,,,93,06
93SH00228, 90635109,90,K5109,63,2,68,A,0,3,3.0,1,0517,1150,159,137,13.0,54,7,,,,,93,06
93SH00229, 90635110,90,K5110,63,2,62,1,0,,3.0,2,0518,0912,170,138,11.5,56,6,,,TENDER,,93,06
93SH00230, 91635116,91,K5116,63,2,60,1,0,,2.0,1,0517,1400,151,137,8.6,58,5,,,,,93,06
93SH00231, 91635124,91,K5124,63,2,62,1,0,,2.0,1,0518,1122,143,138,9.3,56,6,,,,,93,06
93SH00232, 91635125,91,K5125,63,2,68,A,0,2,2.0,1,0518,1112,179,138,10.7,60,4,,,NICEEWE,,93,06
93SH00233, 91635133,91,K5133,63,2,62,1,0,,2.0,1,0517,1153,163,137,9.6,56,6,,,,,93,06
93SH00234, 91635137,91,K5137,63,2,68,A,0,3,2.0,5,0517,1506,141,137,10.5,56,6,,,,,93,06
93SH00235, 91635150,91,K5150,63,2,62,1,0,,2.0,5,0518,1552,152,138,10.4,54,7,,,,,93,06
93SH00236, 91635151,91,K5151,63,2,68,A,0,2,2.0,5,0519,1426,119,139,8.3,54,7,,,,,93,06
93SH00237, 91635159,91,K5159,63,2,60,1,0,,2.0,2,0518,1201,177,138,10.4,60,4,,,,,93,06
93SH00238, 91635160,91,K5160,63,1,68,,0,,2.0,M,0519,0918,187,139,13.5,54,7,,,,70,93,06
93SH00239, 91635163,91,K5163,63,2,62,1,0,,2.0,1,0517,1434,149,137,10.8,56,6,,,,,93,06
93SH00240, 91635164,91,K5164,63,2,68,A,0,3,2.0,5,0518,1645,136,138,8.8,58,5,,,,,93,06
93SH00241, 91635165,91,K5165,63,1,68,,0,,2.0,M,0519,0929,167,139,12.8,54,7,,,,91,93,06
93SH00242, 91635171,91,K5171,63,2,60,1,0,,2.0,1,0517,1146,170,137,8.6,56,6,,,,,93,06
93SH00243, 91635173,91,K5173,63,2,62,1,0,,2.0,1,0517,1145,133,137,9.3,60,4,,,,,93,06
93SH00244, 91635179,91,K5179,63,2,60,1,0,,2.0,D,0517,0906,176,137,10.6,54,7,,,,,93,06
93SH00245, 91635180,91,K5180,63,2,62,1,0,,2.0,2,0518,1325,159,138,10.7,56,6,,,,,93,06
93SH00246, 91635183,91,K5183,63,2,62,1,0,,2.0,5,0517,1722,164,137,8.6,54,7,,,,,93,06
93SH00247, 91635201,91,K5201,63,2,62,1,0,,2.0,1,0517,1318,154,137,11.6,56,6,,,,,93,06
93SH00248, 91635202,91,K5202,63,2,68,A,0,3,2.0,2,0518,0927,170,138,12.1,54,7,,,,,93,06
93SH00249, 91635203,91,K5203,63,2,60,1,0,,2.0,1,0517,1131,146,137,11.2,56,6,,,,,93,06
93SH00250, 91635204,91,K5204,63,1,68,,0,,2.0,M,0519,0918,196,139,13.3,60,4,,,,81,93,06
93SH00251, 91635205,91,K5205,63,1,68,,0,,2.0,M,0519,0856,196,139,13.8,60,4,,,CHK.FACE,61,93,06
93SH00252, 91635206,91,K5206,63,2,62,1,0,,2.0,1,0517,1129,158,137,9.0,56,6,,,,,93,06
93SH00253, 91635211,91,K5211,63,2,60,1,0,,2.0,2,0518,1051,179,138,12.0,56,6,,,,,93,06
93SH00254, 91635228,91,K5228,63,2,62,1,0,,2.0,1,0517,1415,141,137,8.0,56,6,,,,,93,06
93SH00255, 91635230,91,K5230,63,2,68,A,0,3,2.0,2,0518,1353,209,138,11.0,54,7,,,,,93,06
93SH00256, 91635238,91,K5238,63,2,60,1,0,,2.0,5,0518,1653,162,138,13.9,54,7,,,,,93,06
93SH00257, 91635242,91,K5242,63,1,68,,0,,2.0,M,0519,0907,176,139,12.6,58,5,,,,65,93,06
93SH00258, 91635246,91,K5246,63,2,62,1,0,,2.0,5,0519,1357,153,139,9.5,58,5,,,,,93,06
93SH00259, 91635247,91,K5247,63,1,68,,0,,2.0,M,0519,0923,179,139,14.2,54,7,,,,71,93,06
93SH00260, 91635252,91,K5252,63,2,60,1,0,,2.0,2,0518,0912,140,138,9.9,58,5,,,,,93,06
93SH00261, 91635253,91,K5253,63,2,62,1,0,,2.0,5,0517,1517,163,137,13.0,56,6,,,,,93,06
93SH00262, 91635255,91,K5255,63,2,60,1,0,,2.0,1,0517,1135,141,137,7.5,62,3,,,,,93,06
93SH00263, 91635260,91,K5260,63,2,62,1,0,,2.0,2,0518,1328,169,138,11.1,56,6,,,,,93,06
93SH00264, 91635266,91,K5266,63,2,68,A,0,2,2.0,5,0517,1550,143,137,10.0,54,7,,,,,93,06
93SH00265, 91635267,91,K5267,63,2,60,1,0,,2.0,5,0517,1659,153,137,10.1,58,5,,,,,93,06
93SH00266, 91635268,91,K5268,63,2,62,1,0,,2.0,1,0517,1441,163,137,11.4,56,6,,,,,93,06
93SH00267, 91635269,91,K5269,63,2,68,A,0,3,2.0,2,0517,0851,177,137,11.1,58,5,,,,,93,06
93SH00268, 91635274,91,K5274,63,2,60,1,0,,2.0,2,0518,0914,143,138,9.7,56,6,,,,,93,06
93SH00269, 91635289,91,K5289,63,2,68,A,0,2,2.0,2,0518,1206,206,138,10.5,54,7,,,,,93,06
93SH00270, 91635290,91,K5290,63,2,60,1,0,,2.0,1,0517,1159,151,137,7.6,58,5,,,,,93,06
93SH00271, 91635295,91,K5295,63,2,62,1,0,,2.0,1,0517,1153,151,137,13.2,56,6,,,,,93,06
93SH00272, 91635299,91,K5299,63,2,68,1,7,S,2.0,S,0517,1508,141,137,8.4,60,4,SPG,,,,93,06
93SH00273, 91635306,91,K5306,63,2,60,1,0,,2.0,2,0518,0930,165,138,9.7,60,4,,,,,93,06
