UID,ID,GRFL,FLWT,DAY,STM,CATEGORY,AGE
16SH00001,H4591,8.4,84,43,30,Bleeder,7.0
16SH00002,H4823,5.2,52,43,30,Bleeder,7.0
16SH00003,H4891,6.6,66,44,30,,7.0
16SH00004,H5213,9.8,98,43,30,Bleeder,7.0
16SH00005,H5319,7.4,74,43,30,Bleeder,7.0
16SH00006,H5430,6.4,64,43,30,Bleeder,7.0
16SH00007,H5484,7.6,76,43,30,Bleeder,7.0
16SH00008,H5570,6.8,68,43,30,Bleeder,6.0
16SH00009,H5592,7.2,72,43,30,Bleeder,6.0
16SH00010,H5686,6.6,66,44,30,,6.0
16SH00011,H5693,5.8,58,43,30,Bleeder,6.0
16SH00012,H5696,4.0,40,43,30,Bleeder,6.0
16SH00013,H5706,6.2,62,43,30,Bleeder,6.0
16SH00014,H5711,8.6,86,43,30,Bleeder,6.0
16SH00015,H5725,6.2,62,43,30,Bleeder,6.0
16SH00016,H5730,8.0,80,43,30,Bleeder,6.0
16SH00017,H5751,7.6,76,43,30,Bleeder,6.0
16SH00018,H5752,7.6,76,43,30,Bleeder,6.0
16SH00019,H5768,6.8,68,43,30,Bleeder,6.0
16SH00020,H5784,8.6,86,43,30,Bleeder,6.0
16SH00021,H5842,5.6,56,43,30,Bleeder,6.0
16SH00022,H5843,7.4,74,43,30,Bleeder,6.0
16SH00023,H5844,7.0,70,43,30,Bleeder,6.0
16SH00024,H5886,7.4,74,43,30,Bleeder,6.0
16SH00025,H5900,13.2,132,43,30,Bleeder,6.0
16SH00026,H5933,8.4,84,43,30,Bleeder,6.0
16SH00027,H5970,6.2,62,43,30,Bleeder,6.0
16SH00028,H5998,8.6,86,43,30,Bleeder,6.0
16SH00029,H6016,5.4,54,43,30,Bleeder,6.0
16SH00030,H6032,7.2,72,43,30,Bleeder,6.0
16SH00031,H6037,5.5,55,44,30,,6.0
16SH00032,H6052,5.5,55,44,30,,6.0
16SH00033,H6058,7.2,72,43,30,Bleeder,6.0
16SH00034,H6064,7.7,77,44,30,,6.0
16SH00035,H6068,4.6,46,43,30,Bleeder,6.0
16SH00036,H6094,8.0,80,43,30,Bleeder,6.0
