UID,ID,SEX,FLWT,GRFL,DAY,STM,RMK
18SH00001,H6539,2,80,8.0,43,30,INCR.RR
18SH00002,H6597,2,66,6.6,43,30,SRS.MORE
18SH00003,H6601,2,82,8.2,43,30,4TEATS
18SH00004,H6632,2,70,7.0,43,30,TerminalOnly
18SH00005,H6634,2,70,7.0,43,30,TerminalOnly
18SH00006,H6671,2,84,8.4,43,30,TerminalOnly
18SH00007,H6672,2,66,6.6,43,30,TerminalOnly
18SH00008,H6680,2,86,8.6,43,30,TerminalOnly
18SH00009,H6729,2,82,8.2,43,30,TerminalOnly
18SH00010,H6739,2,70,7.0,43,30,Bad eye
18SH00011,H6751,2,68,6.8,43,30,TerminalOnly
18SH00012,H6807,2,78,7.8,43,30,TerminalOnly
18SH00013,H6832,2,92,9.2,43,30,4TEATS  SCOUR
18SH00014,H6848,2,80,8.0,43,30,TerminalOnly
18SH00015,H6885,2,68,6.8,43,30,TerminalOnly
18SH00016,H6900,2,64,6.4,43,30,TerminalOnly
18SH00017,H6921,2,56,5.6,43,30,TerminalOnly
18SH00018,H6925,2,52,5.2,43,30,TerminalOnly
18SH00019,H7023,2,96,9.6,43,30,TerminalOnly
18SH00020,H7124,2,94,9.4,43,30,TerminalOnly
18SH00021,H7162,2,122,12.2,43,30,TerminalOnly
18SH00022,H7179,2,78,7.8,43,30,TerminalOnly
18SH00023,H7186,2,76,7.6,43,30,TerminalOnly
18SH00024,H7245,2,94,9.4,43,30,TerminalOnly
18SH00025,H7379,2,80,8.0,43,30,TerminalOnly
18SH00026,H7418,2,74,7.4,43,30,LameRF
18SH00027,H7423,2,102,10.2,43,30,.
18SH00028,H7426,2,54,5.4,43,30,TerminalOnly
18SH00029,H7439,2,92,9.2,43,30,2ND
18SH00030,H7496,2,96,9.6,43,30,SCOURS
18SH00031,H7497,2,50,5.0,43,30,DRY
18SH00032,H7498,2,72,7.2,43,30,WARTS
18SH00033,H7592,2,82,8.2,43,30,Missed'15Spwt
18SH00034,H7601,2,78,7.8,43,30,CHUNKSRSD
18SH00035,H7612,2,88,8.8,43,30,TerminalOnly
18SH00036,H7621,2,66,6.6,43,30,ADRU Term
18SH00037,H7767,2,62,6.2,43,30,TerminalOnly
18SH00038,H7848,2,66,6.6,43,30,SNOT NOSE
18SH00039,H7866,2,88,8.8,43,30,NOMETALTAGS
18SH00040,H7877,2,80,8.0,43,30,SNOTTY.NOSE
18SH00041,H7892,2,70,7.0,43,30,LSMORE
18SH00042,H7935,2,156,15.6,43,30,ADRU Term
18SH00043,H7947,2,92,9.2,43,30,TerminalOnly
18SH00044,H7986,2,62,6.2,43,30,.
18SH00045,H8005,2,108,10.8,43,30,DRY
18SH00046,H8036,2,96,9.6,43,30,.
18SH00047,H8054,2,86,8.6,43,30,TurnedOutNice
18SH00048,H8063,2,74,7.4,43,30,TerminalOnly
18SH00049,H8097,2,92,9.2,43,30,FEVER.INC.RR
18SH00050,H8120,2,88,8.8,43,30,TerminalOnly
18SH00051,H8135,2,84,8.4,43,30,ADRU Term
18SH00052,H8146,2,106,10.6,43,30,.
18SH00053,H8154,2,72,7.2,44,30,TerminalOnly
18SH00054,H8155,2,68,6.8,43,30,DRY
18SH00055,H8209,2,92,9.2,43,30,TerminalOnly
18SH00056,H8248,2,96,9.6,43,30,LSDBLOODY
18SH00057,H8262,2,64,6.4,43,30,TerminalOnly
