UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
24PR00001,A1770,2,30,,23,1.0,2.6,6.5,3+,,1ST,26.7,6.7,24.9,72.5,
24PR00002,A1771,2,30,,23,1.0,2.2,5.5,3+,,2ND,28.2,6.5,23.1,66.7,
24PR00003,A1774,2,30,,23,1.0,2.2,5.5,3-,,.,25.3,4.2,16.6,89.0,
24PR00004,A1775,2,30,,23,1.0,2.8,7.0,3,,.,27.8,5.3,19.2,70.3,
24PR00005,A1777,2,30,,23,1.0,2.2,5.5,3+,,.,23.9,5.5,22.9,86.9,
24PR00006,A1779,2,30,,23,1.0,2.6,6.5,2,,.,26.4,5.4,20.4,77.7,
24PR00007,A1782,1,30,,23,1.0,2.2,5.5,3+,1,2ND,26.7,4.7,17.5,79.8,56
24PR00008,A1785,1,30,,23,1.0,2.4,6.0,2-,2,.,26.6,4.3,16.3,82.3,56
24PR00009,A1787,1,30,,23,1.0,2.4,6.0,3,5,Scurs,28.7,5.4,18.9,67.0,54
24PR00010,A1789,2,30,,23,1.0,2.6,6.5,4,,.,25.2,5.9,23.6,81.1,
24PR00400,T8372,2,02,,23,1.0,2.0,5.0,3-,,.,20.7,3.8,18.2,99.3,
24PR00401,T8374,1,02,,23,1.0,2.0,5.0,3-,2,Scurs,19.9,4.2,20.8,98.9,70
24PR00402,T8376,2,02,,23,1.0,2.0,5.0,4+,,.,20.8,3.6,17.3,99.6,
24PR00403,T8380,2,02,,23,1.0,2.0,5.0,4,,.,20.2,3.6,17.6,98.9,
24PR00404,T8381,1,02,,23,1.0,2.0,5.0,3,2,.,20.7,3.8,18.2,99.7,64
24PR00405,T8384,1,02,,23,1.0,1.6,4.0,3,1,.,20.8,4.1,19.6,98.6,64
24PR00406,T8385,2,02,,23,1.0,2.2,5.5,3,,.,22.1,4.2,18.9,97.2,
24PR00407,T8390,1,02,,23,1.0,1.8,4.5,4,1,.,22.0,3.7,17.0,99.0,64
24PR00408,T8396,2,02,,23,1.0,2.0,5.0,3-,,.,18.2,3.9,21.3,99.9,
24PR00409,T8397,1,02,,23,1.0,1.4,3.5,3,1,.,19.0,3.9,20.3,99.6,80
