UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
23PR00001,A1468,2,30,,22,1.0,3.9,10.0,,,.,26.8,4.6,17.0,82.8,56
23PR00002,A1471,2,30,,22,1.0,2.8,7.0,,,.,24.1,5.9,24.5,85.7,60
23PR00003,A1476,2,30,,22,1.0,3.0,7.5,,,.,27.3,4.7,17.3,79.0,56
23PR00004,A1479,1,30,,22,1.0,2.5,6.3,,,Loose,23.6,4.4,18.8,93.4,60
23PR00005,A1481,1,30,,22,1.0,2.5,6.3,,,.,24.9,4.4,17.7,90.1,60
23PR00006,A1482,2,30,,22,1.0,2.8,7.0,,,.,24.7,3.7,15.2,95.6,60
23PR00007,A1483,2,30,,22,1.0,2.8,7.0,,,1ST,25.7,5.0,19.5,85.4,58
23PR00008,A1493,2,30,,22,1.0,3.5,9.0,,,.,29.9,6.4,21.5,57.9,50
23PR00009,A1496,1,30,,22,1.0,2.7,6.8,,,.,26.5,4.1,15.6,84.5,56
23PR00010,A1502,2,30,,22,1.0,2.1,5.3,,,.,23.2,3.6,15.7,97.6,62
23PR00385,X0118,2,02,,22,1.0,,,,,HAIRY,,,,,
23PR00386,X0119,1,02,,22,1.0,2.7,6.8,,,.,19.6,3.5,17.7,99.3,70
23PR00387,X0140,1,02,,22,1.0,3.1,7.8,,,.,21.1,3.9,18.4,98.2,64
23PR00388,X0192,1,02,,22,1.0,2.8,7.0,,,.,22.2,4.0,18.1,97.8,62
23PR00389,X0194,1,02,,22,1.0,2.5,6.3,,,.,22.5,4.6,20.6,93.0,62
23PR00390,X0195,1,02,,22,1.0,1.8,4.5,,,.,21.3,3.5,16.5,99.1,64
23PR00391,X0223,1,02,,22,1.0,3.3,8.5,,,1ST,22.0,4.5,20.5,96.8,64
23PR00392,X0287,1,02,,22,1.0,,,,,.,,,,,
23PR00393,X0289,2,02,,22,1.0,2.8,7.0,,,.,21.5,4.7,21.8,96.2,64
23PR00394,X0498,2,02,,22,1.0,3.0,7.5,,,.,21.8,3.3,15.3,98.2,64
