UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
19PR00001,A0002,2,30,,18,1.0,2.0,5.0,2,1,.,22.9,3.9,16.9,96.1,
19PR00002,A0003,2,30,,18,1.0,3.6,9.2,3+,1,.,,,,,
19PR00003,A0005,2,30,,18,1.0,2.2,5.7,1-,1,.,26.5,4.5,16.8,84.1,
19PR00004,A0006,2,30,,18,1.0,2.0,5.0,1-,1,.,24.5,4.8,19.5,91.6,
19PR00005,A0007,2,30,,18,1.0,2.8,7.0,2+,1,.,25.2,5.1,20.0,86.5,
19PR00006,A0009,2,30,,18,1.0,2.9,7.3,2-,1,.,34.1,8.2,24.0,37.3,
19PR00007,A0012,1,30,,18,1.0,2.9,7.4,3+,2,Scurs,18.3,3.1,17.2,100.0,
19PR00008,A0013,1,30,,18,1.0,3.3,8.4,3,1,Nice!,26.9,5.7,21.3,74.5,
19PR00009,A0016,2,30,,18,1.0,2.8,7.0,2-,1,.,24.7,4.6,18.7,89.0,
19PR00010,A0017,2,30,,18,1.0,3.1,7.9,2+,1,.,27.4,5.3,19.5,75.3,
19PR01517,Z6316,2,00,,18,1.0,,,2-,1,CU,,,,,
19PR01518,Z6317,2,00,,18,1.0,,,1,1,CU,,,,,
19PR01519,Z6318,2,00,,18,1.0,,,1-,1,CU,,,,,
19PR01520,Z6320,1,42,,18,1.0,2.5,6.4,4+,3,Scurs,27.8,6.0,21.7,67.6,
19PR01521,Z6322,2,SC,,18,1.0,3.1,7.8,3+,1,60BLK,27.1,4.5,16.5,79.5,
19PR01522,Z6326,2,80,,18,1.0,,,2-,1,40GRAY,,,,,
19PR01523,Z6335,2,00,,18,1.0,,,1-,1,CU,,,,,
19PR01524,Z6340,2,00,,18,1.0,3.0,7.7,3,1,.,25.4,5.6,21.9,82.6,
19PR01525,Z6344,2,20,,18,1.0,,,2+,1,.,,,,,
19PR01526,Z6351,2,10,,18,1.0,,,2-,1,.,,,,,
