UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,MICRON,SD,CV,CF,DIGR
03PR00001,01117,1,30,88,00,1,3.0,.,.,LIB,.,.,0.0,0.0,FIX tag 01117,P,LIB,LIB,X,oo,,,,,0
03PR00002,01541,1,06,68,00,1,3.0,.,.,LIB,.,.,0.0,0.0,Columbia Ram,P,LIB,LIB,X,oo,,,,,0
03PR00003,00744,1,30,88,00,1,3.0,.,.,LIB,.,.,0.0,0.0,Polypay Ram,P,LIB,LIB,X,oo,,,,,0
03PR00004,A6529,1,30,88,99,1,4.0,.,.,Nax,1,3+,8.3,3.3,SHORT STAPLE,1,.,B  3,X,60,,,,,60
03PR00005,A8193,1,30,81,01,1,2.0,.,.,D3,1,2+,9.0,3.5,,1,Pre,Lww,X,58,,,,,58
03PR00006,A8038,1,30,81,00,1,3.0,.,.,LIB,.,.,0.0,0.0,RCVR<,P,LIB,LWW2,X,oo,,,,,0
03PR00007,A8075,1,30,82,00,1,3.0,.,.,LIB,.,.,0.0,0.0,,S,-3-,LIB,X,oo,,,,,0
03PR00008,A8315,1,30,81,01,1,2.0,.,.,.,1,1-,12.0,4.7,,1,31P,Lww,X,60,,,,,60
03PR00009,A8331,1,30,82,01,1,2.0,.,.,LIB,.,.,0.0,0.0,H2,4,LIB,Ctrl,X,oo,,,,,0
03PR00010,A8337,1,30,82,01,1,2.0,.,.,D3,2,2-,8.0,3.1,,1,Pre,Ctrl,X,60,,,,,60
03PR00556,T7925,1,02,41,00,1,3.0,.,.,LIB,.,.,0.0,0.0,"D1, D2, ?",P,-1-,LIB,X,oo,,,,,0
03PR00557,T7983,1,02,42,00,1,3.0,.,.,LIB,.,.,0.0,0.0,F2,P,LIB,CTL,X,oo,,,,,0
03PR00558,T7988,1,02,42,00,1,3.0,.,.,.,1,3-,9.0,3.5,DUD >works,1,.,CTL,Y,oo,29.6,4.8,16.2,59.9,50
03PR00559,T7990,1,02,41,00,1,3.0,.,.,LIB,.,.,0.0,0.0,F4-,S,LIB,LWW2,X,oo,,,,,0
03PR00560,T7971,1,02,41,00,1,3.0,.,.,LIB,.,.,0.0,0.0,,P,LIB,LIB,X,oo,,,,,0
03PR00561,T7759,1,02,ID,00,1,3.0,I,.,.,1,3,9.8,3.9,? QUAD,1,42T,UI,Y,oo,27.1,4.2,15.4,81.9,56
03PR00562,T7763,1,02,ID,00,1,3.0,.,.,LIB,.,.,0.0,0.0,"BRN. EARS,H4",S,LIB,LIB,X,oo,,,,,0
03PR00563,T7794,1,02,ID,00,1,3.0,I,.,.,1,3,9.2,3.6,,1,e.8,UI,Y,oo,24.2,3.8,15.9,94.4,60
03PR00564,T7771,1,02,ID,00,1,3.0,.,.,LIB,.,.,0.0,0.0,,P,LIB,LIB,X,oo,,,,,0
03PR00565,K1723,1,05,CP,01,1,2.0,.,.,,2,3,9.0,3.5,MSG 12/12/02,1,.,Clpg,X,oo,,,,,0
