UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
25PR00001,A2054,2,30,,24,1.0,,6.5,,,.,,,,,
25PR00002,A2057,2,30,,24,1.0,,6.5,,,BLSPOTRSHOULD,,,,,
25PR00003,A2062,2,30,,24,1.0,,8.0,,,1ST,,,,,
25PR00004,A2063,2,30,,24,1.0,,10.0,,,3RD,,,,,
25PR00005,A2068,2,30,,24,1.0,,9.0,,,2ND,,,,,
25PR00006,A2070,1,30,,24,1.0,,10.0,,,2ND,,,,,
25PR00007,A2072,2,30,,24,1.0,,7.0,,,.,,,,,
25PR00008,A2073,2,30,,24,1.0,,8.0,,,.,,,,,
25PR00009,A2075,2,30,,24,1.0,,8.0,,,.,,,,,
25PR00010,A2081,2,30,,24,1.0,,7.0,,,.,,,,,
25PR00334,T8561,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00335,T8562,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00336,T8566,1,02,,24,1.0,,9.0,,,Scurs,,,,,
25PR00337,T8567,1,02,,24,1.0,,8.0,,,Scurs,,,,,
25PR00338,T8572,1,02,,24,1.0,,10.0,,,Nice,,,,,
25PR00339,T8577,2,02,,24,1.0,,8.0,,,.,,,,,
25PR00340,T8582,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00341,T8583,2,02,,24,1.0,,9.0,,,.,,,,,
25PR00342,T8586,2,02,,24,1.0,,7.0,,,.,,,,,
25PR00343,T8587,2,02,,24,1.0,,9.0,,,.,,,,,
