UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
21PR00001,A0350,2,30,,,2.0,1.7,4.4,,,,,,,,
21PR00002,A0354,2,30,,,2.0,2.5,6.4,,,,,,,,
21PR00003,A0356,2,30,,,2.0,2.6,6.7,,,,,,,,
21PR00004,A0363,2,30,,,2.0,2.0,5.0,,,,,,,,
21PR00005,A0370,2,30,,,2.0,2.1,5.4,,,,,,,,
21PR00006,A0373,2,30,,,2.0,2.2,5.7,,,,,,,,
21PR00007,A0376,2,30,,,2.0,3.5,8.9,,,,,,,,
21PR00008,A0377,2,30,,,2.0,2.4,6.0,,,,,,,,
21PR00009,A0378,2,30,,,2.0,2.4,6.1,,,,,,,,
21PR00010,A0379,1,30,,,2.0,3.4,8.6,,,,,,,,
21PR00983,Z8286,2,07,,,1.0,2.9,7.3,,,,,,,,
21PR00984,Z8349,2,07,,,1.0,3.3,8.4,,,,,,,,
21PR00985,Z8361,2,07,,,1.0,2.8,7.2,,,,,,,,
21PR00986,Z8366,2,07,,,1.0,2.3,5.8,,,,,,,,
21PR00987,Z8405,2,00,,,1.0,3.2,8.1,,,,,,,,
21PR00988,Z8417,2,43,,,1.0,3.3,8.5,,,,,,,,
21PR00989,Z8457,2,07,,,1.0,3.4,8.7,,,,,,,,
21PR00990,Z8458,2,07,,,1.0,3.0,7.6,,,,,,,,
21PR00991,M0408,2,LP,,,1.0,2.6,6.7,,,,,,,,
21PR00992,S3161,2,07,,,1.0,2.3,5.9,,,,,,,,
