UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,ORIENT,PDBHV,MIDX,FIDX,WORK,DISP,MICRON,SD,CV,CF,DIGR
04PR00001,01117,1,30,88,00,1,4.0,2,BHV,.,.,0.0,0.0,FIX tag 01117,3,.,LIB,N,60,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00002,A7198,1,30,88,00,1,4.0,2,BHV,.,.,0.0,0.0,"UGLY, -SIZE",3,.,LIB,N,58,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00003,A7199,1,30,88,00,1,4.0,0,.,2,2-,9.6,3.8,,1,03P,Flwt,N,58,HETRO,SAVE,82,84,W,,0.0,0.0,0.0,0.0,0
04PR00004,A7239,1,30,81,00,1,4.0,2,BHV,.,.,0.0,0.0,,3,.,LWW2,N,58,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00005,A7284,1,30,82,00,1,4.0,0,.,2,1-,9.8,3.9,NICE >works,1,01P,Flwt,N,60,HETRO,SAVE,92,92,W,,0.0,0.0,0.0,0.0,0
04PR00006,A7436,1,30,82,00,1,4.0,2,BHV,.,.,0.0,0.0,"TEASER, H5",V,TEA,TEAZ,N,58,TEAZ,+JNS+,0,0,W,,0.0,0.0,0.0,0.0,0
04PR00007,A7553,1,30,88,00,1,4.0,2,BHV,.,.,0.0,0.0,H2,3,.,LIB,N,54,HETRO,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00008,A7640,1,30,82,00,1,4.0,2,BHV,.,.,0.0,0.0,H3,3,.,FLWT,N,62,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00009,A7659,1,30,82,00,1,4.0,2,BHV,.,.,0.0,0.0,PINK QUAD pd1,3,.,LIB,N,58,HETRO,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00010,A7852,1,30,81,00,1,4.0,2,BHV,.,.,0.0,0.0,,3,.,LIB,N,58,HETRO,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00450,T9703,1,02,48,03,1,1.0,0,.,1,2-,7.8,3.1,NICE,1,.,Targ,Y,62,YRLG,SAVE,0,0,0,,21.4,4.0,18.8,97.2,64
04PR00451,T9720,1,02,ID,03,1,1.0,I,.,1,3-,7.5,3.0,NICE,1,.,Ida,Y,62,YRLG,SAVE,0,0,0,,22.6,4.1,18.3,96.8,62
04PR00452,T9722,1,02,48,03,1,1.0,0,.,1,3-,6.8,2.7,NICE,1,.,Targ,Y,62,YRLG,SAVE,0,0,0,,22.0,3.7,16.9,97.6,64
04PR00453,T9743,1,02,48,03,1,1.0,0,.,1,3-,7.8,3.1,PNEU.ok,1,.,Targ,Y,62,YRLG,SAVE,0,0,0,,21.5,3.7,17.2,98.1,64
04PR00454,T9744,1,02,48,03,1,1.0,0,.,1,2,7.8,3.1,,1,.,Targ,Y,62,YRLG,SAVE,0,0,0,,22.1,3.6,16.5,97.6,62
04PR00455,T9745,1,02,48,03,1,1.0,0,.,1,2,7.2,2.8,,1,.,Targ,Y,62,YRLG,SAVE,0,0,0,,22.3,3.8,16.9,97.3,62
04PR00456,T9748,1,02,48,03,1,1.0,0,.,1,4,7.9,3.1,,1,.,Targ,Y,62,YRLG,SAVE,0,0,0,,23.8,4.1,17.0,94.1,60
04PR00457,T9757,1,02,48,03,1,1.0,0,.,1,3,6.4,2.5,,1,.,Targ,Y,62,YRLG,SAVE,0,0,0,,23.1,4.5,19.5,94.1,62
04PR00458,T9771,1,02,ID,03,1,1.0,I,.,1,3-,6.3,2.5,NICE,1,.,Ida,Y,62,YRLG,SAVE,0,0,0,,19.6,3.9,19.7,98.7,70
04PR00459,T9774,1,02,48,03,1,1.0,0,.,1,2,7.6,3.0,,1,.,Targ,Y,62,YRLG,SAVE,0,0,0,,20.1,3.6,17.7,99.0,70
