UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,YIELD,MICRON
94PR00001,01574,1,07,TX,92,1,2.0,0,C,CTL,2,3,6.8,2.7,TEXAS RAM,49.8,23.1
94PR00002,01957,1,07,TX,92,1,2.0,0,F,FW,7,3+,7.0,2.8,TEXAS RAM,67.6,18.3
94PR00003,01958,1,07,TX,92,1,2.0,0,F,FW,7,3+,7.4,2.9,TEXAS RAM,62.7,19.9
94PR00004,06139,1,07,TX,91,1,3.0,0,C,CTL,7,3,7.0,2.8,TEXAS RAM,58.0,22.1
94PR00005,A0005,1,30,80,93,1,1.0,0,M,,1,3,6.4,2.5,,64.6,23.2
94PR00006,A0012,1,30,82,93,1,1.0,0,C,,2,2+,7.0,2.8,,60.0,21.9
94PR00007,A0015,1,30,80,93,1,1.0,0,M,,2,2+,5.8,2.3,,49.1,23.2
94PR00008,A0019,1,30,82,93,1,1.0,0,C,,2,2+,6.8,2.7,,64.9,21.4
94PR00009,A0023,1,30,80,93,1,1.0,0,M,,2,2,8.1,3.2,,62.5,22.8
94PR00010,A0029,1,30,80,93,1,1.0,0,M,,1,2,5.6,2.2,,60.7,23.0
94PR00357,T4077,1,02,42,93,1,1.0,2,C,,1,3,4.6,1.8,,65.1,18.8
94PR00358,T4079,1,02,42,93,1,1.0,2,C,,1,2-,7.2,2.8,,59.6,21.4
94PR00359,T4091,1,02,41,93,1,1.0,2,M,,2,2,5.2,2.0,,57.9,20.3
94PR00360,T4094,1,02,42,93,1,1.0,2,C,,1,3-,5.0,2.0,,64.4,18.8
94PR00361,T4095,1,02,42,93,1,1.0,2,C,,2,3,6.2,2.4,,63.2,19.3
94PR00362,T4098,1,02,42,93,1,1.0,2,C,,1,2-,5.6,2.2,,59.8,18.6
94PR00363,T4107,1,02,42,93,1,1.0,2,C,,1,3,4.5,1.8,,61.9,16.8
94PR00364,T4129,1,02,41,93,1,1.0,2,M,,2,3-,5.4,2.1,,59.5,19.0
94PR00365,T4131,1,02,42,93,1,1.0,2,C,,2,3,5.1,2.0,4TEATS,58.1,17.3
94PR00366,T4132,1,02,42,93,1,1.0,2,C,,2,4+,4.6,1.8,4TEATS,57.8,20.0
