UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
99PR00001, 8036,1,30,00,98,1,1.0,7,.,LIM,2,2,7.8,3.1,,Y,22.45,4.43,19.7,62
99PR00002, 8222,1,06,00,98,1,1.0,7,.,LIM,1,3-,7.2,2.8,"?,EPI,L.TSTS.",Y,23.18,4.83,20.8,62
99PR00003, 8225,1,06,00,98,1,1.0,7,.,LIM,2,3+,9.2,3.6,,Y,25.77,4.84,18.8,58
99PR00004, 8243,1,30,00,98,1,1.0,7,.,LIM,1,3,7.5,3.0,,Y,22.67,3.94,17.4,62
99PR00005, 8280,1,07,00,98,1,1.0,7,.,LIM,2,3,5.5,2.2,,Y,19.73,3.8,19.3,70
99PR00006, 8283,1,07,00,98,1,1.0,7,.,LIM,5,5,6.5,2.6,"X, H5, UGLY",Y,18.12,3.3,18.2,80
99PR00007, 8319,1,06,00,98,1,1.0,7,.,LIM,1,3-,8.2,3.2,,Y,23.71,4.7,19.8,60
99PR00008, 8324,1,30,00,98,1,1.0,7,.,LIM,2,2-,5.8,2.3,,Y,22.45,4.76,21.2,62
99PR00009, 8353,1,43,00,98,1,1.0,7,.,LIM,3,4+,6.2,2.4,,Y,22.37,4.29,19.2,62
99PR00010, 8357,1,07,00,98,1,1.0,7,.,LIM,2,3,6.0,2.4,NICE,Y,21.82,6.06,27.8,62
99PR00812,T6880,1,02,42,98,1,1.0,2,C, .,1,3+,7.8,3.1,4TEATS,Y,24.55,5.12,20.9,60
99PR00813,T6887,1,02,41,98,1,1.0,2,M, .,1,3+,7.0,2.8,,Y,20.43,4.47,21.9,70
99PR00814,T6889,1,02,41,98,1,1.0,2,M, .,1,2,7.8,3.1,,Y,21.05,4.69,22.2,64
99PR00815,T6893,1,02,42,98,1,1.0,2,C, .,1,3-,7.4,2.9,,Y,25.08,6.25,24.9,58
99PR00816,T6903,1,02,41,98,1,1.0,2,M, .,1,3+,7.2,2.8,"?,CHK.L.TAIL",Y,21.55,3.68,17.1,64
99PR00817,T6908,1,02,41,98,1,1.0,2,M, .,1,2,7.2,2.8,,Y,23.59,4.04,17.1,60
99PR00818,T6914,1,02,41,98,1,1.0,2,M, .,1,2,7.8,3.1,,Y,20.08,3.57,17.8,70
99PR00819,T6929,1,02,42,98,1,1.0,2,C, .,2,2,7.2,2.8,,Y,23.66,4.93,20.8,60
99PR00820,T6940,1,02,42,98,1,1.0,2,C, .,2,2,8.1,3.2,,Y,21.93,5.24,23.9,62
99PR00821,T6957,1,02,41,98,1,1.0,2,M, .,2,2,7.8,3.1,NICE,Y,22.54,4.19,18.6,62
