UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SPIN,MICRON,SD,CV,CF,DIGR
07PR00001, 1026,1,06,00,05,1,2.0,r,.,.,3,3+,8.6,3.4,JAW5UNDERSHOT,1,09,Term,Y,.,28.5,5.1,17.9,69.0,54
07PR00002,  100,1,Tx,00,05,1,2.0,r,.,.,1,1,10.0,3.9,Fisher F53,1,27,Term,Y,.,37.5,6.3,16.9,10.4,40
07PR00003,  337,1,06,00,04,1,3.0,r,.,.,2,2-,7.5,3.0,"THIN,SM.TSTS",1,e02,Term,Y,.,29.1,4.7,16.1,66.8,54
07PR00004,  345,1,06,00,04,1,3.0,r,.,.,1,2-,7.9,3.1,"THIN, OK",1,02,Term,Y,.,27.9,4.5,16.0,72.9,54
07PR00005,  360,1,06,00,04,1,3.0,r,.,.,2,3+,8.0,3.1,"THIN,LUNGS?",1,alt,Term,Y,.,31.7,6.4,20.1,46.9,48
07PR00006,  327,1,06,00,04,1,3.0,r,.,.,4,3,9.2,3.6,THIN Jarvis,1,e03,Term,Y,.,29.9,5.1,17.1,58.3,50
07PR00007,  426,1,Tx,00,04,1,3.0,r,.,.,1,1,9.2,3.6,THIN,1,22,Term,Y,.,35.8,7.9,21.9,26.2,44
07PR00008,  428,1,Tx,00,04,1,3.0,r,.,.,2,1,10.0,3.9,MT30-1083,1,23,Term,Y,.,45.9,7.4,16.0,1.4,36
07PR00009,  518,1,Tx,00,05,1,2.0,r,.,.,2,1,11.5,4.5,,1,28,Term,Y,.,50.1,7.9,15.7,0.5,36
07PR00010,  584,1,97,00,05,1,2.0,r,.,.,2,1+,6.0,2.4,,1,17,Term,Y,.,35.9,6.9,19.1,22.9,44
07PR00287,X3277,1,TC,00,06,1,1.0,0,.,.,2,1,9.0,3.5,BLK.DOT.LF,1,,ULTR,Y,.,31.2,6.7,21.4,50.0,48
07PR00288,X3702,1,30,00,06,1,1.0,0,.,.,1,2,6.5,2.6,,1,,ULTR,Y,.,30.5,5.8,19.1,52.6,50
07PR00289,X3742,1,TC,00,06,1,1.0,0,.,.,1,2,7.5,3.0,ENTROPION,1,,ULTR,Y,.,28.3,6.6,23.4,62.0,54
07PR00290,X3774,1,TC,00,06,1,1.0,0,.,.,2,1-,9.0,3.5,NICE LAMB,1,,ULTR,Y,.,30.2,5.2,17.2,54.2,50
07PR00291,X2581,1,97,97,05,1,2.0,0,.,.,1,1+,7.3,2.9,,1,e45,Bf,Y,.,36.3,6.1,16.7,15.4,40
07PR00292,X2997,1,TS,00,06,1,1.0,0,.,.,1,1+,8.0,3.1,,1,,ULTR,Y,.,34.9,8.2,23.4,28.8,44
07PR00293,X2724,1,97,97,05,1,2.0,0,.,.,2,1+,7.5,3.0,,1,47,Bf,Y,.,29.3,5.3,18.1,63.3,50
07PR00294,   44,1,97,00,05,1,2.0,r,.,.,1,1+,9.0,3.5,,1,12,Term,Y,.,35.5,5.1,14.4,14.3,44
07PR00295,   65,1,97,00,05,1,2.0,r,.,.,1,1+,9.0,3.5,,1,13,Term,Y,.,34.1,6.7,19.7,30.5,46
07PR00296,   76,1,97,00,05,1,2.0,r,.,.,1,1+,11.2,4.4,,1,14,Term,Y,.,34.7,6.5,18.7,25.0,44
