UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,VACC,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL,NOBN
04LA00011,04,T6746,44,41,45T,T8907,44,6.0,6,02,02,1,0,n,M,032704,87,2,0,1,0.0,.,.,,,48,02,0,87,27,,,,,1,1,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,*,2004-03-27,0.046,2
04LA00012,04,Z8755,81,00,e.8,K2129,64,1.0,1,80,06,4,7,y,N,032704,87,4,2,3,6.8,1,1,,,00,86,1,87,44,T9788,+,,,1,1,..,TAY,J,1,none,,1,1,2,0,0,0.5,,,0.0,0,T,2004-03-27,0.0,2
04LA00013,04,Z8755,81,00,e.8,K2129,64,1.0,1,80,06,4,7,y,N,032704,87,4,2,2,5.4,1,1,,,00,86,1,87,44,,,,,1,1,..,TAY,J,2,none,,0,0,0,0,0,,,,0.0,0,T,2004-03-27,0.0,2
04LA00014,04,T9111,44,42,63,T9041,44,2.0,2,02,02,1,7,n,S,032704,87,0,0,.,0.0,.,.,,,48,02,0,87,27,,,THIN + POOR,,1,1,..,SPG,J,1,none,,1,1,1,0,0,,,,0.0,0,5,2004-03-27,0.014,1
04LA00015,04,K1982,64,68,53K,K2454,64,3.0,3,06,06,1,0,n,G,032704,87,8,3,2,12.0,1,1,K2993,64,68,06,,0,,,,,,1,1,..,.,J,1,none,,1,1,2,1,1,1.0,95,,0.0,0,1,2004-03-27,0.025,2
04LA00016,04,K1982,64,68,53K,K2454,64,3.0,3,06,06,1,0,n,G,032704,87,8,3,3,9.1,1,1,K2994,64,68,06,,0,,,,,2CRYPTORCHID,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,86,,0.0,0,1,2004-03-27,0.025,2
04LA00017,04,Z9137,81,00,e.8,K2129,64,1.0,1,80,06,4,7,y,N,032704,87,8,2,3,7.3,5,1,X0866,82,00,86,,0,,,,,,1,1,..,TAY,J,1,none,,1,1,2,1,1,1.0,100,,0.0,0,T,2004-03-27,0.0,2
04LA00018,04,Z9137,81,00,e.8,K2129,64,1.0,1,80,06,4,7,y,N,032704,87,8,2,3,9.1,5,1,X0867,82,00,86,,0,,,,,,1,1,..,TAY,J,2,none,,0,0,0,1,1,1.0,99,,0.0,0,T,2004-03-27,0.0,2
04LA00019,04,Z9357,81,00,e.1,Z0000,81,1.0,1,33,97,4,7,y,N,032704,87,4,2,2,6.2,1,1,,,00,83,1,87,44,T9787,+,,,1,1,..,TAY,J,1,none,,1,1,2,0,0,0.5,,,0.0,0,1,2004-03-27,0.0,2
04LA00020,04,Z9357,81,00,e.1,Z0000,81,1.0,1,33,97,4,7,y,N,032704,87,4,2,2,6.2,1,1,,,00,83,1,87,44,,,,,1,1,..,TAY,J,2,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-27,0.0,2
04LA00021,04,T6207,44,ID,43T,T8296,44,7.0,7,02,02,1,I,n,I,032804,88,9,0,1,9.3,1,1,T9787,44,ID,02,,0,,Z9357,-,"CSECTION, CLA",,C,6,..,.,J,1,none,,1,1,3,1,1,0.5,107,,0.0,0,1,2004-03-28,0.008,3
04LA00022,04,T6207,44,ID,43T,T8296,44,7.0,7,02,02,1,I,n,I,032804,88,9,0,1,9.3,1,1,T9788,44,ID,02,,0,,Z8755,-,INJ.R.STIFLE,,C,6,..,.,J,2,none,,0,0,0,1,1,0.5,93,,0.0,0,T,2004-03-28,0.008,3
04LA00023,04,T6207,44,ID,43T,T8296,44,7.0,7,02,02,1,I,n,I,032804,88,9,0,2,8.0,1,1,T9789,44,ID,02,6,89,67,,,,WEAK LAMB,C,6,..,.,J,3,none,,0,0,0,1,0,,,,0.0,0,*,2004-03-28,0.008,3
04LA00024,04,T6287,44,ID,41T,09221,00,7.0,7,02,02,1,I,n,I,032804,88,4,0,1,8.0,1,1,,,ID,02,1,88,44,,,"CSECTION, CLA",,C,6,..,.,J,1,none,,1,1,2,0,0,,,,0.0,0,*,2004-03-28,0.0,2
04LA00025,04,T6287,44,ID,41T,09221,00,7.0,7,02,02,1,I,n,I,032804,88,4,0,2,8.0,1,1,,,ID,02,1,88,44,,,,,C,6,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,*,2004-03-28,0.0,2
04LA00026,04,90684,09,88,02P,A8647,04,5.0,5,30,30,1,0,n,W,032804,88,9,3,1,8.2,1,1,H0746,05,83,30,,0,,,,"RP, NECROTIC",,6,3,..,.,J,1,none,,1,1,3,1,1,1.0,86,,0.0,0,1,2004-03-28,0.03,3
04LA00027,04,90684,09,88,02P,A8647,04,5.0,5,30,30,1,0,n,W,032804,88,9,3,2,8.7,1,1,H0747,05,83,30,,0,,,,,,6,3,..,.,J,2,none,,0,0,0,1,1,1.0,82,,0.0,0,1,2004-03-28,0.03,3
04LA00028,04,90684,09,88,02P,A8647,04,5.0,5,30,30,1,0,n,W,032804,88,9,3,1,7.0,1,1,,,83,30,1,88,44,,,,,6,3,..,.,J,3,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-28,0.03,3
04LA00029,04,A8752,04,83,02P,A8647,04,3.0,3,30,30,1,0,n,W,032804,88,5,3,1,11.5,1,1,H0748,05,83,30,,0,,,,NASAL ASYMMET,,1,1,..,.,J,1,none,,1,1,1,1,1,1.0,105,,0.0,0,1,2004-03-28,0.049,1
04LA00030,04,Z9116,81,00,e.0,Z0000,81,1.0,1,31,97,4,0,y,X,032804,88,5,2,3,9.2,5,1,X0868,82,00,81,,0,,,,,,1,1,..,.,J,1,none,,1,1,1,1,1,1.0,89,,0.0,0,1,2004-03-28,0.0,1
04LA00031,04,A8456,04,84,04P,A9232,04,3.0,3,30,30,1,0,n,W,032804,88,9,3,2,7.1,1,1,H0749,05,83,30,,0,,,,THIN,,1,1,..,.,J,1,none,,1,1,3,1,1,1.0,73,,0.0,0,1,2004-03-28,0.051,3
04LA00032,04,A8456,04,84,04P,A9232,04,3.0,3,30,30,1,0,n,W,032804,88,9,3,1,6.2,1,1,H0750,05,83,30,,0,,,,,,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,70,,0.0,0,1,2004-03-28,0.051,3
04LA00033,04,A8456,04,84,04P,A9232,04,3.0,3,30,30,1,0,n,W,032804,88,9,3,2,6.4,1,1,H0751,05,83,30,3,90,93,,8,,HAIRY,1,1,..,.,J,3,none,,0,0,0,1,0,,,,0.0,0,1,2004-03-28,0.051,3
04LA00034,04,A5770,04,73,14P,A9963,04,5.5,5,30,30,1,0,n,C,032804,88,8,4,1,10.4,1,1,H0752,05,82,30,,0,,,,,,4,3,..,.,J,1,none,,1,1,2,1,1,1.0,91,,0.0,0,1,2004-03-28,0.042,2
04LA00035,04,A5770,04,73,14P,A9963,04,5.5,5,30,30,1,0,n,C,032804,88,8,4,2,11.2,1,1,H0753,05,82,30,,0,,,,,,4,3,..,.,J,2,none,,0,0,0,1,1,1.0,83,,0.0,0,1,2004-03-28,0.042,2
04LA00036,04,Z9007,81,00,e.0,Z0000,81,1.0,1,31,97,4,0,y,X,032804,88,5,2,2,10.0,5,1,X0869,82,00,81,,0,,,,,WEAK LAMB,1,1,..,.,J,1,none,,1,1,1,1,1,1.0,95,,0.0,0,1,2004-03-28,0.0,1
04LA00037,04,A7609,04,82,14P,A9963,04,4.0,4,30,30,1,0,n,C,032804,88,9,4,1,10.2,1,1,H0754,05,82,30,,0,,,,,,1,1,..,.,J,1,none,,1,1,3,1,1,1.0,78,,0.0,0,1,2004-03-28,0.104,3
04LA00038,04,A7609,04,82,14P,A9963,04,4.0,4,30,30,1,0,n,C,032804,88,9,4,2,9.6,1,1,H0755,05,82,30,,0,,,,,,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,78,,0.0,0,1,2004-03-28,0.104,3
04LA00039,04,A7609,04,82,14P,A9963,04,4.0,4,30,30,1,0,n,C,032804,88,9,4,1,10.0,1,1,H0756,05,82,30,,0,,,,,,1,1,..,.,J,3,none,,0,0,0,1,1,1.0,86,,0.0,0,1,2004-03-28,0.104,3
04LA00040,04,A9235,04,84,11P,A9750,04,2.0,2,30,30,1,0,n,C,032804,88,9,2,3,6.8,1,1,H0757,05,82,30,,0,,,,,,1,1,..,.,J,1,none,,1,1,3,1,1,1.0,85,,0.0,0,1,2004-03-28,0.073,3
04LA00041,04,A9235,04,84,11P,A9750,04,2.0,2,30,30,1,0,n,C,032804,88,9,2,2,3.5,1,1,,,82,30,1,88,44,,,,,1,1,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-28,0.073,3
04LA00042,04,A9235,04,84,11P,A9750,04,2.0,2,30,30,1,0,n,C,032804,88,9,2,2,4.3,1,1,,,82,30,1,88,44,,,,,1,1,..,.,J,3,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-28,0.073,3
04LA00043,04,P0076,05,83,02P,A8647,04,2.0,2,30,30,1,0,n,W,032804,88,8,2,2,6.8,1,1,H0758,05,83,30,,0,,,,THIN,HAIRY,1,1,..,.,J,1,none,,1,1,2,1,1,1.0,69,,0.0,0,1,2004-03-28,0.07,2
04LA00044,04,P0076,05,83,02P,A8647,04,2.0,2,30,30,1,0,n,W,032804,88,8,2,3,6.3,1,1,H0759,05,83,30,6,94,67,,8,,HAIRY,1,1,..,.,J,2,none,,0,0,0,1,0,,,,0.0,0,1,2004-03-28,0.07,2
04LA00045,04,R1178,11,13,33R,R2746,11,4.0,4,43,43,1,0,n,M,032304,83,2,0,2,7.0,1,1,,,18,07,0,83,27,,,X THIN CLA,,1,1,..,.,J,1,none,,1,1,2,0,0,,,,0.0,0,*,2004-03-23,0.028,2
04LA00046,04,R1178,11,13,33R,R2746,11,4.0,4,43,43,1,0,n,M,032304,83,2,0,1,6.5,1,1,,,18,07,0,83,27,,,,,1,1,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,*,2004-03-23,0.028,2
04LA00047,04,R1727,11,13,32R,R1667,11,4.0,4,07,43,1,0,n,M,040704,98,8,4,1,13.5,1,1,R4334,11,18,07,,0,,,,THIN,,1,1,..,.,Y,1,none,,1,1,2,1,1,1.0,102,,0.0,0,2,2004-04-07,0.04,2
04LA00048,04,Z8914,81,00,e.0,Z0000,81,1.0,1,01,97,4,0,y,X,031904,79,0,0,.,0.0,.,.,,,00,20,0,79,27,,,,,1,1,..,.,J,1,none,,1,1,1,0,0,,,,0.0,0,5,2004-03-19,0.0,1
04LA00049,04,H0500,05,88,e.9,A8579,04,1.0,1,30,30,4,0,n,M,032504,85,2,0,.,0.0,.,.,,,88,30,0,85,27,,,,,1,1,..,.,J,1,none,,1,1,2,0,0,,,,0.0,0,5,2004-03-25,0.048,2
04LA00050,04,H0500,05,88,e.9,A8579,04,1.0,1,30,30,4,0,n,M,032504,85,2,0,.,0.0,.,.,,,88,30,0,85,27,,,,,1,1,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,5,2004-03-25,0.048,2
04LA00051,04,S9225,10,10,28,R3081,11,6.0,6,43,43,3,2,n,S,032904,89,0,0,.,0.0,.,.,,,18,07,0,89,27,,,,,1,1,..,.,J,1,ctrl,,1,1,1,0,0,,,,0.0,0,5,2004-03-29,0.043,1
04LA00052,04,A9964,04,83,01P,A7284,04,2.0,2,30,30,1,0,n,W,032904,89,8,3,2,8.0,1,1,H0760,05,83,30,,0,,,,,HAIRY,1,1,..,.,J,1,none,,1,1,2,1,1,1.0,69,,0.0,0,1,2004-03-29,0.046,2
04LA00053,04,A9964,04,83,01P,A7284,04,2.0,2,30,30,1,0,n,W,032904,89,8,3,2,8.9,1,1,H0761,05,83,30,,0,,,,,,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,75,,0.0,0,1,2004-03-29,0.046,2
04LA00054,04,91174,09,88,14P,A9963,04,5.0,5,30,30,1,0,n,C,032904,89,8,3,2,8.3,1,3,H0762,05,82,30,,0,,,,,,1,1,..,.,J,1,none,,1,1,2,1,1,1.0,80,,0.0,0,1,2004-03-29,0.051,2
04LA00055,04,91174,09,88,14P,A9963,04,5.0,5,30,30,1,0,n,C,032904,89,8,3,1,9.9,1,1,H0763,05,82,30,,0,,,,,,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,84,,0.0,0,1,2004-03-29,0.051,2
04LA00056,04,H0654,05,88,e.9,A8579,04,1.0,1,30,30,4,0,n,M,032904,89,8,2,2,8.5,1,1,H0764,05,88,30,,0,,,,,,1,1,..,.,J,1,none,,1,1,2,1,1,1.0,71,,0.0,0,1,2004-03-29,0.11,2
04LA00057,04,H0654,05,88,e.9,A8579,04,1.0,1,30,30,4,0,n,M,032904,89,8,2,3,10.3,1,1,H0765,05,88,30,3,90,93,,8,,,1,1,..,.,J,2,none,,0,0,0,1,0,,,,0.0,0,1,2004-03-29,0.11,2
04LA00058,04,A9962,04,82,16P,A9442,04,2.0,2,30,30,1,0,n,C,032904,89,8,3,2,8.4,1,1,H0766,05,82,30,7,222,97,,,THIN,,1,1,..,.,J,1,none,,1,1,2,1,0,,,,0.0,0,1,2004-03-29,0.05,2
04LA00059,04,A9962,04,82,16P,A9442,04,2.0,2,30,30,1,0,n,C,032904,89,8,3,1,9.5,1,1,H0767,05,82,30,,0,,,,,,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,89,,0.0,0,1,2004-03-29,0.05,2
04LA00060,04,K0853,64,68,53K,K2454,64,5.0,5,06,06,1,0,n,G,030904,69,2,0,.,0.0,.,.,,,68,06,0,69,27,,,,,1,1,..,.,J,1,none,,1,1,2,0,0,,,,0.0,0,5,2004-03-09,0.035,2
04LA00061,04,K0853,64,68,53K,K2454,64,5.0,5,06,06,1,0,n,G,030904,69,2,0,.,0.0,.,.,,,68,06,0,69,27,,,,,1,1,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,5,2004-03-09,0.035,2
04LA00062,04,S9215,10,10,27,R3179,11,6.0,6,43,07,3,2,n,S,031004,70,2,0,.,0.0,.,.,,,18,07,0,70,27,,,,,1,1,..,.,J,1,ctrl,,1,1,2,0,0,,,,0.0,0,5,2004-03-10,0.05,2
04LA00063,04,S9215,10,10,27,R3179,11,6.0,6,43,07,3,2,n,S,031004,70,2,0,.,0.0,.,.,,,18,07,0,70,27,,,,,1,1,..,.,J,2,ctrl,,0,0,0,0,0,,,,0.0,0,5,2004-03-10,0.05,2
04LA00064,04,T8816,44,ID,41T,09221,00,2.0,2,02,02,1,I,n,I,031004,70,0,0,.,0.0,.,.,,,ID,02,0,70,27,,,,,1,1,..,.,J,1,none,,1,1,1,0,0,,,,0.0,0,5,2004-03-10,0.0,1
04LA00065,04,K0706,64,68,54K,K2555,64,5.0,5,06,06,1,0,n,G,031104,71,2,0,.,0.0,.,.,,,68,06,0,71,27,,,,,1,1,..,.,J,1,none,,1,1,2,0,0,,,,0.0,0,5,2004-03-11,0.022,2
04LA00066,04,K0706,64,68,54K,K2555,64,5.0,5,06,06,1,0,n,G,031104,71,2,0,.,0.0,.,.,,,68,06,0,71,27,,,,,1,1,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,5,2004-03-11,0.022,2
04LA00067,04,Z9794,81,00,e.6,K2546,64,1.0,1,80,06,4,7,y,N,030904,69,0,0,.,0.0,.,.,,,00,86,0,69,27,,,,,1,1,..,TAY,J,1,none,,1,1,1,0,0,,,,0.0,0,5,2004-03-09,0.0,1
04LA00068,04,K9590,63,68,51K,K2368,64,7.0,7,06,06,1,0,n,G,031204,72,2,0,.,0.0,.,.,,,68,06,0,72,27,,,,,1,1,..,.,J,1,none,,1,1,2,0,0,,,,0.0,0,5,2004-03-12,0.035,2
04LA00069,04,K9590,63,68,51K,K2368,64,7.0,7,06,06,1,0,n,G,031204,72,2,0,.,0.0,.,.,,,68,06,0,72,27,,,,,1,1,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,5,2004-03-12,0.035,2
04LA00070,04,Z9656,81,00,e.2,Z0000,81,1.0,1,01,97,4,0,y,X,031504,75,0,0,.,0.0,.,.,,,00,20,0,75,27,,,,,1,1,..,.,J,1,none,,1,1,1,0,0,,,,0.0,0,5,2004-03-15,0.0,1
04LA00071,04,H0619,05,88,e.9,A8579,04,1.0,1,30,30,4,0,n,M,031704,77,2,0,.,0.0,.,.,,,88,30,0,77,27,,,,,1,1,..,.,J,1,none,,1,1,2,0,0,,,,0.0,0,5,2004-03-17,0.057,2
04LA00072,04,H0619,05,88,e.9,A8579,04,1.0,1,30,30,4,0,n,M,031704,77,2,0,.,0.0,.,.,,,88,30,0,77,27,,,,,1,1,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,5,2004-03-17,0.057,2
04LA00073,04,T7424,44,41,44T,T8964,44,5.0,5,02,02,1,0,n,M,031904,79,0,0,.,0.0,.,.,,,48,02,0,79,27,,,,,1,1,..,.,J,1,none,,1,1,1,0,0,,,,0.0,0,5,2004-03-19,0.029,1
04LA00074,04,T8483,44,ID,42T,T9073,44,3.0,3,02,02,1,I,n,I,032404,84,2,0,.,0.0,.,.,,,ID,02,0,84,27,,,,,3,5,..,.,J,1,none,,1,1,2,0,0,,,,0.0,0,5,2004-03-24,0.035,2
04LA00075,04,T8483,44,ID,42T,T9073,44,3.0,3,02,02,1,I,n,I,032404,84,2,0,.,0.0,.,.,,,ID,02,0,84,27,,,,,3,5,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,5,2004-03-24,0.035,2
04LA00076,04,Z9168,81,00,e.0,Z0000,81,1.0,1,31,97,4,0,y,X,032404,84,0,0,2,8.0,5,1,,,00,81,0,84,27,,,,YRLG DROP LOT,1,1,..,.,J,1,none,,1,1,1,0,0,0.0,0,0,0.0,0,5,2004-03-24,0.0,1
04LA00077,04,Z8580,81,00,e.6,K2546,64,1.0,1,80,06,4,7,y,N,032904,89,5,2,3,8.4,3,1,X0870,82,00,86,6,90,54,,,,WEAK BLED,1,1,..,TAY,J,1,none,,1,1,1,1,0,,,,0.0,0,5,2004-03-29,0.0,1
04LA00078,04,A8677,04,84,11P,A9750,04,3.0,3,30,30,1,0,n,C,032904,89,9,3,2,7.2,1,1,H0768,05,82,30,,0,,,,,,1,1,..,.,J,1,none,,1,1,3,1,1,1.0,64,,0.0,0,1,2004-03-29,0.045,3
04LA00079,04,A8677,04,84,11P,A9750,04,3.0,3,30,30,1,0,n,C,032904,89,9,3,1,8.6,1,1,H0769,05,82,30,,0,,,,,,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,74,,0.0,0,1,2004-03-29,0.045,3
04LA00080,04,A8677,04,84,11P,A9750,04,3.0,3,30,30,1,0,n,C,032904,89,9,3,2,6.4,1,1,H0770,05,82,30,3,90,93,,8,,HAIRY,1,1,..,.,J,3,none,,0,0,0,1,0,,,,0.0,0,1,2004-03-29,0.045,3
04LA00081,04,Z8963,81,00,e.2,Z0000,81,1.0,1,33,97,4,7,y,N,032904,89,5,3,2,12.8,5,1,X0871,82,00,83,,0,,,,,,1,1,..,TAY,J,1,none,,1,1,1,1,1,1.0,103,,0.0,0,T,2004-03-29,0.0,1
04LA00082,04,Z7181,81,97,972,Z6098,81,3.0,3,97,97,1,0,n,.,032904,89,8,4,2,7.8,6,1,X0872,82,97,97,,0,,,,,WEAK + PNEU.,1,1,..,.,J,1,none,,1,1,2,1,1,1.0,104,,0.0,0,B,2004-03-29,0.052,2
04LA00083,04,Z7181,81,97,972,Z6098,81,3.0,3,97,97,1,0,n,.,032904,89,8,4,2,6.5,6,1,X0873,82,97,97,6,90,67,,,,WEAK LAMB,1,1,..,.,J,2,none,,0,0,0,1,0,,,,0.0,0,B,2004-03-29,0.052,2
04LA00084,04,T9113,44,41,63,T9041,44,2.0,2,02,02,1,7,n,S,032904,89,8,3,3,9.6,2,1,T9790,44,48,02,,0,,,,VAG.PROLAPSE,BLK.RR.LEG,6,4,..,SPG,J,1,none,,1,1,2,1,1,1.0,81,,61.0,160,S,2004-03-29,0.041,2
04LA00085,04,T9113,44,41,63,T9041,44,2.0,2,02,02,1,7,n,S,032904,89,8,3,1,9.3,1,1,T9791,44,48,02,,0,,,,,,6,4,..,SPG,J,2,none,,0,0,0,1,1,1.0,95,,66.0,160,S,2004-03-29,0.041,2
04LA00086,04,Z9830,81,00,e.6,K2546,64,1.0,1,80,06,4,7,y,N,032904,89,5,3,2,5.9,5,1,X0874,82,00,86,,0,,,,,WEAK LAMB,1,1,..,TAY,J,1,none,,1,1,1,1,1,1.0,102,,0.0,0,T,2004-03-29,0.0,1
04LA00087,04,Z9487,81,00,e.2,Z0000,81,1.0,1,33,97,4,7,y,N,032904,89,5,3,3,13.5,5,1,X0875,82,00,83,,0,,,,,,1,1,..,TAY,J,1,none,,1,1,1,1,1,1.0,101,,0.0,0,T,2004-03-29,0.0,1
04LA00088,04,A9071,04,81,23P,A9122,04,2.0,2,30,30,1,0,n,C,032904,89,9,3,3,7.8,1,1,H0771,05,82,30,3,90,93,,8,,HAIRY,1,1,..,.,J,1,none,,1,1,3,1,0,,,,0.0,0,1,2004-03-29,0.058,3
04LA00089,04,A9071,04,81,23P,A9122,04,2.0,2,30,30,1,0,n,C,032904,89,9,3,1,7.5,1,1,H0772,05,82,30,,0,,,,,,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,71,,0.0,0,1,2004-03-29,0.058,3
04LA00090,04,A9071,04,81,23P,A9122,04,2.0,2,30,30,1,0,n,C,032904,89,9,3,1,9.6,1,1,H0773,05,82,30,,0,,,,,,1,1,..,.,J,3,none,,0,0,0,1,1,1.0,93,,0.0,0,1,2004-03-29,0.058,3
04LA00091,04,A5301,04,82,03P,A7199,04,6.0,6,30,30,1,0,n,W,032904,89,3,3,3,6.0,1,1,H0774,05,83,30,,0,,,,THIN,,1,1,..,.,J,1,none,,1,1,4,1,1,1.0,75,,0.0,0,1,2004-03-29,0.05,4
04LA00092,04,A5301,04,82,03P,A7199,04,6.0,6,30,30,1,0,n,W,032904,89,3,3,2,4.9,1,1,H0775,05,83,30,,0,,,,,HAIRY,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,64,,0.0,0,1,2004-03-29,0.05,4
04LA00093,04,A5301,04,82,03P,A7199,04,6.0,6,30,30,1,0,n,W,032904,89,3,3,1,6.8,1,1,,,83,30,1,89,44,,,THIN,,1,1,..,.,J,3,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-29,0.05,4
04LA00094,04,A5301,04,82,03P,A7199,04,6.0,6,30,30,1,0,n,W,032904,89,3,3,2,4.5,1,1,,,83,30,1,89,44,,,THIN,,1,1,..,.,J,4,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-29,0.05,4
04LA00095,04,X0546,82,00,e.2,Z0000,81,1.0,1,33,97,4,7,y,N,032904,89,2,0,.,0.0,.,.,,,00,83,0,89,27,,,,,1,1,..,TAY,J,1,none,,1,1,2,0,0,,,,0.0,0,5,2004-03-29,0.0,2
04LA00096,04,X0546,82,00,e.2,Z0000,81,1.0,1,33,97,4,7,y,N,032904,89,2,0,.,0.0,.,.,,,00,83,0,89,27,,,,,1,1,..,TAY,J,2,none,,0,0,0,0,0,,,,0.0,0,5,2004-03-29,0.0,2
04LA00097,04,K0697,64,68,53K,K2454,64,5.0,5,06,06,1,0,n,G,032904,89,6,3,2,6.5,1,1,K2995,64,68,06,,0,,,,,WEAK + PNEU.,1,1,..,.,J,1,none,,1,1,2,1,1,1.0,81,,0.0,0,1,2004-03-29,0.024,2
04LA00098,04,K0697,64,68,53K,K2454,64,5.0,5,06,06,1,0,n,G,032904,89,6,3,2,4.9,1,1,,,68,06,0,89,27,,,,,1,1,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-29,0.024,2
04LA00099,04,K0055,64,62,51K,K2368,64,6.0,6,06,06,1,0,n,G,032904,89,8,4,1,12.4,1,1,K2996,64,68,06,,0,,,,"THIN,BLK.EYE",NICE LAMB,1,1,..,.,J,1,none,,1,1,2,1,1,1.0,78,,0.0,0,1,2004-03-29,0.027,2
04LA00100,04,K0055,64,62,51K,K2368,64,6.0,6,06,06,1,0,n,G,032904,89,8,4,2,12.0,1,1,K2997,64,68,06,,0,,,,,NICE LAMB,1,1,..,.,J,2,none,,0,0,0,1,1,1.0,80,,0.0,0,1,2004-03-29,0.027,2
