lamb_id10,sire_id10,dam_id10,source_file,source_row
1950113128,1947910107,1947112473,PEDI1950.csv,118
1950113245,1947910107,1948112514,PEDI1950.csv,119
1950113215,1947910107,1948112554,PEDI1950.csv,120
1950113073,1947910107,1948112573,PEDI1950.csv,121
1950113138,1947910107,1948112590,PEDI1950.csv,122
1950113235,1947910107,1948112603,PEDI1950.csv,123
1950113045,1947910107,1948112608,PEDI1950.csv,124
1950113092,1947910107,1948112720,PEDI1950.csv,125
1950113062,1947910107,1948112752,PEDI1950.csv,126
1950176262,1947910107,1942173209,PEDI1950.csv,127
1950176263,1947910107,1942173209,PEDI1950.csv,128
1950176403,1947910107,1945175027,PEDI1950.csv,129
1950176408,1947910107,1945175140,PEDI1950.csv,130
1950176409,1947910107,1945175140,PEDI1950.csv,131
1950176266,1947910107,1947175519,PEDI1950.csv,132
1950176386,1947910107,1948175687,PEDI1950.csv,133
1950131179,1947910109,1948139420,PEDI1950.csv,134
1950131335,1947910109,1942134731,PEDI1950.csv,135
1950130746,1947910109,1942135292,PEDI1950.csv,136
1950130747,1947910109,1942135292,PEDI1950.csv,137
1950130782,1947910109,1944136234,PEDI1950.csv,138
1950130834,1947910109,1945137028,PEDI1950.csv,139
1950130880,1947910109,1945137183,PEDI1950.csv,140
1950131076,1947910109,1945137513,PEDI1950.csv,141
1950131077,1947910109,1945137513,PEDI1950.csv,142
1950131404,1947910109,1946137841,PEDI1950.csv,143
1950131059,1947910109,1946137879,PEDI1950.csv,144
1950131060,1947910109,1946137879,PEDI1950.csv,145
1950130907,1947910109,1946137922,PEDI1950.csv,146
1950131127,1947910109,1946137972,PEDI1950.csv,147
1950130994,1947910109,1946138032,PEDI1950.csv,148
1950130995,1947910109,1946138032,PEDI1950.csv,149
1950131097,1947910109,1946138160,PEDI1950.csv,150
1950131445,1947910109,1946138168,PEDI1950.csv,151
1950130888,1947910109,1947138551,PEDI1950.csv,152
1950130826,1947910109,1947138744,PEDI1950.csv,153
1950131126,1947910109,1947138745,PEDI1950.csv,154
1950131408,1947910109,1947138786,PEDI1950.csv,155
1950130901,1947910109,1947138798,PEDI1950.csv,156
1950130849,1947910109,1947138894,PEDI1950.csv,157
1950130732,1947910109,1948139195,PEDI1950.csv,158
1950130751,1947910109,1948139217,PEDI1950.csv,159
1950130787,1947910109,1948139313,PEDI1950.csv,160
1950130902,1947910109,1948139411,PEDI1950.csv,161
1950131301,1947910109,1948139472,PEDI1950.csv,162
1950130939,1947910109,1948139489,PEDI1950.csv,163
1950131043,1947910109,1948139646,PEDI1950.csv,164
1950130749,1947910109,1948139686,PEDI1950.csv,165
1950131030,1947910109,1948139752,PEDI1950.csv,166
1950131117,1947910109,1948139813,PEDI1950.csv,167
1950176307,1947910109,1942173277,PEDI1950.csv,168
1950176327,1947910109,1944174541,PEDI1950.csv,169
1950176328,1947910109,1944174541,PEDI1950.csv,170
1950176468,1947910109,1946175336,PEDI1950.csv,171
1950176470,1947910109,1946175336,PEDI1950.csv,172
1950176329,1947910109,1947175508,PEDI1950.csv,173
1950176413,1947910109,1948175604,PEDI1950.csv,174
1950176314,1947910109,1948175721,PEDI1950.csv,175
1950113258,1948910110,1942110962,PEDI1950.csv,176
1950113259,1948910110,1942110962,PEDI1950.csv,177
1950113191,1948910110,1943111211,PEDI1950.csv,178
1950113074,1948910110,1944111459,PEDI1950.csv,179
1950113274,1948910110,1944111604,PEDI1950.csv,180
1950113275,1948910110,1944111604,PEDI1950.csv,181
1950113193,1948910110,1945111701,PEDI1950.csv,182
1950113127,1948910110,1945111711,PEDI1950.csv,183
1950113281,1948910110,1945111713,PEDI1950.csv,184
1950113153,1948910110,1946111979,PEDI1950.csv,185
1950113046,1948910110,1946111996,PEDI1950.csv,186
1950113047,1948910110,1946111996,PEDI1950.csv,187
1950113187,1948910110,1946112020,PEDI1950.csv,188
1950113188,1948910110,1946112020,PEDI1950.csv,189
1950113194,1948910110,1946112021,PEDI1950.csv,190
1950113115,1948910110,1946112060,PEDI1950.csv,191
1950113116,1948910110,1946112060,PEDI1950.csv,192
1950113149,1948910110,1946112127,PEDI1950.csv,193
1950113150,1948910110,1946112127,PEDI1950.csv,194
1950113059,1948910110,1947112230,PEDI1950.csv,195
1950113133,1948910110,1947112237,PEDI1950.csv,196
1950113051,1948910110,1947112241,PEDI1950.csv,197
1950113106,1948910110,1947112247,PEDI1950.csv,198
1950113107,1948910110,1947112247,PEDI1950.csv,199
1950113043,1948910110,1947112332,PEDI1950.csv,200
1950113044,1948910110,1947112332,PEDI1950.csv,201
1950113165,1948910110,1947112365,PEDI1950.csv,202
1950113207,1948910110,1947112386,PEDI1950.csv,203
1950113065,1948910110,1947112433,PEDI1950.csv,204
1950113048,1948910110,1948112518,PEDI1950.csv,205
1950113042,1948910110,1948112571,PEDI1950.csv,206
1950113114,1948910110,1948112572,PEDI1950.csv,207
1950113251,1948910110,1948112687,PEDI1950.csv,208
1950113142,1948910110,1948112709,PEDI1950.csv,209
1950113135,1948910110,1948112721,PEDI1950.csv,210
1950176489,1948910110,1945174865,PEDI1950.csv,211
1950176490,1948910110,1945174865,PEDI1950.csv,212
1950176432,1948910110,1945174981,PEDI1950.csv,213
1950176434,1948910110,1947175423,PEDI1950.csv,214
1950176421,1948910110,1947175500,PEDI1950.csv,215
1950113225,1947112232,1943111173,PEDI1950.csv,216
1950113226,1947112232,1943111173,PEDI1950.csv,217
1950113278,1947112232,1943111229,PEDI1950.csv,218
1950113175,1947112232,1944111431,PEDI1950.csv,219
1950113176,1947112232,1944111431,PEDI1950.csv,220
1950113244,1947112232,1944111616,PEDI1950.csv,221
1950113179,1947112232,1945111692,PEDI1950.csv,222
1950113055,1947112232,1945111731,PEDI1950.csv,223
1950113239,1947112232,1945111744,PEDI1950.csv,224
1950113240,1947112232,1945111744,PEDI1950.csv,225
1950113121,1947112232,1945111745,PEDI1950.csv,226
1950113122,1947112232,1945111745,PEDI1950.csv,227
1950113203,1947112232,1945111755,PEDI1950.csv,228
1950113230,1947112232,1945111771,PEDI1950.csv,229
1950113216,1947112232,1945111827,PEDI1950.csv,230
1950113204,1947112232,1945111828,PEDI1950.csv,231
1950113227,1947112232,1945111838,PEDI1950.csv,232
1950113228,1947112232,1945111838,PEDI1950.csv,233
1950113052,1947112232,1945111878,PEDI1950.csv,234
1950113072,1947112232,1946111972,PEDI1950.csv,235
1950113234,1947112232,1946112036,PEDI1950.csv,236
1950113151,1947112232,1946112102,PEDI1950.csv,237
1950113152,1947112232,1946112102,PEDI1950.csv,238
1950113146,1947112232,1946112153,PEDI1950.csv,239
1950113147,1947112232,1946112153,PEDI1950.csv,240
1950113231,1947112232,1946112173,PEDI1950.csv,241
1950113232,1947112232,1946112173,PEDI1950.csv,242
1950113242,1947112232,1947112220,PEDI1950.csv,243
1950113243,1947112232,1947112220,PEDI1950.csv,244
1950113110,1947112232,1947112259,PEDI1950.csv,245
1950113057,1947112232,1947112295,PEDI1950.csv,246
1950113112,1947112232,1947112369,PEDI1950.csv,247
1950113233,1947112232,1947112407,PEDI1950.csv,248
1950113158,1947112232,1947112470,PEDI1950.csv,249
1950113134,1947112232,1948112510,PEDI1950.csv,250
1950113075,1947112232,1948112516,PEDI1950.csv,251
1950113223,1947112232,1948112523,PEDI1950.csv,252
1950113076,1947112232,1948112546,PEDI1950.csv,253
