UID,LAMB,SIRE,DAM,ID10,SIREID10,DAMID10,LAMB_YYYY,LAMB_BRD,LAMB_ETAG,SIRE_YYYY,SIRE_BRD,SIRE_ETAG,DAM_YYYY,DAM_BRD,DAM_ETAG,SIRE_PRE_CUTOFF,DAM_PRE_CUTOFF
61PE00001,61102478,59000000,57143893,1961102478,US00593893,1957143893,1961,10,2478,1959,00,0000,1957,14,3893,0,0
61PE00002,61102479,59000000,57411877,1961102479,US00591877,1957411877,1961,10,2479,1959,00,0000,1957,41,1877,0,0
61PE00003,61102480,57910122,57102021,1961102480,1957910122,1957102021,1961,10,2480,1957,91,0122,1957,10,2021,0,0
61PE00004,61102481,55142461,58102183,1961102481,1955142461,1958102183,1961,10,2481,1955,14,2461,1958,10,2183,0,0
61PE00005,61102482,58115223,59102232,1961102482,1958115223,1959102232,1961,10,2482,1958,11,5223,1959,10,2232,0,0
61PE00006,61102483,60145403,56101972,1961102483,1960145403,1956101972,1961,10,2483,1960,14,5403,1956,10,1972,0,0
61PE00007,61102484,60145403,56101972,1961102484,1960145403,1956101972,1961,10,2484,1960,14,5403,1956,10,1972,0,0
61PE00008,61102485,56143087,56101962,1961102485,1956143087,1956101962,1961,10,2485,1956,14,3087,1956,10,1962,0,0
61PE00009,61102486,56143087,56101962,1961102486,1956143087,1956101962,1961,10,2486,1956,14,3087,1956,10,1962,0,0
61PE00010,61102487,57144015,57102005,1961102487,1957144015,1957102005,1961,10,2487,1957,14,4015,1957,10,2005,0,0
61PE00011,61102488,59115229,59102244,1961102488,1959115229,1959102244,1961,10,2488,1959,11,5229,1959,10,2244,0,0
61PE00012,61102489,58144184,59102261,1961102489,1958144184,1959102261,1961,10,2489,1958,14,4184,1959,10,2261,0,0
61PE00013,61102490,59145035,55101868,1961102490,1959145035,1955101868,1961,10,2490,1959,14,5035,1955,10,1868,0,0
61PE00014,61102491,56142928,57102023,1961102491,1956142928,1957102023,1961,10,2491,1956,14,2928,1957,10,2023,0,0
61PE00015,61102492,57143735,57101996,1961102492,1957143735,1957101996,1961,10,2492,1957,14,3735,1957,10,1996,0,0
61PE00016,61102494,59115229,57102028,1961102494,1959115229,1957102028,1961,10,2494,1959,11,5229,1957,10,2028,0,0
61PE00017,61102495,59115324,58102145,1961102495,1959115324,1958102145,1961,10,2495,1959,11,5324,1958,10,2145,0,0
61PE00018,61102496,59144855,57102073,1961102496,1959144855,1957102073,1961,10,2496,1959,14,4855,1957,10,2073,0,0
61PE00019,61102497,59145035,59102273,1961102497,1959145035,1959102273,1961,10,2497,1959,14,5035,1959,10,2273,0,0
61PE00020,61102498,56143220,59102340,1961102498,1956143220,1959102340,1961,10,2498,1956,14,3220,1959,10,2340,0,0
61PE00021,61102499,58115102,55101867,1961102499,1958115102,1955101867,1961,10,2499,1958,11,5102,1955,10,1867,0,0
61PE00022,61102500,56143087,58102161,1961102500,1956143087,1958102161,1961,10,2500,1956,14,3087,1958,10,2161,0,0
61PE00023,61102501,59144762,54101758,1961102501,1959144762,1954101758,1961,10,2501,1959,14,4762,1954,10,1758,0,0
61PE00024,61102502,59144762,54101758,1961102502,1959144762,1954101758,1961,10,2502,1959,14,4762,1954,10,1758,0,0
61PE00025,61102503,57143667,58102177,1961102503,1957143667,1958102177,1961,10,2503,1957,14,3667,1958,10,2177,0,0
61PE00026,61102504,59144739,59102233,1961102504,1959144739,1959102233,1961,10,2504,1959,14,4739,1959,10,2233,0,0
61PE00027,61102505,59145082,58102141,1961102505,1959145082,1958102141,1961,10,2505,1959,14,5082,1958,10,2141,0,0
61PE00028,61102506,59145082,58102141,1961102506,1959145082,1958102141,1961,10,2506,1959,14,5082,1958,10,2141,0,0
61PE00029,61102507,59115345,55101803,1961102507,1959115345,1955101803,1961,10,2507,1959,11,5345,1955,10,1803,0,0
61PE00030,61102508,59115345,55101803,1961102508,1959115345,1955101803,1961,10,2508,1959,11,5345,1955,10,1803,0,0
61PE00031,61102509,58115055,54101789,1961102509,1958115055,1954101789,1961,10,2509,1958,11,5055,1954,10,1789,0,0
61PE00032,61102510,59144739,58102135,1961102510,1959144739,1958102135,1961,10,2510,1959,14,4739,1958,10,2135,0,0
61PE00033,61102511,59115229,54101731,1961102511,1959115229,1954101731,1961,10,2511,1959,11,5229,1954,10,1731,0,0
61PE00034,61102512,59115229,54101731,1961102512,1959115229,1954101731,1961,10,2512,1959,11,5229,1954,10,1731,0,0
61PE00035,61102513,59144673,57102072,1961102513,1959144673,1957102072,1961,10,2513,1959,14,4673,1957,10,2072,0,0
61PE00036,61102514,59144673,57102072,1961102514,1959144673,1957102072,1961,10,2514,1959,14,4673,1957,10,2072,0,0
61PE00037,61102515,58144116,56101935,1961102515,1958144116,1956101935,1961,10,2515,1958,14,4116,1956,10,1935,0,0
61PE00038,61102516,59145177,57102017,1961102516,1959145177,1957102017,1961,10,2516,1959,14,5177,1957,10,2017,0,0
61PE00039,61102517,59145177,57102017,1961102517,1959145177,1957102017,1961,10,2517,1959,14,5177,1957,10,2017,0,0
61PE00040,61102518,57143735,58102184,1961102518,1957143735,1958102184,1961,10,2518,1957,14,3735,1958,10,2184,0,0
61PE00041,61102519,59115373,57102048,1961102519,1959115373,1957102048,1961,10,2519,1959,11,5373,1957,10,2048,0,0
61PE00042,61102520,59144739,54101759,1961102520,1959144739,1954101759,1961,10,2520,1959,14,4739,1954,10,1759,0,0
61PE00043,61102521,59144739,54101759,1961102521,1959144739,1954101759,1961,10,2521,1959,14,4739,1954,10,1759,0,0
61PE00044,61102523,58115038,56101967,1961102523,1958115038,1956101967,1961,10,2523,1958,11,5038,1956,10,1967,0,0
61PE00045,61102524,58115038,56101967,1961102524,1958115038,1956101967,1961,10,2524,1958,11,5038,1956,10,1967,0,0
61PE00046,61102525,59144855,59102265,1961102525,1959144855,1959102265,1961,10,2525,1959,14,4855,1959,10,2265,0,0
61PE00047,61102526,59115381,55101887,1961102526,1959115381,1955101887,1961,10,2526,1959,11,5381,1955,10,1887,0,0
61PE00048,61102528,59144855,55101821,1961102528,1959144855,1955101821,1961,10,2528,1959,14,4855,1955,10,1821,0,0
61PE00049,61102529,59144855,55101821,1961102529,1959144855,1955101821,1961,10,2529,1959,14,4855,1955,10,1821,0,0
61PE00050,61102530,58115055,57102051,1961102530,1958115055,1957102051,1961,10,2530,1958,11,5055,1957,10,2051,0,0
61PE00051,61102531,58115055,57102051,1961102531,1958115055,1957102051,1961,10,2531,1958,11,5055,1957,10,2051,0,0
61PE00052,61102532,59145005,57102003,1961102532,1959145005,1957102003,1961,10,2532,1959,14,5005,1957,10,2003,0,0
61PE00053,61102533,59145005,57102003,1961102533,1959145005,1957102003,1961,10,2533,1959,14,5005,1957,10,2003,0,0
61PE00054,61102534,59144807,57102047,1961102534,1959144807,1957102047,1961,10,2534,1959,14,4807,1957,10,2047,0,0
61PE00055,61102535,59144807,57102047,1961102535,1959144807,1957102047,1961,10,2535,1959,14,4807,1957,10,2047,0,0
61PE00056,61102536,59115250,55101844,1961102536,1959115250,1955101844,1961,10,2536,1959,11,5250,1955,10,1844,0,0
61PE00057,61102537,58115223,54101728,1961102537,1958115223,1954101728,1961,10,2537,1958,11,5223,1954,10,1728,0,0
61PE00058,61102538,58115223,54101728,1961102538,1958115223,1954101728,1961,10,2538,1958,11,5223,1954,10,1728,0,0
61PE00059,61102539,58115223,54101728,1961102539,1958115223,1954101728,1961,10,2539,1958,11,5223,1954,10,1728,0,0
61PE00060,61102540,59144673,59102304,1961102540,1959144673,1959102304,1961,10,2540,1959,14,4673,1959,10,2304,0,0
61PE00061,61102541,59145035,58102133,1961102541,1959145035,1958102133,1961,10,2541,1959,14,5035,1958,10,2133,0,0
61PE00062,61102542,59115324,54101733,1961102542,1959115324,1954101733,1961,10,2542,1959,11,5324,1954,10,1733,0,0
61PE00063,61102543,58115055,59102253,1961102543,1958115055,1959102253,1961,10,2543,1958,11,5055,1959,10,2253,0,0
61PE00064,61102544,59145000,56101931,1961102544,1959145000,1956101931,1961,10,2544,1959,14,5000,1956,10,1931,0,0
61PE00065,61102545,59145000,56101931,1961102545,1959145000,1956101931,1961,10,2545,1959,14,5000,1956,10,1931,0,0
61PE00066,61102546,59115373,54101762,1961102546,1959115373,1954101762,1961,10,2546,1959,11,5373,1954,10,1762,0,0
61PE00067,61102547,58115176,56101979,1961102547,1958115176,1956101979,1961,10,2547,1958,11,5176,1956,10,1979,0,0
61PE00068,61102548,57910122,59102230,1961102548,1957910122,1959102230,1961,10,2548,1957,91,0122,1959,10,2230,0,0
61PE00069,61102549,59115324,57102012,1961102549,1959115324,1957102012,1961,10,2549,1959,11,5324,1957,10,2012,0,0
61PE00070,61102550,58144116,58102149,1961102550,1958144116,1958102149,1961,10,2550,1958,14,4116,1958,10,2149,0,0
61PE00071,61102551,59144807,58102124,1961102551,1959144807,1958102124,1961,10,2551,1959,14,4807,1958,10,2124,0,0
61PE00072,61102552,59144807,58102124,1961102552,1959144807,1958102124,1961,10,2552,1959,14,4807,1958,10,2124,0,0
61PE00073,61102553,56143220,58102172,1961102553,1956143220,1958102172,1961,10,2553,1956,14,3220,1958,10,2172,0,0
61PE00074,61102554,56143220,58102172,1961102554,1956143220,1958102172,1961,10,2554,1956,14,3220,1958,10,2172,0,0
61PE00075,61102555,59145082,59102293,1961102555,1959145082,1959102293,1961,10,2555,1959,14,5082,1959,10,2293,0,0
61PE00076,61102556,59115255,56101898,1961102556,1959115255,1956101898,1961,10,2556,1959,11,5255,1956,10,1898,0,0
61PE00077,61102557,59115255,56101898,1961102557,1959115255,1956101898,1961,10,2557,1959,11,5255,1956,10,1898,0,0
61PE00078,61102558,59115255,59102254,1961102558,1959115255,1959102254,1961,10,2558,1959,11,5255,1959,10,2254,0,0
61PE00079,61102559,58144114,59102249,1961102559,1958144114,1959102249,1961,10,2559,1958,14,4114,1959,10,2249,0,0
61PE00080,61102560,58115102,59102281,1961102560,1958115102,1959102281,1961,10,2560,1958,11,5102,1959,10,2281,0,0
61PE00081,61102561,58115102,59102281,1961102561,1958115102,1959102281,1961,10,2561,1958,11,5102,1959,10,2281,0,0
61PE00082,61102562,57144015,58102214,1961102562,1957144015,1958102214,1961,10,2562,1957,14,4015,1958,10,2214,0,0
61PE00083,61102563,59145005,58102190,1961102563,1959145005,1958102190,1961,10,2563,1959,14,5005,1958,10,2190,0,0
61PE00084,61102564,58144184,58102158,1961102564,1958144184,1958102158,1961,10,2564,1958,14,4184,1958,10,2158,0,0
61PE00085,61102565,58144184,58102158,1961102565,1958144184,1958102158,1961,10,2565,1958,14,4184,1958,10,2158,0,0
61PE00086,61102566,57143667,59102344,1961102566,1957143667,1959102344,1961,10,2566,1957,14,3667,1959,10,2344,0,0
61PE00087,61102567,59115255,58102153,1961102567,1959115255,1958102153,1961,10,2567,1959,11,5255,1958,10,2153,0,0
61PE00088,61102568,59115250,58102121,1961102568,1959115250,1958102121,1961,10,2568,1959,11,5250,1958,10,2121,0,0
61PE00089,61102569,59144837,56101942,1961102569,1959144837,1956101942,1961,10,2569,1959,14,4837,1956,10,1942,0,0
61PE00090,61102570,59144762,57102031,1961102570,1959144762,1957102031,1961,10,2570,1959,14,4762,1957,10,2031,0,0
61PE00091,61102571,59144762,57102031,1961102571,1959144762,1957102031,1961,10,2571,1959,14,4762,1957,10,2031,0,0
61PE00092,61102572,57143829,57102061,1961102572,1957143829,1957102061,1961,10,2572,1957,14,3829,1957,10,2061,0,0
61PE00093,61102573,58115223,57102027,1961102573,1958115223,1957102027,1961,10,2573,1958,11,5223,1957,10,2027,0,0
61PE00094,61102574,58115223,57102027,1961102574,1958115223,1957102027,1961,10,2574,1958,11,5223,1957,10,2027,0,0
61PE00095,61102575,56143220,56101974,1961102575,1956143220,1956101974,1961,10,2575,1956,14,3220,1956,10,1974,0,0
61PE00096,61102576,56143220,56101974,1961102576,1956143220,1956101974,1961,10,2576,1956,14,3220,1956,10,1974,0,0
61PE00097,61102577,58144116,59102312,1961102577,1958144116,1959102312,1961,10,2577,1958,14,4116,1959,10,2312,0,0
61PE00098,61102578,58115176,56101919,1961102578,1958115176,1956101919,1961,10,2578,1958,11,5176,1956,10,1919,0,0
61PE00099,61102579,58115176,56101919,1961102579,1958115176,1956101919,1961,10,2579,1958,11,5176,1956,10,1919,0,0
61PE00100,61102580,59115381,59102328,1961102580,1959115381,1959102328,1961,10,2580,1959,11,5381,1959,10,2328,0,0
61PE00101,61102581,58144114,57102052,1961102581,1958144114,1957102052,1961,10,2581,1958,14,4114,1957,10,2052,0,0
61PE00102,61102582,58144114,57102052,1961102582,1958144114,1957102052,1961,10,2582,1958,14,4114,1957,10,2052,0,0
61PE00103,61102583,59115345,58102173,1961102583,1959115345,1958102173,1961,10,2583,1959,11,5345,1958,10,2173,0,0
61PE00104,61102584,59115345,58102173,1961102584,1959115345,1958102173,1961,10,2584,1959,11,5345,1958,10,2173,0,0
61PE00105,61102585,57143735,59102345,1961102585,1957143735,1959102345,1961,10,2585,1957,14,3735,1959,10,2345,0,0
61PE00106,61102586,57143735,59102345,1961102586,1957143735,1959102345,1961,10,2586,1957,14,3735,1959,10,2345,0,0
61PE00107,61102587,59144739,57102000,1961102587,1959144739,1957102000,1961,10,2587,1959,14,4739,1957,10,2000,0,0
61PE00108,61102588,58144114,58102211,1961102588,1958144114,1958102211,1961,10,2588,1958,14,4114,1958,10,2211,0,0
61PE00109,61102589,59115250,59102267,1961102589,1959115250,1959102267,1961,10,2589,1959,11,5250,1959,10,2267,0,0
61PE00110,61102590,58115171,58102179,1961102590,1958115171,1958102179,1961,10,2590,1958,11,5171,1958,10,2179,0,0
61PE00111,61102591,59145000,59102294,1961102591,1959145000,1959102294,1961,10,2591,1959,14,5000,1959,10,2294,0,0
61PE00112,61102592,57143667,56101990,1961102592,1957143667,1956101990,1961,10,2592,1957,14,3667,1956,10,1990,0,0
61PE00113,61102593,59145082,56101915,1961102593,1959145082,1956101915,1961,10,2593,1959,14,5082,1956,10,1915,0,0
61PE00114,61102594,59000000,54141989,1961102594,US00591989,1954141989,1961,10,2594,1959,00,0000,1954,14,1989,0,0
61PE00115,61102595,59000000,54141989,1961102595,US00591989,1954141989,1961,10,2595,1959,00,0000,1954,14,1989,0,0
61PE00116,61102596,59410000,54408837,1961102596,US41598837,1954408837,1961,10,2596,1959,41,0000,1954,40,8837,0,0
61PE00117,61102597,59410000,59414347,1961102597,US41594347,1959414347,1961,10,2597,1959,41,0000,1959,41,4347,0,0
61PE00118,61102598,59115373,59102252,1961102598,1959115373,1959102252,1961,10,2598,1959,11,5373,1959,10,2252,0,0
61PE00119,61102599,59410000,58412770,1961102599,US41592770,1958412770,1961,10,2599,1959,41,0000,1958,41,2770,0,0
61PE00120,61102600,59410000,55409488,1961102600,US41599488,1955409488,1961,10,2600,1959,41,0000,1955,40,9488,0,0
61PE00121,61102601,59410000,55409488,1961102601,US41599488,1955409488,1961,10,2601,1959,41,0000,1955,40,9488,0,0
61PE00122,61102602,59410000,55410018,1961102602,US41590018,1955410018,1961,10,2602,1959,41,0000,1955,41,0018,0,0
61PE00123,61102603,59410000,58412676,1961102603,US41592676,1958412676,1961,10,2603,1959,41,0000,1958,41,2676,0,0
61PE00124,61102604,59410000,56411060,1961102604,US41591060,1956411060,1961,10,2604,1959,41,0000,1956,41,1060,0,0
61PE00125,61102605,59410000,56410851,1961102605,US41590851,1956410851,1961,10,2605,1959,41,0000,1956,41,0851,0,0
61PE00126,61102606,59410000,56410851,1961102606,US41590851,1956410851,1961,10,2606,1959,41,0000,1956,41,0851,0,0
61PE00127,61102607,59414200,54408801,1961102607,1959414200,1954408801,1961,10,2607,1959,41,4200,1954,40,8801,0,0
61PE00128,61102608,59410000,58413142,1961102608,US41593142,1958413142,1961,10,2608,1959,41,0000,1958,41,3142,0,0
61PE00129,61102609,59410000,58412710,1961102609,US41592710,1958412710,1961,10,2609,1959,41,0000,1958,41,2710,0,0
61PE00130,61102610,59410000,58412374,1961102610,US41592374,1958412374,1961,10,2610,1959,41,0000,1958,41,2374,0,0
61PE00131,61115588,58115102,57114932,1961115588,1958115102,1957114932,1961,11,5588,1958,11,5102,1957,11,4932,0,0
61PE00132,61115589,58115223,58115073,1961115589,1958115223,1958115073,1961,11,5589,1958,11,5223,1958,11,5073,0,0
61PE00133,61115590,58115102,58115132,1961115590,1958115102,1958115132,1961,11,5590,1958,11,5102,1958,11,5132,0,0
61PE00134,61115591,59115229,56114737,1961115591,1959115229,1956114737,1961,11,5591,1959,11,5229,1956,11,4737,0,0
61PE00135,61115592,58115141,56114777,1961115592,1958115141,1956114777,1961,11,5592,1958,11,5141,1956,11,4777,0,0
61PE00136,61115593,58115038,56114693,1961115593,1958115038,1956114693,1961,11,5593,1958,11,5038,1956,11,4693,0,0
61PE00137,61115594,58115223,57114943,1961115594,1958115223,1957114943,1961,11,5594,1958,11,5223,1957,11,4943,0,0
61PE00138,61115595,58115223,57114943,1961115595,1958115223,1957114943,1961,11,5595,1958,11,5223,1957,11,4943,0,0
61PE00139,61115596,58115038,59115247,1961115596,1958115038,1959115247,1961,11,5596,1958,11,5038,1959,11,5247,0,0
61PE00140,61115597,59115250,59115291,1961115597,1959115250,1959115291,1961,11,5597,1959,11,5250,1959,11,5291,0,0
61PE00141,61115598,59115373,59115300,1961115598,1959115373,1959115300,1961,11,5598,1959,11,5373,1959,11,5300,0,0
61PE00142,61115599,58115055,52113694,1961115599,1958115055,1952113694,1961,11,5599,1958,11,5055,1952,11,3694,0,0
61PE00143,61115600,58115038,56114643,1961115600,1958115038,1956114643,1961,11,5600,1958,11,5038,1956,11,4643,0,0
61PE00144,61115601,58115223,55114389,1961115601,1958115223,1955114389,1961,11,5601,1958,11,5223,1955,11,4389,0,0
61PE00145,61115602,58115141,57115006,1961115602,1958115141,1957115006,1961,11,5602,1958,11,5141,1957,11,5006,0,0
61PE00146,61115603,59115250,57115021,1961115603,1959115250,1957115021,1961,11,5603,1959,11,5250,1957,11,5021,0,0
61PE00147,61115604,58115223,54114204,1961115604,1958115223,1954114204,1961,11,5604,1958,11,5223,1954,11,4204,0,0
61PE00148,61115605,59115373,59115301,1961115605,1959115373,1959115301,1961,11,5605,1959,11,5373,1959,11,5301,0,0
61PE00149,61115606,59115373,59115301,1961115606,1959115373,1959115301,1961,11,5606,1959,11,5373,1959,11,5301,0,0
61PE00150,61115607,59115250,53113901,1961115607,1959115250,1953113901,1961,11,5607,1959,11,5250,1953,11,3901,0,0
61PE00151,61115608,59115250,53113901,1961115608,1959115250,1953113901,1961,11,5608,1959,11,5250,1953,11,3901,0,0
61PE00152,61115609,58115141,55114460,1961115609,1958115141,1955114460,1961,11,5609,1958,11,5141,1955,11,4460,0,0
61PE00153,61115610,58115141,55114460,1961115610,1958115141,1955114460,1961,11,5610,1958,11,5141,1955,11,4460,0,0
61PE00154,61115611,58115102,53113828,1961115611,1958115102,1953113828,1961,11,5611,1958,11,5102,1953,11,3828,0,0
61PE00155,61115612,58115102,53113828,1961115612,1958115102,1953113828,1961,11,5612,1958,11,5102,1953,11,3828,0,0
61PE00156,61115613,59115250,55114548,1961115613,1959115250,1955114548,1961,11,5613,1959,11,5250,1955,11,4548,0,0
61PE00157,61115614,59115250,56114635,1961115614,1959115250,1956114635,1961,11,5614,1959,11,5250,1956,11,4635,0,0
61PE00158,61115615,59115250,56114635,1961115615,1959115250,1956114635,1961,11,5615,1959,11,5250,1956,11,4635,0,0
61PE00159,61115616,59115229,54114335,1961115616,1959115229,1954114335,1961,11,5616,1959,11,5229,1954,11,4335,0,0
61PE00160,61115617,59115229,59115262,1961115617,1959115229,1959115262,1961,11,5617,1959,11,5229,1959,11,5262,0,0
61PE00161,61115618,59115250,56114793,1961115618,1959115250,1956114793,1961,11,5618,1959,11,5250,1956,11,4793,0,0
61PE00162,61115619,59115250,56114793,1961115619,1959115250,1956114793,1961,11,5619,1959,11,5250,1956,11,4793,0,0
61PE00163,61115620,58115223,54114303,1961115620,1958115223,1954114303,1961,11,5620,1958,11,5223,1954,11,4303,0,0
61PE00164,61115621,59115373,57114926,1961115621,1959115373,1957114926,1961,11,5621,1959,11,5373,1957,11,4926,0,0
61PE00165,61115622,59115373,57114926,1961115622,1959115373,1957114926,1961,11,5622,1959,11,5373,1957,11,4926,0,0
61PE00166,61115623,58115038,54114294,1961115623,1958115038,1954114294,1961,11,5623,1958,11,5038,1954,11,4294,0,0
61PE00167,61115624,59115250,58115127,1961115624,1959115250,1958115127,1961,11,5624,1959,11,5250,1958,11,5127,0,0
61PE00168,61115625,59115250,54114185,1961115625,1959115250,1954114185,1961,11,5625,1959,11,5250,1954,11,4185,0,0
61PE00169,61115626,59115250,54114185,1961115626,1959115250,1954114185,1961,11,5626,1959,11,5250,1954,11,4185,0,0
61PE00170,61115627,59115229,59115376,1961115627,1959115229,1959115376,1961,11,5627,1959,11,5229,1959,11,5376,0,0
61PE00171,61115628,59115373,59115263,1961115628,1959115373,1959115263,1961,11,5628,1959,11,5373,1959,11,5263,0,0
61PE00172,61115629,59115229,54114361,1961115629,1959115229,1954114361,1961,11,5629,1959,11,5229,1954,11,4361,0,0
61PE00173,61115630,58115038,54114080,1961115630,1958115038,1954114080,1961,11,5630,1958,11,5038,1954,11,4080,0,0
61PE00174,61115631,58115038,54114080,1961115631,1958115038,1954114080,1961,11,5631,1958,11,5038,1954,11,4080,0,0
61PE00175,61115632,58115055,57114999,1961115632,1958115055,1957114999,1961,11,5632,1958,11,5055,1957,11,4999,0,0
61PE00176,61115633,58115038,59115330,1961115633,1958115038,1959115330,1961,11,5633,1958,11,5038,1959,11,5330,0,0
61PE00177,61115634,58115055,58115128,1961115634,1958115055,1958115128,1961,11,5634,1958,11,5055,1958,11,5128,0,0
61PE00178,61115635,58115055,54114219,1961115635,1958115055,1954114219,1961,11,5635,1958,11,5055,1954,11,4219,0,0
61PE00179,61115636,58115055,54114219,1961115636,1958115055,1954114219,1961,11,5636,1958,11,5055,1954,11,4219,0,0
61PE00180,61115637,59115229,55114433,1961115637,1959115229,1955114433,1961,11,5637,1959,11,5229,1955,11,4433,0,0
61PE00181,61115638,59115229,55114433,1961115638,1959115229,1955114433,1961,11,5638,1959,11,5229,1955,11,4433,0,0
61PE00182,61115639,58115038,59115336,1961115639,1958115038,1959115336,1961,11,5639,1958,11,5038,1959,11,5336,0,0
61PE00183,61115640,58115223,56114782,1961115640,1958115223,1956114782,1961,11,5640,1958,11,5223,1956,11,4782,0,0
61PE00184,61115641,58115141,54114279,1961115641,1958115141,1954114279,1961,11,5641,1958,11,5141,1954,11,4279,0,0
61PE00185,61115642,58115038,58115185,1961115642,1958115038,1958115185,1961,11,5642,1958,11,5038,1958,11,5185,0,0
61PE00186,61115643,59115373,55114593,1961115643,1959115373,1955114593,1961,11,5643,1959,11,5373,1955,11,4593,0,0
61PE00187,61115644,59115373,55114593,1961115644,1959115373,1955114593,1961,11,5644,1959,11,5373,1955,11,4593,0,0
61PE00188,61115645,59115373,58115056,1961115645,1959115373,1958115056,1961,11,5645,1959,11,5373,1958,11,5056,0,0
61PE00189,61115646,59115373,58115056,1961115646,1959115373,1958115056,1961,11,5646,1959,11,5373,1958,11,5056,0,0
61PE00190,61115647,58115102,55114383,1961115647,1958115102,1955114383,1961,11,5647,1958,11,5102,1955,11,4383,0,0
