UID,LAMBID,SIREID,DAMID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,ID10,SIREID10,DAMID10,SIRE_PRE_CUTOFF,DAM_PRE_CUTOFF
02PE00032,102048924, 97044203,101048197,02,04,A8924,04,A4203,04,A8197,72,2002048924,1997044203,2001048197,0,0
02PE00033,102048925,100816925,101048198,02,04,A8925,81,Z6925,04,A8198,80,2002048925,2000816925,2001048198,0,0
02PE00034,102048926,100816925,101048198,02,04,A8926,81,Z6925,04,A8198,80,2002048926,2000816925,2001048198,0,0
02PE00035,102048927, 99046642,101048520,02,04,A8927,04,A6642,04,A8520,73,2002048927,1999046642,2001048520,0,0
02PE00036,102048928, 97044203,101048522,02,04,A8928,04,A4203,04,A8522,72,2002048928,1997044203,2001048522,0,0
02PE00037,102048929, 97044203,101048522,02,04,A8929,04,A4203,04,A8522,72,2002048929,1997044203,2001048522,0,0
02PE00038,102048930, 99046925,101048274,02,04,A8930,04,A6925,04,A8274,30,2002048930,1999046925,2001048274,0,0
02PE00039,102048931, 99046827,101817342,02,04,A8931,04,A6827,81,Z7342,80,2002048931,1999046827,2001817342,0,0
02PE00040,102048932, 99046827,101817342,02,04,A8932,04,A6827,81,Z7342,80,2002048932,1999046827,2001817342,0,0
02PE00041,102048933, 99046761,101048589,02,04,A8933,04,A6761,04,A8589,80,2002048933,1999046761,2001048589,0,0
02PE00042,102048934, 99046761,101048589,02,04,A8934,04,A6761,04,A8589,80,2002048934,1999046761,2001048589,0,0
02PE00043,102048935, 99046925,101048785,02,04,A8935,04,A6925,04,A8785,30,2002048935,1999046925,2001048785,0,0
02PE00044,102048936, 97044142,101048804,02,04,A8936,04,A4142,04,A8804,72,2002048936,1997044142,2001048804,0,0
02PE00045,102048937, 97044142,101048804,02,04,A8937,04,A4142,04,A8804,72,2002048937,1997044142,2001048804,0,0
02PE00046,102048938, 97044142,101048804,02,04,A8938,04,A4142,04,A8804,72,2002048938,1997044142,2001048804,0,0
02PE00047,102048939, 97044142,101048804,02,04,A8939,04,A4142,04,A8804,72,2002048939,1997044142,2001048804,0,0
02PE00048,102048940, 99046642,101048209,02,04,A8940,04,A6642,04,A8209,73,2002048940,1999046642,2001048209,0,0
02PE00049,102048941, 99046642,101048209,02,04,A8941,04,A6642,04,A8209,73,2002048941,1999046642,2001048209,0,0
