UID,LAMB,SIRE,DAM,ID10,SIREID10,DAMID10,LAMB_YR,LAMB_BRD,LAMB_ETAG,SIRE_YR,SIRE_BRD,SIRE_ETAG,DAM_YR,DAM_BRD,DAM_ETAG
50PE00058,50176514,48170000,48139844,1950176514,US17489844,1948139844,50,17,6514,48,17,0000,48,13,9844
50PE00059,50176501,48170000,43174365,1950176501,US17484365,1943174365,50,17,6501,48,17,0000,43,17,4365
50PE00060,50176526,48170000,45174913,1950176526,US17484913,1945174913,50,17,6526,48,17,0000,45,17,4913
50PE00061,50176509,48170000,48175830,1950176509,US17485830,1948175830,50,17,6509,48,17,0000,48,17,5830
50PE00062,50176525,48170000,48175846,1950176525,US17485846,1948175846,50,17,6525,48,17,0000,48,17,5846
50PE00063,50113080,47910106,42111089,1950113080,1947910106,1942111089,50,11,3080,47,91,0106,42,11,1089
50PE00064,50113081,47910106,42111089,1950113081,1947910106,1942111089,50,11,3081,47,91,0106,42,11,1089
50PE00065,50113094,47910106,44111418,1950113094,1947910106,1944111418,50,11,3094,47,91,0106,44,11,1418
50PE00066,50113095,47910106,44111418,1950113095,1947910106,1944111418,50,11,3095,47,91,0106,44,11,1418
50PE00067,50113117,47910106,44111490,1950113117,1947910106,1944111490,50,11,3117,47,91,0106,44,11,1490
50PE00068,50113118,47910106,44111490,1950113118,1947910106,1944111490,50,11,3118,47,91,0106,44,11,1490
50PE00069,50113136,47910106,44111499,1950113136,1947910106,1944111499,50,11,3136,47,91,0106,44,11,1499
50PE00070,50113279,47910106,44111578,1950113279,1947910106,1944111578,50,11,3279,47,91,0106,44,11,1578
50PE00071,50113063,47910106,46111948,1950113063,1947910106,1946111948,50,11,3063,47,91,0106,46,11,1948
50PE00072,50113166,47910106,46111949,1950113166,1947910106,1946111949,50,11,3166,47,91,0106,46,11,1949
50PE00073,50113167,47910106,46111949,1950113167,1947910106,1946111949,50,11,3167,47,91,0106,46,11,1949
50PE00074,50113109,47910106,46112156,1950113109,1947910106,1946112156,50,11,3109,47,91,0106,46,11,2156
50PE00075,50113250,47910106,47112243,1950113250,1947910106,1947112243,50,11,3250,47,91,0106,47,11,2243
50PE00076,50113124,47910106,47112276,1950113124,1947910106,1947112276,50,11,3124,47,91,0106,47,11,2276
50PE00077,50113178,47910106,47112306,1950113178,1947910106,1947112306,50,11,3178,47,91,0106,47,11,2306
50PE00078,50113266,47910106,47112338,1950113266,1947910106,1947112338,50,11,3266,47,91,0106,47,11,2338
