UID,LAMB,SIRE,DAM,ID10,SIREID10,DAMID10,LAMB_YYYY,LAMB_BRD,LAMB_ETAG,SIRE_YYYY,SIRE_BRD,SIRE_ETAG,DAM_YYYY,DAM_BRD,DAM_ETAG,SIRE_PRE_CUTOFF,DAM_PRE_CUTOFF
92PE00001,92038348,90030000,90035526,1992038348,US03905526,1990035526,1992,03,8348,1990,03,0000,1990,03,5526,0,0
92PE00002,92038349,90030000,90035704,1992038349,US03905704,1990035704,1992,03,8349,1990,03,0000,1990,03,5704,0,0
92PE00003,92038350,90030000,90035704,1992038350,US03905704,1990035704,1992,03,8350,1990,03,0000,1990,03,5704,0,0
92PE00004,92038351,90030000,90035390,1992038351,US03905390,1990035390,1992,03,8351,1990,03,0000,1990,03,5390,0,0
92PE00005,92038352,90030000,90035390,1992038352,US03905390,1990035390,1992,03,8352,1990,03,0000,1990,03,5390,0,0
92PE00006,92038353,90030000,90034971,1992038353,US03904971,1990034971,1992,03,8353,1990,03,0000,1990,03,4971,0,0
92PE00007,92038354,90030000,90034971,1992038354,US03904971,1990034971,1992,03,8354,1990,03,0000,1990,03,4971,0,0
92PE00008,92038355,90030000,88032199,1992038355,US03902199,1988032199,1992,03,8355,1990,03,0000,1988,03,2199,0,0
92PE00009,92038356,90030000,88032199,1992038356,US03902199,1988032199,1992,03,8356,1990,03,0000,1988,03,2199,0,0
92PE00010,92038357,90030000,90035633,1992038357,US03905633,1990035633,1992,03,8357,1990,03,0000,1990,03,5633,0,0
92PE00011,92038358,90030000,90035633,1992038358,US03905633,1990035633,1992,03,8358,1990,03,0000,1990,03,5633,0,0
92PE00012,92038359,90030000,89033840,1992038359,US03903840,1989033840,1992,03,8359,1990,03,0000,1989,03,3840,0,0
92PE00013,92038360,90030000,89033840,1992038360,US03903840,1989033840,1992,03,8360,1990,03,0000,1989,03,3840,0,0
92PE00014,92038361,90030000,88032156,1992038361,US03902156,1988032156,1992,03,8361,1990,03,0000,1988,03,2156,0,0
92PE00015,92038362,90030000,88032156,1992038362,US03902156,1988032156,1992,03,8362,1990,03,0000,1988,03,2156,0,0
92PE00016,92038363,90030000,88032156,1992038363,US03902156,1988032156,1992,03,8363,1990,03,0000,1988,03,2156,0,0
92PE00017,92038364,90030000,86030056,1992038364,US03900056,1986030056,1992,03,8364,1990,03,0000,1986,03,0056,0,0
92PE00018,92038365,90030000,90034756,1992038365,US03904756,1990034756,1992,03,8365,1990,03,0000,1990,03,4756,0,0
92PE00019,92038366,90030000,87030509,1992038366,US03900509,1987030509,1992,03,8366,1990,03,0000,1987,03,0509,0,0
92PE00020,92038367,90030000,87030509,1992038367,US03900509,1987030509,1992,03,8367,1990,03,0000,1987,03,0509,0,0
92PE00021,92038368,90030000,90035737,1992038368,US03905737,1990035737,1992,03,8368,1990,03,0000,1990,03,5737,0,0
92PE00022,92038369,90030000,90035737,1992038369,US03905737,1990035737,1992,03,8369,1990,03,0000,1990,03,5737,0,0
92PE00023,92038370,90030000,89033663,1992038370,US03903663,1989033663,1992,03,8370,1990,03,0000,1989,03,3663,0,0
92PE00024,92038371,90030000,89033663,1992038371,US03903663,1989033663,1992,03,8371,1990,03,0000,1989,03,3663,0,0
92PE00025,92038372,90030000,88031957,1992038372,US03901957,1988031957,1992,03,8372,1990,03,0000,1988,03,1957,0,0
92PE00026,92038373,90030000,88031957,1992038373,US03901957,1988031957,1992,03,8373,1990,03,0000,1988,03,1957,0,0
92PE00027,92038374,90030000,89033678,1992038374,US03903678,1989033678,1992,03,8374,1990,03,0000,1989,03,3678,0,0
92PE00028,92038375,90030000,89033678,1992038375,US03903678,1989033678,1992,03,8375,1990,03,0000,1989,03,3678,0,0
92PE00029,92038376,90030000,90034884,1992038376,US03904884,1990034884,1992,03,8376,1990,03,0000,1990,03,4884,0,0
92PE00030,92038377,90030000,90034884,1992038377,US03904884,1990034884,1992,03,8377,1990,03,0000,1990,03,4884,0,0
92PE00031,92038378,90030000,87031404,1992038378,US03901404,1987031404,1992,03,8378,1990,03,0000,1987,03,1404,0,0
92PE00032,92038379,90030000,87031404,1992038379,US03901404,1987031404,1992,03,8379,1990,03,0000,1987,03,1404,0,0
92PE00033,92038380,90030000,90035295,1992038380,US03905295,1990035295,1992,03,8380,1990,03,0000,1990,03,5295,0,0
92PE00034,92038381,90030000,86029555,1992038381,US03909555,1986029555,1992,03,8381,1990,03,0000,1986,02,9555,0,0
92PE00035,92038382,90030000,86029335,1992038382,US03909335,1986029335,1992,03,8382,1990,03,0000,1986,02,9335,0,0
92PE00036,92038383,90030000,86029335,1992038383,US03909335,1986029335,1992,03,8383,1990,03,0000,1986,02,9335,0,0
92PE00037,92038384,90030000,90035823,1992038384,US03905823,1990035823,1992,03,8384,1990,03,0000,1990,03,5823,0,0
92PE00038,92038385,90030000,90035823,1992038385,US03905823,1990035823,1992,03,8385,1990,03,0000,1990,03,5823,0,0
92PE00039,92038386,90030000,86029335,1992038386,US03909335,1986029335,1992,03,8386,1990,03,0000,1986,02,9335,0,0
92PE00040,92038387,90030000,88032079,1992038387,US03902079,1988032079,1992,03,8387,1990,03,0000,1988,03,2079,0,0
92PE00041,92038388,90030000,88032079,1992038388,US03902079,1988032079,1992,03,8388,1990,03,0000,1988,03,2079,0,0
92PE00042,92038389,90030000,88032079,1992038389,US03902079,1988032079,1992,03,8389,1990,03,0000,1988,03,2079,0,0
92PE00043,92038390,90030000,89034070,1992038390,US03904070,1989034070,1992,03,8390,1990,03,0000,1989,03,4070,0,0
92PE00044,92038391,90030000,89034070,1992038391,US03904070,1989034070,1992,03,8391,1990,03,0000,1989,03,4070,0,0
92PE00045,92038392,90030000,89034070,1992038392,US03904070,1989034070,1992,03,8392,1990,03,0000,1989,03,4070,0,0
92PE00046,92038393,90030000,90035146,1992038393,US03905146,1990035146,1992,03,8393,1990,03,0000,1990,03,5146,0,0
