UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,GRP,PAD4,ABEWE,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
87IN00001,         0,81,1,01499,,02,,,1,3,,,,,,60,,,,,,,197,217,3,,02,,00,0727,,,,CALIF,M,,,93,,1987
87IN00002,         0,82,1,02586,,02,,,1,1,,,,,,50,,,,,,,227,244,,,02,,00,,,,,CALIF,M,,,,,1987
87IN00003,         0,82,1,02689,,02,,,1,1,,,,,,50,,,,,,,191,208,,,02,,00,,,,,CALIF,M,,,,,1987
87IN00004,         0,83,1,03650,,02,,,1,1,,,,,,40,,,,,,,182,200,,,02,,00,,,,,CALIF,M,,,,,1987
87IN00005,         0,83,1,03709,,02,,,1,1,,,,,,40,,,,,,,192,209,,,02,,00,,,,,CALIF,M,,,,,1987
87IN00006,         0,84,1,04274,,02,,,1,3,,,,,,30,,,,,,,219,222,3,,02,,00,0727,,,,CALIF,M,,,93,,1987
87IN00007,         0,84,1,04308,,02,,,1,1,,,,,,30,,,,,,,197,214,,,02,,00,,,,,CALIF,M,,,,,1987
87IN00008,1975014501,75,2,P4501,,73,09,,2,,1,0,,,,,,,,,,,0,0,6,,08,,01,0101,,,,000008,*,,230308,95,,1987
87IN00009,1976014975,76,2,P4975,,71, 12,,1,,2,0,,,,,,,,,,,0,0,3,,30,,01,0223,,,,118908,*,,009709,93,,1987
87IN00010,1977015354,77,2,P5354,,73, 08,,1,,2,0,,,,00,,,,,,,0,0,3,,30,,01,0223,,,,237909,*,,397208,93,,1987
87IN06133,1985978799,85,2,M8799,,97,297,,1,,7,,,,,20,,197,,,,,122,0,,,97,,97,,,,,455497,B,,046697,,,1987
87IN06134,1985978800,85,1,M8800,,97,297,,1,,,,,,,20,,,,,,,200,225,,,97,,97,,,,,455497,M,,046697,,,1987
87IN06135,1985978851,85,1,M8851,,97,197,,1,,,,,,,20,,,,,,,202,247,,,97,,97,,,,,244097,M,,456497,,,1987
87IN06136,1985978865,85,1,M8865,,97,297,,1,,,,,,,20,,,,,,,221,256,,,97,,97,,,,,455497,M,,452697,,,1987
87IN06137,1985978956,85,2,M8956,,97,197,,1,,7,,,,,20,,297,,,,,147,0,,,97,,97,,,,,244097,B,,049697,,,1987
87IN06138,1985978973,85,1,M8973,,97,297,,1,,,,,,,20,,,,,,,199,229,,,97,,97,,,,,455497,M,,851897,,,1987
87IN06139,1985979037,85,2,M9037,,97,197,,1,,7,,,,,20,,197,,,,,154,0,,,97,,97,,,,,244097,B,,245297,,,1987
87IN06140,1985979210,85,2,M9210,,97,297,,1,,,,,,,20,,,,,,,0,0,6,,97,,97,0214,,,,455497,*,,244197,16,,1987
87IN06141,1985979218,85,1,M9218,,97,297,,1,,,,,,,20,,,,,,,233,262,,,97,,97,,,,,455497,M,,696197,,,1987
87IN06142,1985979557,85,2,M9557,,97,397,,1,,7,,,,,20,,297,,,,,194,0,,,97,,97,,,,,002297,B,,655097,,,1987
