UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,YRREC,AGE
71IN00001,1969310001,69,2,10001,1,,,,,,,,,,3,07,,,30,,,02,126,155,,,,,31,,,,,,,,,,1971,2.0
71IN00002,1970370001,70,2,70001,7,,,,,,,,,,2,30,,,20,,,01,89,89,,,,,37,,,,,,,,,,1971,1.0
71IN00003,1969360002,69,2,60002,6,,,,,,,,,,3,06,,,,,,,,,7,,,,36,0525,,,,,,,,,1971,2.0
71IN00004,1970370002,70,1,70002,7,,,,,,,,,,2,30,,,,112,06,,112,,3,,,,37,0823,105,5,,,,,,,1971,1.0
71IN00005,1969360003,69,2,60003,6,,,,,,,,,,3,06,,,,,,,138,,3,,,,36,0719,,,,,,,,,1971,2.0
71IN00006,1970370003,70,1,70003,7,,,,,,,,,,2,30,,,,160,09,,160,,,,,,37,,119,5,,,,,,,1971,1.0
71IN00007,1969340004,69,2,40004,4,,,,,,,,,,3,02,,,16,,,02,123,150,,,,,34,,,,,,,,,,1971,2.0
71IN00008,1969360004,69,1,60004,6,,,,,,,,,,3,06,,,,,,,,,3,,,,36,0201,,,,,,,,,1971,2.0
71IN00009,1969390004,69,2,90004,9,,,,,,,,,,3,51,,,21,,,01,128,122,,,,,39,,,,,,,,,,1971,2.0
71IN00010,1970370005,70,2,70005,7,,,,,,,,,,2,30,,,,,,,,,7,,,,37,0525,,,,,,,,,1971,1.0
71IN06022,1970622072,70,2,K2072,6,76,760,8,,,,,,,2,06,6,,762,095,08,,95,118,,76,,,62,,108,6,098462,,,700061,,,1971,1.0
71IN06023,1970622073,70,2,K2073,6,78,781,,,,,,,,2,06,6,,780,096,10,,96,142,,78,,,62,,133,6,021662,,,744461,,,1971,1.0
71IN06024,1970622075,70,2,K2075,6,76,760,,,,,,,,2,06,6,,762,088,09,,88,125,,76,,,62,,075,4,098462,,,802561,,,1971,1.0
71IN06025,1969907612,69,2,V7612,9,99, 9,,,,,,,,3,53,8,1,,083,04,02,108,118,,,085,,90,,064,4,000195,,,831661,,01,1971,2.0
71IN06026,1969907625,69,2,V7625,9,98, 9,,,,,,,,3,52,8,1,,086,03,,,,6,,088,,90,0520,053,4,000195,,,066842,,01,1971,2.0
71IN06027,1969907634,69,2,V7634,9,97, 9,,,,,,,,3,51,8,1, 55,092,05,02,96,115,2,,093,,90,0925,069,4,000195,,,228418,,01,1971,2.0
71IN06028,1969907650,69,2,V7650,9,98, 9,,,,,,,,3,52,8,1, 57,072,04,01,96,120,2,,091,,90,0925,064,2,000195,,,899141,,01,1971,2.0
71IN06029,1969907653,69,2,V7653,9,98, 9,,,,,,,,3,52,8,1, 57,078,04,02,102,113,2,,075,,90,0925,051,2,000195,,,991241,,01,1971,2.0
71IN06030,1969907668,69,2,V7668,9,99, 9,,,,,,,,3,53,8,1,,072,03,01,94,107,,,072,,90,,043,2,000195,,,727261,,01,1971,2.0
71IN06031,1970390094,70,2,90094,9,,,,,,,,,,2,51,,,23,,,,117,,,,,,39,,,,,,,,,,1971,1.0
