UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
82IN00001,1972011320,72,3,P1320,,,23,,1,,,0,,,,00,,,,,,,174,0,6,,30,,01,0624,,017008,5,,005609,02,,1982
82IN00002,1972011383,72,2,P1383,,70,23,,1,,,0,,,,00,,,,,,,133,0,6,,30,,01,0901,,017008,2,,001109,01,,1982
82IN00003,1972011405,72,2,P1405,,49,17,,1,2,,0,,,,00,,,,,, 2,143,135,3,,02,,01,1115,,014804,3,,009404,93,,1982
82IN00004,1972011421,72,2,P1421,,49,17,,1,,,0,,,,00,,492,,41,, 3,208,164,,,02,,01,,,014804,3,,103604,,,1982
82IN00005,1972011448,72,2,P1448,,49,16,,1,,,0,,,,00,,,,,,,0,0,7,,02,,01,0522,,011504,*,,327104,97,,1982
82IN00006,1972011567,72,2,P1567,,74,23,,1,2,,0,,,,00,,003,,,, 2,183,183,2,,08,146,01,0923,,017008,7,,022708,92,,1982
82IN00007,1972011607,72,2,P1607,,73,22,,1,2,,0,,,,00,,004,,,, 2,144,170,2,,08,146,01,0923,,017608,8,,012808,92,,1982
82IN00008,1972011736,72,2,P1736,,74,37,,1,3,,0,,,,00,,,,,, 2,102,109,5,,30,,01,1124,,026408,8,,015709,95,,1982
82IN00009,1973011996,73,2,P1996,,71,08,,1,,,0,,,,90,,715,,09,, 2,154,136,,,51,,01,,,078809,1,,013409,,,1982
82IN00010,1973011999,73,2,P1999,,71,08,,1,,,0,,,,90,,715,,09,, 9,137,146,,,51,,01,,,078809,2,,008909,,,1982
82IN05812,1980978562,80,2,U8562,,97,,,1,,,,,,,20,,297,,,, 2,205,197,,,97,,97,,,001997,B,,476397,,,1982
82IN05813,1980978609,80,1,U8609,,97,,,1,1,,,,,,20,,,,,,,243,245,,,97,,97,,,276197,M,,695297,,,1982
82IN05814,1980978626,80,2,U8626,,97,,,1,,,,,,,20,,297,,,, 2,207,204,,,97,,97,,,001997,B,,992297,,,1982
82IN05815,1980978629,80,1,U8629,,97,,,1,1,,,,,,20,,,,,,,195,192,,,97,,97,,,001997,M,,271697,,,1982
82IN05816,1980978630,80,1,U8630,,97,,,1,1,,,,,,20,,,,,,,223,229,,,97,,97,,,001997,M,,271697,,,1982
82IN05817,1980978631,80,2,U8631,,97,,,1,,,,,,,20,,297,,,, 3,200,203,,,97,,97,,,001997,B,,271697,,,1982
82IN05818,1980978633,80,1,U8633,,97,,,1,1,,,,,,20,,,,,,,254,268,,,97,,97,,,001997,M,,991997,,,1982
82IN05819,1980978634,80,2,U8634,,97,,,1,,,,,,,20,,,,,,,0,0,6,,97,,97,0510,,001997,*,,991997,43,,1982
82IN05820,1980978635,80,2,U8635,,97,,,1,,,,,,,20,,197,,,, 2,177,167,,,97,,97,,,276197,B,,696797,,,1982
82IN05821,1974979922,74,2,V9922,,97,,,1,,,,,,,80,,197,,,, 3,159,173,,,97,,97,,,,B,,998397,,,1982
