UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,C6973,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
60IN00001,1951101647,51,2,U1647,0,68,,10,,,,,0,,,,,,,,128,152,2,,,,10,0927,,,,,,2  32,,,9,,1960,9.0
60IN00002,1952101650,52,2,U1650,0,68,,10,,,,,9,,,,,,,,118,138,3,,,,10,1121,,,,,,1,,,8,,1960,8.0
60IN00003,1952101655,52,2,U1655,0,68,,10,,,,,9,,,,,,,,150,177,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00004,1952101666,52,2,U1666,0,68,,10,,,,,9,,,,,,,,130,149,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00005,1952101685,52,2,U1685,0,68,,10,,,,,9,,,,,,,,,,6,,,,10,0420,,,,,,,,,8,,1960,8.0
60IN00006,1952101688,52,2,U1688,0,68,,10,,,,,9,,,,,,,,116,142,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00007,1952101690,52,2,U1690,0,68,,10,,,,,9,,,,,,,,135,133,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00008,1952101691,52,2,U1691,0,68,,10,,,,,9,,,,,,,,128,154,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00009,1952101696,52,2,U1696,0,68,,10,,,,,9,,,,,,,,126,150,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00010,1954101728,54,2,U1728,0,69,508,10,,07,,,7,,4,4,,090,13,,142,158,,,074, 50,10,,096,2,,0705,2,2  19,8,,6,,1960,6.0
60IN04866,1955671792,55,2,01792,7,73,046,67,3,06,,8,6,,9,1,,093,08,,152,160,,64,086,047,67,,116,3,,9150,6,3 107,6,,5,,1960,5.0
60IN04867,1955671796,55,2,01796,7,73,036,67,3,07,,7,6,,9,1,,095,06,,148,163,,62,118,068,67,,150,6,,9171,6,3 108,6,,5,,1960,5.0
60IN04868,1955671799,55,2,01799,7,73,126,67,3,06,,7,6,,9,1,,094,09,,170,168,,74,098,051,67,,121,4,,8774,6,3 109,6,,5,,1960,5.0
60IN04869,1955671805,55,2,01805,7,73,176,67,3,06,,1,6,,9,1,,098,07,,140,154,,52,100,051,67,,109,5,,9197,6,2 110,6,,5,,1960,5.0
60IN04870,1955671806,55,2,01806,7,73,166,67,3,05,,7,6,,1,1,,111,09,,138,155,,49,110,058,67,,112,5,,8407,6,1 111,6,,5,,1960,5.0
60IN04871,1955671808,55,2,01808,7,73,196,67,3,07,,5,6,,9,1,,098,09,,161,180,,76,116,062,67,,123,5,,9207,6,2 101,6,,5,,1960,5.0
60IN04872,1955671809,55,2,01809,7,73,186,67,3,08,,6,6,,9,1,,098,07,,162,164,,65,096,039,67,,094,4,,9068,6,2 102,6,,5,,1960,5.0
60IN04873,1955671814,55,2,01814,7,73,046,67,3,06,,,6,,9,1,,093,08,,100,80,6,,105,045,67,1101,082,5,,9150,6,3,,,5,,1960,5.0
60IN04874,1959900039,59,2,V0039,9,00,,90,,10,,,2,,,1,,085,,,85,117,2,,102,,90,0927,125,3,,,,   12,,,1,,1960,1.0
60IN04875,1958960005,58,1,00005,6,,,96,,,,,3,,,,,,,,,,,,,,96,,,,,,,,,,2,9,1960,2.0
