UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
17IN00001,2010055570,H5570,05,H5570,10,2,,1,30,e17,H3967,05,H4838,05,0,,,3,,2,,161,175,3,,93,1212,.,,,7.0,.,,,14333,1,,0.044,,2017
17IN00002,2010055592,H5592,05,H5592,10,2,,1,30,77,H4155,05,H4369,05,0,,,3,,1,,129,155,2,,93,1212,.,,,7.0,4TEATS,,,14363,1,,0.052,,2017
17IN00003,2010055686,H5686,05,H5686,10,2,,1,30,52,  965,00,H1008,05,0,,,3,MP,1,,145,166,2,,93,1212,.,,,7.0,TerminalOnly,,,14314,1,,0.0,,2017
17IN00004,2010055696,H5696,05,H5696,10,2,,1,30,78,H3779,05,H2559,05,0,,,3,,1,,198,189,2,,93,1212,.,,,7.0,RSDBLOODY,,,14406,1,,0.057,,2017
17IN00005,2010055706,H5706,05,H5706,10,2,,1,30,69, 7142,00,H3456,05,0,,,3,,2,,160,172,2,,93,1212,.,,,7.0,4TEATS,,,14332,1,,0.0,,2017
17IN00006,2010055730,H5730,05,H5730,10,2,,1,30,67,  647,00,H1269,05,0,,,3,,1,,175,190,4,,93,1212,.,,,7.0,SRS.MORE,,,14317,1,,0.0,,2017
17IN00007,2010055768,H5768,05,H5768,10,2,,1,30,49,H9057,00,H2278,05,0,,,3,MP,1,,149,167,3,,93,1212,.,,,7.0,TerminalOnly,,,14304,1,,0.0,,2017
17IN00008,2010055842,H5842,05,H5842,10,2,,1,30,e19,H4337,05,H4655,05,0,,,3,,1,,160,175,2,,93,1212,.,,,7.0,Bret Grp 3,,,14367,1,,0.053,,2017
17IN00009,2010055843,H5843,05,H5843,10,2,,1,30,79,H3858,05,H3658,05,0,,,3,,D,,128,166,2,,93,1212,.,,,7.0,In 10-25-13,,,14329,1,,0.056,,2017
17IN00010,2010055844,H5844,05,H5844,10,2,,1,30,79,H3858,05,H3658,05,0,,,3,,1,,161,174,2,,93,1212,.,,,7.0,WARTSBUTOK,,,14435,1,,0.056,,2017
17IN01965,2016005171,Z5171,00,Z5171,16,1,,1,SM,,,,,,,,,6,,,,,,,,66,1122,,,,1.0,VBloodySemen,,,,2,16203/15203,0.0,,2017
17IN01966,2016001497,S1497,00,S1497,16,1,,1,07,,,,,,,,,1,,,,,,,,,,,,,1.0,Lehfeldt,,,,1,MT0393/6739,0.0,,2017
17IN01967,2016006883,T6883,00,T6883,16,1,,1,02,,,,,,,,,1,,,,,,,,,,,,,1.0,Roeder,,,,1,6R018,0.0,,2017
17IN01968,2016006884,T6884,00,T6884,16,1,,1,02,,,,,,,,,1,,,,,,,,,,,,,1.0,MSU,,,,1,MT0153-T6172,0.0,,2017
17IN01969,2016001498,S1498,00,S1498,16,1,,1,41,,,,,,,,,1,,,,,,,,,,,,,1.0,Rafter 7,,,,1,3531/61069,0.0,,2017
17IN01970,2016001499,S1499,00,S1499,16,1,,1,07,,,,,,,,,1,,,,,,,,,,,,,1.0,Helle,,,,1,MT018241817,0.0,,2017
17IN01971,2014001500,S1500,00,S1500,14,1,,1,41,,,,,,,,,1,,,,,,,,,,,,,3.0,Rafter 7,,,,1,NVR71169,0.0,,2017
17IN01972,2016001501,S1501,00,S1501,16,1,,1,41,,,,,,,,,1,,,,,,,,,,,,,1.0,Rafter 7,,,,1,3530/65419,0.0,,2017
17IN01973,2016006885,T6885,00,T6885,16,1,,1,02,,,,,,,,,1,,,,,,,,,,,,,1.0,McRae,,,,1,M09232/4780,0.0,,2017
17IN01974,2016006886,T6886,00,T6886,16,1,,1,02,,,,,,,,,1,,,,,,,,,,,,,1.0,Skull Creek,,,,1,SK0096/6417,0.0,,2017
