UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,GOK,YRREC,AGE
70IN00001,1967880807,67,1,00807,D,,,,,,,,,,4,88,,,242,,,,140,140,2,,,,88,0926,,,,,,,,,,1970,3.0
70IN00002,1968880042,68,1,00042,D,,,,,,,,,,3,88,,,243,,,,121,170,2,,,,88,0926,,,0068,,,,,,,1970,2.0
70IN00003,1969310092,69,1,10092,1,,,,,,,,,,2,07,,,,,,,98,110,,,,,31,,,,,,,,,,,1970,1.0
70IN00004,1964840514,64,2,N0514,8,,214,,,,,,,,7,03,3,,,086,,,138,,6,,093,052,84,0711,129,3,247748,,,974380,,01,,1970,6.0
70IN00005,1964840525,64,2,N0525,8,,175,,,,,,,,7,02,2,,,121,,,,,6,,083,055,84,0303,153,2,726041,,,935980,,01,,1970,6.0
70IN00006,1964840556,64,2,N0556,8,,105,,,,,,,,7,01,1,,,085,,,137,,3,,113,047,84,0727,101,4,690841,,,912480,,02,,1970,6.0
70IN00007,1964840557,64,2,N0557,8,,105,,,,,,,,7,01,1,,,096,,,,,6,,123,053,84,0226,105,7,690841,,,912480,,02,,1970,6.0
70IN00008,1964840649,64,2,N0649,8,,035,,,,,,,,7,02,2,,,103,,,158,,3,,081,045,84,0727,122,2,740141,,,942080,,01,,1970,6.0
70IN00009,1964840713,64,2,N0713,8,,095,,,,,,,,7,03,3,,,093,,,,,6,,102,042,84,0127,089,2,638641,,,962080,,,,1970,6.0
70IN00010,1964840809,64,2,N0809,8,,024,,,,,,,,7,02,2,,,100,,,150,,3,,101,050,84,0727,115,3,743641,,,930280,,02,,1970,6.0
70IN05822,1969390033,69,1,90033,9,,,,,,,,,,2,51,,,,,,,,,3,,,,39,0323,,,,,,,,,,1970,1.0
70IN05823,1969390034,69,1,90034,9,,,,,,,,,,2,51,,,,,,,93,100,,,,,39,,,,,,,,,,,1970,1.0
70IN05824,1969390035,69,1,90035,9,,,,,,,,,,2,51,,,,,,,100,98,,,,,39,,,,,,,,,,,1970,1.0
70IN05825,1969390024,69,2,90024,9,,09,,,,,,,,2,51,,,23,,,01,113,120,,,,,39,,,,000195,,,333681,,,12,1970,1.0
70IN05826,1969907612,69,2,V7612,9,99, 9,,,,X,,,,2,53,8,1, 00,083,04,,83,124,,,085,,90,,064,4,000195,,,831661,,,01,1970,1.0
70IN05827,1969907625,69,2,V7625,9,98, 9,,,,,,,,2,52,8,1, 00,086,03,,86,120,,,088,,90,,053,4,000195,,,066842,,,01,1970,1.0
70IN05828,1969907634,69,2,V7634,9,97, 9,,,,X,,,,2,51,8,1, 00,092,05,,92,130,,,093,,90,,069,4,000195,,,228418,,,01,1970,1.0
70IN05829,1969907650,69,2,V7650,9,98, 9,,,,,,,,2,52,8,1, 00,072,04,,72,115,,,091,,90,,064,2,000195,,,899141,,,01,1970,1.0
70IN05830,1969907653,69,2,V7653,9,98, 9,,,,X,,,,2,52,8,1, 00,078,04,,78,110,,,075,,90,,051,2,000195,,,991241,,,01,1970,1.0
70IN05831,1969907668,69,2,V7668,9,99, 9,,,,,,,,2,53,8,1, 00,072,03,,72,108,,,072,,90,,043,2,000195,,,727261,,,01,1970,1.0
