UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,PG_TAI,AGE,RMK,YRREC
98IN00001,1993003081, 3081,00, 5019,93,2,00,1,00,-Z-,000010,000000,7,,,,7,LIM,3,155,0,0,,97,1001,,,,,5.0,,1998
98IN00002,1993003095, 3095,00,  553,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,193,169,3,,,,,L11,3,,5.0,LOST TAG#502,1998
98IN00003,1993003170, 3170,00, 4606,93,2,00,1,00,-Z-,000010,000000,2,,,,3,OVX,*,0,0,0,X,97,0618,,X,X,,5.0,OVX.,1998
98IN00004,1993003185, 3185,00, 2534,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,163,168,3,,,,,L12,3,,5.0,,1998
98IN00005,1993003186, 3186,00, 5555,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,202,179,2,,,,,L13,3,,5.0,,1998
98IN00006,1993003211, 3211,00, 5032,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,174,157,2,,,,,L14,3,,5.0,,1998
98IN00007,1993003232, 3232,00, 4504,93,2,00,1,00,-Z-,000010,000000,2,,,,3,OVX,5,195,0,0,X,95,1028,,X,X,,5.0,"OVX,EUTH",1998
98IN00008,1993003237, 3237,00, 5053,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,183,174,3,,,,,L15,3,,5.0,,1998
98IN00009,1993003244, 3244,00, 5504,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,166,152,3,,,,,L16,3,,5.0,,1998
98IN00010,1993003261, 3261,00, 5526,93,2,00,1,00,-Z-,000010,000000,7,,,,1,LIM,3,170,171,1,,,,,L11,3,,5.0,GOOD EWE,1998
98IN04812,         0,J7530,,J7530,97,1,HI,1,07,,J5405,J3509,2,,,,1,LIB,Y,92,111,0,,,,,,,,1.0,,1998
98IN04813,         0,J7534,,J7534,97,1,HI,1,07,,J5446,J3500,2,,,,1,LIB,Y,88,106,0,,,,,,,,1.0,,1998
98IN04814,         0,J7540,,J7540,97,1,HI,1,07,,J5508,J1425,2,,,,1,LIB,Y,115,131,0,,97,1031,,,,,1.0,MSG,1998
98IN04815,         0,J7552,,J7552,97,1,HI,1,07,,J5405,J5455,2,,,,1,LIB,Y,83,96,0,,,,,,,,1.0,,1998
98IN04816,         0,J7553,,J7553,97,1,HI,1,07,,J5508,J5493,2,,,,1,LIB,Y,95,109,0,,,,,,,,1.0,,1998
98IN04817,1997044265,A4265,04,A4265,97,1,81,1,30,03,214604,075104,0,,,,3,,Y,149,166,0,,93,0810,M,,,,1.0,,1998
98IN04818,         0,J6059,,J6059,96,1,LO,1,07,,,,2,,,,6,LIB,*,0,0,0,,99,0415,,,,,2.0,,1998
98IN04819,         0,J0093,,J0093,97,1,,1,06,,,,7,,,,1,JAR,,,300,,,,,,,,,1.0,JARVIS  93,1998
98IN04820,         0,J0131,,J0131,97,1,,1,06,,,,7,,,,1,JAR,,,300,,,,,,,,,1.0,JARVIS 131,1998
98IN04821,         0,J0143,,J0143,97,1,,1,06,,,,7,,,,1,JAR,,,300,,,,,,,,,1.0,JARVIS 143,1998
