UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
85IN00001,1975013673,75,2,P3673,,48,05,,1,,,0,,1,,00,,004,,,,10,162,157,,,01,,01,,,149004,3,,167201,,,1985
85IN00002,1975013709,75,2,P3709,,75,08,2,1,2,6,1,,1,,00,142,208, 2,,1, 2,140,0,2,148,30,107,01,0919,,135107,5,159,145907,92,2,1985
85IN00003,1975013827,75,2,P3827,-,73,08,3,1,3,6,1,,1,,00,117,201, 2,,1, 2,103,0,5,117,30,,01,1028,   V,135107,5,124,187907,95,4,1985
85IN00004,1975014052,75,2,P4052,,76,06,,1,,6,0,,1,,00,132,, 3,,,,100,0,6,,02,,01,0603,,320204,9,,009404,76,,1985
85IN00005,1975014194,75,2,P4194,,48,06,,1,,,0,,0,,00,,,,,,,0,0,6,,02,,01,0414,,320204,*,,123004,16,,1985
85IN00006,1975014454,75,2,P4454,,75,06,2,2,3,6,1,,1,,95,120,207, 2,,2,,110,0,3,118,30,,01,1118,,000007,5,128,052507,93,2,1985
85IN00007,1975014501,75,2,P4501,,73,09,,2,3,4,0,,0,,95,153,, 2,,, 2,136,0,,,08,,01,,   P,000008,9,,230308,,,1985
85IN00008,1976014568,76,2,P4568,,71, 08,,1,3,4,0,,1,,90,,,,,, 2,115,110,,,30,,01,,   P,376209,1,,315408,,,1985
85IN00009,1976014635,76,2,P4635,,71, 11,,1,,,0,,1,,90,,713,,,, 2,126,124,,,30,,01,,,213708,1,,278709,,,1985
85IN00010,1976014668,76,2,P4668,,48, 01,,1,,,0,,1,,90,,005,,,, 3,160,145,,,02,,01,,,351804,3,,013804,,,1985
85IN05797,1984976589,84,1,M6589,,97,397,,1,1,,,,,,10,,,,,,,165,187,,,97,,97,,,002197,Y,,452797,,,1985
85IN05798,1979976961,79,2,U6961,,97,,,1,1,,,,,,60,,297,,,, 2,208,230,,,97,,97,,,001997,B,,476197,,,1985
85IN05799,1984977824,84,1,M7824,,97,397,,1,1,,,,,,10,,,,,,,125,148,6,,97,,97,1010,,002197,Y,,457097,32,,1985
85IN05800,1980978506,80,2,U8506,,97,,,1,1,,,,,,50,,297,,,,10,152,159,,,97,,97,,,001997,B,,998897,,,1985
85IN05801,1980978518,80,2,U8518,,97,,,1,,,,,,,50,,297,,,, 2,180,212,,,97,,97,,,001997,B,,475297,,,1985
85IN05802,1980978523,80,1,U8523,,97,,,1,,,,,,,50,,,,,,,180,0,3,,97,,97,0610,,001997,M,,475997,93,,1985
85IN05803,1980978630,80,1,U8630,,97,,,1,,,,,,,50,,,,,,,0,0,6,,97,,97,0216,,001997,*,,271697,19,,1985
85IN05804,1980978631,80,2,U8631,,97,,,1,,,,,,,50,,297,,,, 2,185,204,,,97,,97,,,001997,B,,271697,,,1985
85IN05805,1980978633,80,1,U8633,-,97,,,1,3,,,,,,50,,,,,,,236,252,3,,97,,97,0729,,001997,M,,991997,93,,1985
85IN05806,1984026391,84,1,Y6391,,74,733,,1,1,,1,,,,10,,,,,,,140,0,7,,30,,02,0710,,397502,Y,,992101,97,,1985
