UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
88IN00001,1986030001,L0001,03,86,2,72,2,30,724,765602,337502,6,,1,,,,,,1,,5,149,171,01,,,,,,,FL,3,,,15,,1988
88IN00002,1986030007,L0007,03,86,2,75,2,30,733,761202,675501,6,,1,,,,,,1,,5,137,161,01,,,,,,,731,3,,,15,,1988
88IN00003,1986030009,L0009,03,86,2,72,2,30,724,765602,606302,6,,1,,,,,,1,,5,137,194,02,,,,,,,FL,4,,,15,,1988
88IN00004,1986030014,L0014,03,86,2,73,2,40,005,023120,748402,6,,,,,,,,4,,5,124,144,01,,,S,92,0920,,,,,,15,,1988
88IN00005,1980020015,Y0015,02,80,2,76,1,35, 08,675107,779205,6,,0,1,0,0,,,2,125,5,162,174,02,,,,92,0922,,,,,,80,,1988
88IN00006,1986030015,L0015,03,86,2,73,2,40,005,023120,748402,6,,,,,,,,4,,5,115,131,01,,,S,92,0920,,,,,,15,,1988
88IN00007,1986030016,L0016,03,86,1,73,2,30,733,761202,069702,6,,1,,,,,,2,224,M,167,202,,,,,92,0922,,,,,,15,,1988
88IN00008,         0,M0022,97,84,1,97,1,97,,,,,,,,,,,,1,,M,286,305,,,,,,,,,,,,40,5 JAW,1988
88IN00009,1986030024,L0024,03,86,2,75,2,30,732,740202,413002,6,,1,,,,,,1,,5,145,148,01,,,,,,,732,3,,,15,,1988
88IN00010,1986030027,L0027,03,86,2,73,2,30,731,740102,390202,6,,1,,,,,,1,,5,142,146,01,,,,,,,733,3,,,15,,1988
88IN06423,1986029973,Y9973,02,86,1,75,2,30,736,739302,217102,6,,1,,,,,,3,,M,164,154,,,,,93,0822,,,,,,15,RF FOOT,1988
88IN06424,1986029974,Y9974,02,86,1,75,2,30,736,739302,217102,6,,1,,,,,,3,,M,181,176,,,,,93,0801,,,,,,15,,1988
88IN06425,1986029977,Y9977,02,86,2,75,2,40,004,023020,779602,6,,,,,,,,4,,9,126,126,01,,,L,92,0920,,,,,,15,,1988
88IN06426,1986029978,Y9978,02,86,1,72,2,30,724,765602,757702,6,,1,,,,,,3,,M,193,205,,,,,93,0801,,,,,,15,BK+UP.R.TS,1988
88IN06427,1980019980,P9980,01,80,2,76,1,35, 09,758007,811505,6,,0,1,0,0,,,2,125,5,156,170,03,,,,92,0922,,,,,,80,,1988
88IN06428,1986029983,Y9983,02,86,2,76,2,30,735,771002,364102,6,,0,,,,,,1,,5,166,168,01,,,,,,,734,5,,,15,,1988
88IN06429,1986029984,Y9984,02,86,2,76,2,30,735,771002,364102,6,,0,,,,,,1,,5,162,159,01,,,,,,,735,3,,,15,,1988
88IN06430,1986029989,Y9989,02,86,2,73,2,30,735,771002,439902,6,,1,,,,,,1,,5,148,188,01,,,,,,,731,5,,,15,,1988
88IN06431,1986029990,Y9990,02,86,1,72,2,30,721,773102,652101,6,,1,,,,,,3,,M,179,207,,,,,93,0801,,,,,,15, 5 JAW *,1988
88IN06432,1985949995,M9995,94,85,2,14,1,51,005,610895,315919,,,,,,,,,,,*,0,0,,,,,76,0503,,,,,,30,,1988
