UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,GRP,PAD4,ABEWE,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
86IN00001,         0,81,1,01499,,00,,,1,1,,,,,,50,,,,,,,206,0,,,02,,00,,,,,CALIF,M,,,,,1986
86IN00002,         0,82,1,02419,,00,,,1,,,,,,,40,,,,,,,153,0,3,,02,,00,0623,,,,CALIF,M,,,93,,1986
86IN00003,         0,82,1,02586,,00,,,1,1,,,,,,40,,,,,,,243,0,,,02,,00,,,,,CALIF,M,,,,,1986
86IN00004,         0,82,1,02689,,00,,,1,,,,,,,40,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN00005,         0,83,1,03650,,00,,,1,,,,,,,30,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN00006,         0,83,1,03684,,00,,,1,,,,,,,30,,,,,,,233,0,3,,02,,00,0623,,,,CALIF,M,,,93,,1986
86IN00007,         0,83,1,03701,,00,,,1,,,,,,,30,,,,,,,0,0,3,,02,,00,1103,,,,CALIF,*,,,93,,1986
86IN00008,         0,83,1,03709,,00,,,1,,,,,,,30,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN00009,         0,84,1,04274,,00,,,1,,,,,,,20,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN00010,         0,84,1,04308,,00,,,1,,,,,,,20,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN06227,1985978862,85,1,M8862,,97,297,,1,,,,,,,10,,,,,,,174,210,3,,97,,97,1027,,,,455497,Y,,048097,93,,1986
86IN06228,1985978863,85,2,M8863,,97,297,,1,2,,,,,,10,,,,,, 1,150,199,2,,97,198,97,0925,,,,455497,B,,048097,92,,1986
86IN06229,1985978865,85,1,M8865,,97,297,,1,,,,,,,10,,,,,,,178,197,,,97,,97,,,,,455497,Y,,452697,,,1986
86IN06230,1985978884,85,2,M8884,,97,197,,1,2,,,,,,10,,,,,, 1,118,160,2,,97,198,97,0925,,,,244097,B,,457097,92,,1986
86IN06231,1985978956,85,2,M8956,,97,197,,1,,,,,,,10,,197,,,,,137,0,,,97,,97,,,,,244097,B,,049697,,,1986
86IN06232,1985978973,85,1,M8973,,97,297,,1,,,,,,,10,,,,,,,146,175,,,97,,97,,,,,455497,Y,,851897,,,1986
86IN06233,1985979037,85,2,M9037,,97,197,,1,,,,,,,10,,197,,,,,161,0,,,97,,97,,,,,244097,B,,245297,,,1986
86IN06234,1985979210,85,2,M9210,,97,297,,1,,,,,,,10,,297,,,,,166,0,,,97,,97,,,,,455497,B,,244197,,,1986
86IN06235,1985979218,85,1,M9218,,97,297,,1,,,,,,,10,,,,,,,192,226,,,97,,97,,,,,455497,Y,,696197,,,1986
86IN06236,1985979557,85,2,M9557,,97,397,,1,,,,,,,10,,197,,,,,162,0,,,97,,97,,,,,002297,B,,655097,,,1986
