UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,C79,C80,YRREC,AGE
66IN00001,1957102053,57,2,U2053,0,41,561,,,,,00,,0,,5,1,404,108,0,,165,164,,,080,059,10,,110,2,440911,2,,,,,,1966,9.0
66IN00002,1962102612,62,3,U2612,0,,,,,,,,,5,,,,,,,,,,,,,,10,,090,2,,,,,,,,1966,4.0
66IN00003,1954114294,54,2,R4294,1,,,,,,,,,&,,,,,,,,127,145,4,,,,11,1121,,,,,,,,,,1966,12.0
66IN00004,1954114335,54,2,R4335,1,21,210,,,,,25,,&,,1,3,225,073,1,,105,118,,,079, 44,11,,108,2,384111,8,,,,,,1966,12.0
66IN00005,1954114361,54,2,R4361,1,21,210,,,,,26,,&,,1,3,,060,1,,90,,6,,071, 28,11,0801,077,2,384111,8,,,,,,1966,12.0
66IN00006,1955114577,55,2,R4577,1,20,200,,,,,20,,&,,1,4,495,106,1,,154,170,,,076,059,11,,119,2,330211,8,,,,,,1966,11.0
66IN00007,1956114693,56,2,R4693,1,27,270,,,,,36,,-,,1,3,414,084,1,,122,135,,,073,044,11,,085,1,378911,8,,,,,,1966,10.0
66IN00008,1956114697,56,2,R4697,1,27,270,,,,,37,,-,,1,3,505,077,1,,140,132,,,079,031,11,,068,1,378911,3,,,,,,1966,10.0
66IN00009,1956114713,56,2,R4713,1,19,190,,,,,26,,-,,1,1,,090,1,,146,152,3,,075,032,11,0919,065,1,417911,2,,,,,,1966,10.0
66IN00010,1956114715,56,2,R4715,1,32,321,,,,,25,,-,,1,1,,090,1,,142,,7,,072,032,11,0909,071,1,749111,3,,,,,,1966,10.0
66IN05617,1965970252,65,1,00252,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
66IN05618,1965970253,65,1,00253,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
66IN05619,1965970254,65,1,00254,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
66IN05620,1965970255,65,1,00255,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
66IN05621,1965970256,65,1,00256,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
66IN05622,1965970257,65,1,00257,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
66IN05623,1965970258,65,1,00258,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
66IN05624,1965970259,65,1,00259,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
66IN05625,1965970260,65,1,00260,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
66IN05626,1965970261,65,1,00261,B,BF,,,,,,,,2,,,,,,,,,,,,,,97,,,,,,,,,,,1966,1.0
