UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
84IN00001,1974012957,74,2,P2957,,70,19,,1,3,,1,,1,,00,,,,,, 2,101,93,6,,30,,01,0920,,137407,1,,179907,95,,1984
84IN00002,1974013023,74,2,P3023,,49,17,,1,3,,0,,1,,00,,,,,,11,174,170,3,,02,  3,01,1001,,149004,5,,097704,93,,1984
84IN00003,1974013174,74,2,P3174,,75,23,,1,2,,0,,1,,00,,, 1,,, 1,141,154,3,,08,155,01,0924,,102508,8,,327508,09,,1984
84IN00004,1974013503,74,2,P3503,,75,05,,2,3,,1,,1,,95,,,,,, 1,109,108,3,,30,,01,0924,,000007,8,,141607,03,,1984
84IN00005,1975013673,75,2,P3673,,49,05,4,1,1,,0,,1,,90,182,003, 1,,, 1,146,176,,,01,,01,,,149004,5,,167201,,,1984
84IN00006,1975013695,75,2,P3695,,73,13,,1,2,,0,,1,,90,,,,,, 2,195,175,2,,08,155,01,0920,,301408,8,,123308,92,,1984
84IN00007,1975013709,75,2,P3709,,75,08,,1,1,,1,,1,,90,,, 3,,, 3,141,152,,,30,,01,,,135107,8,,145907,,,1984
84IN00008,1975013812,75,2,P3812,,75,09,,1,3,,1,,1,,90,,,11,,,11,124,148,3,,30,  3,01,1001,,216307,8,,164207,93,,1984
84IN00009,1975013827,75,2,P3827,,73,08,,1,1,,1,,1,,90,,,,,,,144,0,,,30,,01,,,135107,8,,187907,,,1984
84IN00010,1975013859,75,2,P3859,,75,13,,1,2,,0,,1,,90,,, 1,,, 1,170,172,2,,08,155,01,0920,,301408,8,,001908,92,,1984
84IN05708,1979976952,79,2,U6952,,97,,,1,,,,,,,50,,,,,,,0,0,6,,97,,97,0111,,001997,*,,271697,76,,1984
84IN05709,1979976961,79,2,U6961,,97,,,1,1,,,,,,50,,297,,,, 2,216,206,,,97,,97,,,001997,B,,476197,,,1984
84IN05710,1980978506,80,2,U8506,,97,,,1,1,,,,,,40,,297,,,, 1,148,170,,,97,,97,,,001997,B,,998897,,,1984
84IN05711,1980978518,80,2,U8518,,97,,,1,1,,,,,,40,,297,,,, 1,195,210,,,97,,97,,,001997,B,,475297,,,1984
84IN05712,1980978523,80,1,U8523,,97,,,1,,,,,,,40,,,,,,,198,198,,,97,,97,,,001997,M,,475997,,,1984
84IN05713,1980978629,80,1,U8629,,97,,,1,,3,,,,,40,,,,,,,0,0,7,,97,,97,0529,,001997,*,,271697,97,,1984
84IN05714,1980978630,80,1,U8630,,97,,,1,,,,,,,40,,,,,,,252,255,,,97,,97,,,001997,M,,271697,,,1984
84IN05715,1980978631,80,2,U8631,,97,,,1,1,,,,,,40,,297,,,, 2,212,214,,,97,,97,,,001997,B,,271697,,,1984
84IN05716,1980978633,80,1,U8633,,97,,,1,,,,,,,40,,,,,,,263,272,,,97,,97,,,001997,M,,991997,,,1984
84IN05717,1980978635,80,2,U8635,,97,,,1,,,,,,,40,,,,,,,0,0,6,,97,,97,0316,,276197,*,,696797,01,,1984
