UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,C79,C80,YRREC,AGE
63IN00001,1956101952,56,2,U1952,0,41,601,,,,07,,,8,,5,1,410,100,09,,148,162,,,089,058,10,,108,2,415011,,,,,,,1963,7.0
63IN00002,1957102053,57,2,U2053,0,41,561,,,,08,00,,7,,5,1,410,108,09,,137,153,,,080,059,10,,110,2,440911,,,,,,,1963,6.0
63IN00003,1962102611,62,2,U2611,0,00,000,,,,,,,2,12,,,,,,,,,,,,,10,,126,6,4,,,726840,,,,1963,1.0
63IN00004,1962102612,62,3,U2612,0,,,,,,,,,2,,,,,,,,,,,,,,10,,090,2,,,,,,,,1963,1.0
63IN00005,1958910128,58,1,00128,1,,,,,,,,,6,,,,,,,,208,215,3,,,,91,0805,178,2,,,,,,,,1963,5.0
63IN00006,1959910133,59,1,00133,1,,,,,,,,,5,,,,,,,,220,240,,,,,91,,127,2,,,,,,,,1963,4.0
63IN00007,1953113828,53,2,R3828,1,34,340,,,,08,35,,-,,1,4,,077,15,,126,,7,,065,042,11,1015,118,2,331311,,,,,,,1963,10.0
63IN00008,1954114199,54,2,R4199,1,23,230,,,,07,22,,0,,1,4,230,079,15,,107,140,,,060, 27,11,,074,2,371511,,,,,,,1963,9.0
63IN00009,1954114227,54,2,R4227,1,20,200,,,,10,18,,0,,1,3,200,076,15,,137,146,,,073, 39,11,,083,2,345711,,,,,,,1963,9.0
63IN00010,1954114294,54,2,R4294,1,27,270,,,,09,26,,0,,1,3,270,081,13,,118,131,,,084, 46,11,,123,2,352011,,,,,,,1963,9.0
63IN05546,1960809901,60,2,J9901,8,61,,4,,,,,,4,,1,1,753,,10,,,140,,,24,,80,,,,,,,,,,,1963,3.0
63IN05547,1959809902,59,2,J9902,8,61,,3,,,,,,5,,2,1,743,,13,,,137,,,23,,80,,,,,,,,,,,1963,4.0
63IN05548,1959809903,59,2,J9903,8,61,,7,,,,,,5,,1,5,128,,09,,,150,,,23,,80,,,,,,,,,,,1963,4.0
63IN05549,1959809904,59,2,J9904,8,61,,2,,,,,,5,,1,1,118,,13,,,145,,,24,,80,,,,,,,,,,,1963,4.0
63IN05550,1960809905,60,2,J9905,8,61,,1,,,,,,4,,2,1,109,,08,,,108,,,23,,80,,,,,,,,,,3,1963,3.0
63IN05551,1959809906,59,2,J9906,8,61,,5,,,,,,5,,1,4,108,,12,,,145,,,23,,80,,,,,,,,,,,1963,4.0
63IN05552,1960809907,60,2,J9907,8,61,,8,,,,,,4,,1,1,099,,12,,,132,,,23,,80,,,,,,,,,,3,1963,3.0
63IN05553,1960809908,60,2,J9908,8,61,,8,,,,,,4,,1,5,903,,11,,,113,,,23,,80,,,,,,,,,,,1963,3.0
63IN05554,1961900319,61,2,V0319,9,00,,,,,,,,3,,0,,,096,,,,,6,,,,90,0101,093,3,,,,891040,,,,1963,2.0
63IN05555,1958960005,58,1,00005,6,,,,,1,,,,6,,,,,,,,,,,,,,96,,,,,,,,,,,1963,5.0
