UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,YRREC
00IN00001,1993003186, 3186,00, 5555,93,2,00,1,00,-Z-,000010,000000,7,,,,U,LIM,3,187,175,2,,,,,U,A,7.0,,2000
00IN00002,1993003237, 3237,00, 5053,93,2,00,1,00,-Z-,000010,000000,7,,,,U,LIM,3,169,176,2,,,,,U,A,7.0,,2000
00IN00003,1996006002, 6002,00, 6002,96,2,00,1,00,,000044, 57800,7,,,,1,LIM,1,162,172,2,,,,,BF,3,4.0,,2000
00IN00004,1996006006, 6006,00, 6006,96,2,00,1,00,,000044,502200,7,,,,1,LIM,3,180,175,2,,,,,BF,3,4.0,,2000
00IN00005,1996006013, 6013,00, 6013,96,2,00,1,00,,000044,907300,7,,,,1,LIM,3,157,142,2,,,,,BF,3,4.0,,2000
00IN00006,1996006022, 6022,00, 6022,96,2,00,1,00,,000044,254000,7,,,,1,LIM,3,152,163,2,,,,,BF,3,4.0,,2000
00IN00007,1996006036, 6036,00, 6036,96,2,00,1,00,,000044,107400,7,,,,U,LIM,1,147,136,2,,,,,U,A,4.0,,2000
00IN00008,1996006037, 6037,00, 6037,96,2,00,1,00,,000044,107400,7,,,,U,LIM,1,163,150,2,,,,,U,A,4.0,,2000
00IN00009,1996006038, 6038,00, 6038,96,2,00,1,00,,000044,  8800,7,,,,U,LIM,3,166,158,3,,,,,U,A,4.0,,2000
00IN00010,1996006046, 6046,00, 6046,96,2,00,1,00,,000044,551000,7,,,,K,LIM,K,167,0,0,,,,,KNA,3,4.0,,2000
00IN04728,1999816026,Z6026,81,Z6026,99,2,00,1,20,e.P,000081,668044,7,,,,7,PUB,3,137,0,0,,97,0929,P,,,1.0,4TEATS,2000
00IN04729,1999816031,Z6031,81,Z6031,99,2,00,1,SC,01,000081,818963,7,,,,U,LIM,3,143,150,2,,,,.,U,A,1.0,,2000
00IN04730,1999816050,Z6050,81,Z6050,99,2,00,1,20,e.P,000081,693744,7,,,,U,PUB,3,170,167,2,,,,P,U,A,1.0,,2000
00IN04731,1999816056,Z6056,81,Z6056,99,2,00,1,20,413,000081,613344,7,,,,U,,3,149,151,2,,,,M,U,A,1.0,,2000
00IN04732,1999046129,A6129,04,A6129,99,1,00,1,33,.0.,000063,427704,0,,,,3,X,Y,174,201,,X,93,0812,,,,1.0,"X,C x P Xbred",2000
00IN04733,1999046642,A6642,04,A6642,99,1,88,1,30,41-,444104,356504,7,,,,1,Nax,Y,145,189,0,,,,.,,,1.0,"X, SM.TSTS",2000
00IN04734,1993040212,A0212,04,A0212,93,2,TT,1,30,R-0,000003,547103,2,,,,3,OVX,*,0,0,0,X,,,,,,7.0,OVX,2000
00IN04735,         0,I0093,,I0093,00,1,97,1,97,,MAYS,DAVIS,I,,,,1,DAV,*,0,0,0,,,,,,,0.5,IDZ23 - 339,2000
00IN04736,         0,I3116,,I3116,00,1,97,1,97,,CARAS,COBY,I,,,,6,DAV,*,0,0,0,,01,0624,,,,0.5,IDZ23 - 340,2000
00IN04737,         0,I9221,,I9221,99,1,ID,1,02,,,,I,,MSU,1,1,MSU,Y,225,253,0,I,,,I,,,1.0,Montana State,2000
