UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,C14,SEA,PD,RGRP,ELG,STM,TBR,ADAM,JAW,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,CAUSE,XVET,YRREC
76IN00001,1970370001,70,2,70001,,,29,,1,,,,30,,70,,,, 21,,, 1,116,122,,70,,,37,,,,000008,5,,000609,,,1976
76IN00002,1969340008,69,2,40008,,,15,,1,,,,02,,80,,,, 16,,,02,136,138,,76,,,34,,,,000004,,,065604,,,1976
76IN00003,1969390011,69,2,90011,,,09,,1,,,,51,,,,,, 20,,,02,118,144,6,75,,,39,1026,,,000195,,,329601,40,,1976
76IN00004,1969380012,69,2,80012,,,22,,1,3,,,08,,,,,,,,,11,151,130,,,,,38,,,,000008,,,052504,,,1976
76IN00005,1969380014,69,2,80014,,,22,,1,3,,,08,,,,,,,,, 2,166,156,3,,,,38,1122,,,000008,3,,101104,93,,1976
76IN00006,1969380016,69,2,80016,,,22,,1,,,,08,,80,,,, 19,,,02,166,160,,75,,,38,,,,000008,,,075904,,,1976
76IN00007,1969390018,69,2,90018,, 2,09,,1,,,,51,,80,,,, 12,,,01,104,128,,73,,,39,,,,000195,,,325901,,,1976
76IN00008,1969340018,69,2,40018,,,15,,1,,,,02,,80,,,, 14,,,04,178,170,,76,,,34,,,,000004,,,109104,,,1976
76IN00009,1969380019,69,2,80019,, 2,23,,1,,,,08,,80,,,, 08,,,02,164,168,,73,,,38,,,,000008,,,095804,,,1976
76IN00010,1969390021,69,2,90021,,,09,,1,,,,51,,80,,,, 24,,,02,106,120,,70,,,39,,,,000195,,,336601,,,1976
76IN05452,1968619729,68,2,A9729,,02,020,6,,,,,06,2,,,1,1,, 91,10,,113,,,02,105,,61,,,,778561,4,,640761,,,1976
76IN05453,1968619796,68,2,A9796,,70,713,,4,,,,06,,9,,2,1,603, 87,09, 3,137,136,,70,117,,61,,,,638461,2,,692161,,,1976
76IN05454,1968619803,68,2,A9803,,70,713,,2,3,,,06,,,,2,1,, 98,09, 3,163,164,3,70,150,,61,0927,,,638461,3,,593061,93,,1976
76IN05455,1968619813,68,2,A9813,,70,713,,4,3,,,06,,,,2,1,, 20,09, 3,159,157,5,70,130,,61,1117,,,638461,1,,774761,95,,1976
76IN05456,1968619867,68,2,A9867,,76,084,,4,3,,,06,,,,7,1,, 92,09, 1,119,113,3,05,122,,61,0927,,,781961,5,,818661,93,,1976
76IN05457,1968619877,68,2,A9877,,77,075,,2,,,,06,,,,7,1,, 92,09,,,,6,05,101,,61,0327,,,736961,,,449961,19,-,1976
76IN05458,1968619879,68,2,A9879,,70,713,,2,,,,06,,,,2,1,, 00,09,,,,6,70,122,,61,0504,,,638461,,,722861,01,,1976
76IN05459,1968619912,68,2,A9912,,72,853,,2,2,,,06,,,,3,1, 60, 82,08, 3,142,139,2,72,124,,61,0923,,,797461,2,,828061,92,,1976
76IN05460,1968619972,68,2,A9972,,70,713,,4,,,,06,,,,2,1,, 08,09,,,,6,70,121,,61,0518,,,638461,,,709561,15,,1976
76IN05461,1968619985,68,2,A9985,,70,713,,2,,,,06,,,,2,1,, 88,09,,,,6,70,105,,61,0216,,,638461,,,558061,22,,1976
