UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,SALE_LOT,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
58IN00001,1951101644,51,2,U1644,0,68,,10,,,,,8,,,,198,,,,130,151,,,,,10,,,,,,,,,,7,,1958,7.0
58IN00002,1951101647,51,2,U1647,0,68,,10,,,,,8,,,,218,,,,133,145,,,,,10,,,,,,,,,,7,,1958,7.0
58IN00003,1952101650,52,2,U1650,0,68,,10,,,,,7,,,,228,,,,110,140,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00004,1952101651,52,2,U1651,0,68,,10,,,,,7,,,,,,,,124,130,3,,,,10,1208,,,,,,,,,6,,1958,6.0
58IN00005,1952101653,52,2,U1653,0,68,,10,,,,,7,,,,238,,,,120,145,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00006,1952101655,52,2,U1655,0,68,,10,,,,,7,,,,248,,,,152,162,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00007,1952101658,52,2,U1658,0,68,,10,,,,,7,,,,,,,,84,147,3,,,,10,1219,,,,,,,,,6,,1958,6.0
58IN00008,1952101659,52,2,U1659,0,68,,10,,,,,7,,,,,,,,,,6,,,,10,0410,,,,,,,,,6,,1958,6.0
58IN00009,1952101666,52,2,U1666,0,68,,10,,,,,7,,,,258,,,,118,159,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00010,1952101668,52,2,U1668,0,68,,10,,,,,7,,,,,,,,133,167,3,,,,10,1208,,,,,,,,,6,,1958,6.0
58IN04798,1955671787,55,2,01787,7,73,106,67,3,08,,,4,,9,1,026,074,10,,125,155,,,102,049,67,,114,5,,9422,6,,,,3,,1958,3.0
58IN04799,1955671788,55,2,01788,7,73,106,67,3,07,,,4,,9,1,096,095,09,,142,161,,,103,067,67,,135,5,,9422,6,,,,3,,1958,3.0
58IN04800,1955671792,55,2,01792,7,73,046,67,3,06,,,4,,9,1,106,093,08,,117,145,,,086,047,67,,116,3,,9150,6,,,,3,,1958,3.0
58IN04801,1955671796,55,2,01796,7,73,036,67,3,07,,,4,,9,1,036,095,06,,127,148,,,118,068,67,,150,6,,9171,6,,,,3,,1958,3.0
58IN04802,1955671799,55,2,01799,7,73,126,67,3,06,,,4,,9,1,046,094,09,,123,158,,,098,051,67,,121,4,,8774,6,,,,3,,1958,3.0
58IN04803,1955671805,55,2,01805,7,73,176,67,3,06,,,4,,9,1,056,098,07,,125,148,,,100,051,67,,109,5,,9197,6,,,,3,,1958,3.0
58IN04804,1955671806,55,2,01806,7,73,166,67,3,05,,,4,,1,1,076,111,09,,130,147,,,110,058,67,,112,5,,8407,6,,,,3,,1958,3.0
58IN04805,1955671808,55,2,01808,7,73,196,67,3,07,,,4,,9,1,066,098,09,,134,157,,,116,062,67,,123,5,,9207,6,,,,3,,1958,3.0
58IN04806,1955671809,55,2,01809,7,73,186,67,3,08,,,4,,9,1,096,098,07,,128,165,,,096,039,67,,094,4,,9068,6,,,,3,,1958,3.0
58IN04807,1955671814,55,2,01814,7,73,046,67,3,06,,,4,,9,1,086,093,08,,126,133,,,105,045,67,,082,5,,9150,6,,,,3,,1958,3.0
