UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
83IN00001,         0,,2,00001,,00,,,1,,,0,,,,,,,,,,,133,0,3,,00,,00,0606,,,9,,,93,,1983
83IN00002,         0,,2,00003,,00,,,1,,,0,,,,,,,,,,,150,0,3,,00,,00,0606,,,9,,,93,,1983
83IN00003,         0,,2,00005,,00,,,1,,,0,,,,,,,,,,,142,0,3,,00,,00,0606,,,7,,,93,,1983
83IN00004,         0,,2,00006,,00,,,1,,,0,,,,,,,,,,,167,0,3,,00,,00,0606,,,7,,,93,,1983
83IN00005,         0,,2,00007,,00,,,1,,,0,,,,,,,,,,,0,0,3,,00,,00,0117,,,*,,,93,,1983
83IN00006,         0,,2,00008,,00,,,1,,,0,,,,,,,,,,,145,0,3,,00,,00,0606,,,7,,,93,,1983
83IN00007,         0,,2,00009,,00,,,1,,,0,,,,,,,,,,,0,0,3,,00,,00,0117,,,*,,,93,,1983
83IN00008,1972011421,72,2,P1421,,49,17,,1,,,0,,,,-0,,,,,,,177,0,7,,02,,01,0916,,014804,3,,103604,97,,1983
83IN00009,1973011996,73,2,P1996,,71,08,,1,3,,0,,,,00,,,,,, 3,132,123,3,,51,,01,1024,,078809,1,,013409,93,,1983
83IN00010,1973011999,73,2,P1999,,71,08,,1,2,,0,,,,00,,,,,, 2,130,144,2,,51,198,01,0922,,078809,2,,008909,92,,1983
83IN06055,1980978562,80,2,U8562,,97,,,1,,,,,,,30,,,,,,,0,0,3,,97,,97,0307,,001997,*,,476397,93,,1983
83IN06056,1980978609,80,1,U8609,,97,,,1,4,,,,,,30,,,,,,,208,216,6,,97,,97,1216,,276197,M,,695297,14,,1983
83IN06057,1980978626,80,2,U8626,,97,,,1,,,,,,,30,,,,,,,190,0,6,,97,,97,0527,,001997,B,,992297,01,,1983
83IN06058,1980978629,80,1,U8629,,97,,,1,4,,,,,,30,,,,,,,197,172,E,,97,,97,,,001997,M,,271697,,,1983
83IN06059,1980978630,80,1,U8630,,97,,,1,1,,,,,,30,,,,,,,238,251,,,97,,97,,,001997,M,,271697,,,1983
83IN06060,1980978631,80,2,U8631,,97,,,1,,,,,,,30,,297,,,, 2,209,237,,,97,,97,,,001997,B,,271697,,,1983
83IN06061,1980978633,80,1,U8633,,97,,,1,1,,,,,,30,,,,,,,288,291,,,97,,97,,,001997,M,,991997,,,1983
83IN06062,1980978635,80,2,U8635,,97,,,1,,,,,,,30,,297,,,, 2,176,201,,,97,,97,,,276197,B,,696797,,,1983
83IN06063,1974979922,74,2,V9922,,97,,,1,,,,,,,90,,,,,,,172,0,6,,97,,97,0613,,,B,,998397,02,,1983
83IN06064,1978191587,78,2,S1587,,12,860,,1,1,,,,,,50,,,,,,,157,162,,,07,,19,,,956518,1,,533918,,,1983
