UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,SYNCH,C80,YRREC,AGE
65IN00001,1957102053,57,2,U2053,0,41,561,,,,,00,,9,,5,1,410,108,0,,180,182,,,080,059,10,,110,2,440911,3,,,,,,1965,8.0
65IN00002,1962102612,62,3,U2612,0,,,,,,,,,4,,,,,,,,,,,,,,10,,090,2,,,,,,,,1965,3.0
65IN00003,1964910138,64,1,00138,1,,,,,,,,,2,,,,,,,,150,180,2,,,,91,0923,,,,,,,,,,1965,1.0
65IN00004,1963910139,63,1,00139,1,,,,,,,,,3,,,,,,,,180,193,2,,,,91,0923,,,,,,,,,,1965,2.0
65IN00005,1954114199,54,2,R4199,1,23,230,,,,,22,,&,,1,4,,079,1,,133,136,6,,060, 27,11,1122,074,2,371511,8,,,,,,1965,11.0
65IN00006,1954114227,54,2,R4227,1,20,200,,,,,18,,&,,1,3,,076,1,,,,6,,073, 39,11,0414,083,2,345711,,,,,,,1965,11.0
65IN00007,1954114294,54,2,R4294,1,27,270,,,,,26,,&,,1,3,,081,1,,123,153,3,,084, 46,11,1001,123,2,352011,8,,,,,,1965,11.0
65IN00008,1954114335,54,2,R4335,1,21,210,,,,,25,,&,,1,3,210,073,1,,110,126,,,079, 44,11,,108,2,384111,8,,,,,,1965,11.0
65IN00009,1954114361,54,2,R4361,1,21,210,,,,,26,,&,,1,3,211,060,1,,107,121,,,071, 28,11,,077,2,384111,2,,,,,,1965,11.0
65IN00010,1955114389,55,2,R4389,1,19,190,,,,,23,,-,,1,4,,091,1,,123,152,3,,087,051,11,1001,099,2,397511,8,,,,,,1965,10.0
65IN05432,1965970252,65,1,00252,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
65IN05433,1965970253,65,1,00253,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
65IN05434,1965970254,65,1,00254,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
65IN05435,1965970255,65,1,00255,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
65IN05436,1965970256,65,1,00256,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
65IN05437,1965970257,65,1,00257,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
65IN05438,1965970258,65,1,00258,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
65IN05439,1965970259,65,1,00259,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
65IN05440,1965970260,65,1,00260,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
65IN05441,1965970261,65,1,00261,B,BF,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,1965,0.0
