UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,BRAND,C34,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
78IN00001,1971011241,71,2,P1241,,76,03,1,2,2,,0,,,,,,067,,, 1,137,147,2,,07,,01,0921,,000001,7,,006601,92,,1978
78IN00002,1972011672,72,2,P1672,,76,31,1,1,2,,0,,,,,,066,,, 2,152,170,2,,07,,01,0921,,003701,6,,412201,92,,1978
78IN00003,1972011686,72,2,P1686,,76,11,2,1,3,,0,,,,,,,,,12,197,206,,,07,,01,,,032101,7,,387501,,,1978
78IN00004,1972011979,72,2,P1979,,76,01,1,2,2,,0,,,,,,066,,, 3,139,156,2,,07,,01,0921,,000001,7,,266401,92,,1978
78IN00005,1973012158,73,2,P2158,,76,12,1,1,2,,0,,,,,,065,,, 2,162,161,2,,07,,01,0921,,126101,6,,386101,92,,1978
78IN00006,1973012488,73,2,P2488,,76,11,1,1,2,,0,,,,,,065,,, 2,176,212,2,,07,,01,0921,,121301,7,,326201,92,,1978
78IN00007,1973012712,73,2,P2712,,76,03,2,2,2,,0,,,,,,065,,, 1,147,156,2,,07,,01,0921,,177401,7,,007301,92,,1978
78IN00008,1975013673,75,2,P3673,,76,05,2,1,,,0,,,1,40,, 11,,, 2,146,165,,,01,,01,,,149004,7,,167201,,,1978
78IN00009,1975014498,75,2,P4498,,76,02,2,2,2,,0,,,,,,040,,, 3,162,167,2,,01,,01,0921,,000004,6,,265701,92,,1978
78IN00010,1976014770,76,2,P4770,,76, 02,2,1,2,,0,,,1,,,040,,, 2,148,128,2,,01,,01,0921,,248604,6,,197901,92,,1978
78IN05409,1974979927,74,1,V9927,,97,,,,,,,,,3,,,,,,,210,,,,97,,97,,,,M,,9977 7,,,1978
78IN05410,1974979930,74,2,V9930,,97,,,,,,,,,3,50,,,,,,192,,,,97,,97,,,,4,,9984 7,,,1978
78IN05411,1974979931,74,1,V9931,,97,,,,,,,,,2,,,,,,,241,,,,97,,97,,,,M,,9992 7,,,1978
78IN05412,1974979934,74,1,V9934,,97,,,,,,,,,3,,,,,,,226,,,,97,,97,,,,M,,9973 7,,,1978
78IN05413,1968979975,68,2,V9975,,97,,,,,,,,,,,,,,,,141,,6,,97,,97,0717,,,4,,,02,,1978
78IN05414,1969979980,69,2,V9980,,97,,,,,,,,,,00,,,,,,184,,,,97,,97,,,,4,,,,,1978
78IN05415,1970979986,70,2,V9986,,97,,,,,,,,,,90,,,,,,152,,,,97,,97,,,,4,,,,,1978
78IN05416,1967979988,67,2,V9988,,97,,,,,,,,,,-0,,,,,,219,,,,97,,97,,,,4,,,,,1978
78IN05417,1972979991,72,2,V9991,,97,,,,,,,,,,,,,,,,,,6,,97,,97,0120,,,*,,,17,,1978
78IN05418,1967979994,67,2,V9994,,97,,,,,,,,,,,,,,,,,,6,,97,,97,0216,,,*,,,50,,1978
