UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,YRREC,AGE
73IN00001,1972011320,72,3,P1320,7,00,,,,,,,,,2,30,,,,,,,107,130,,,,,01,,,,,,,,,,1973,1.0
73IN00002,1972011356,72,3,P1356,4,00,,,,,,,,,2,02,,,,,,,96,130,3,,,,01,1001,,,,,,,,,1973,1.0
73IN00003,1969310001,69,2,10001,1,,11,,,,,,,,5,07,,,11,,,01,156,150,,,,,31,,,,,,,,,,1973,4.0
73IN00004,1969310006,69,2,10006,1,,11,,,,,,,,5,07,,,56,,,02,157,175,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00005,1969310007,69,2,10007,1,,11,,,,,,,,5,07,,,56,,,02,158,170,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00006,1969310024,69,2,10024,1,,11,,,,,,,,5,07,,,12,,,02,163,185,,,,,31,,,,,,,,,,1973,4.0
73IN00007,1969310029,69,2,10029,1,,11,,,,,,,,5,07,,,38,,,02,144,154,,,,,31,,,,,,,,,,1973,4.0
73IN00008,1969310039,69,2,10039,1,,,,,,,,,,5,07,,,,,,,,,,,,,31,,,,,,,,,,1973,4.0
73IN00009,1969310042,69,2,10042,1,,11,,,,,,,,5,07,,,56,,,01,143,142,2,,,,31,0920,,,,,,,,,1973,4.0
73IN00010,1969310046,69,2,10046,1,,11,,,,,,,,5,07,,,56,,,02,108,140,2,,,,31,0920,,,,,,,,,1973,4.0
73IN05503,1969973856,69,1,03856,7,,,,,,,,,,5,97,,,,215,,,195,225,,,,,97,,109,6,,,,,,,1973,4.0
73IN05504,1972978451,72,1,08451,7,,,,,,,,,,2,97,,,,138,05,,138,160,,,,,97,,094,6,,,,,,,1973,1.0
73IN05505,1972978452,72,1,08452,7,,,,,,,,,,2,97,,,,152,05,,152,170,,,,,97,,094,6,,,,,,,1973,1.0
73IN05506,1971980001,71,1,00001,8,,,,,,,,,,3,98,,,,,,,300,205,,,,,98,,,,,,,,,,1973,2.0
73IN05507,1971980002,71,1,00002,8,,,,,,,,,,3,98,,,,,,,212,207,,,,,98,,,,,,,,,,1973,2.0
73IN05508,1971980003,71,1,00003,8,,,,,,,,,,3,98,,,,,,,240,245,,,,,98,,,,,,,,,,1973,2.0
73IN05509,1972950085,72,1,00085,9,,,,,,,,,,2,95,,,,,,,,,3,,,,95,1112,,,,,,,,,1973,1.0
73IN05510,1972950086,72,1,00086,9,,,,,,,,,,2,95,,,,,,,,,3,,,,95,1112,,,,,,,,,1973,1.0
73IN05511,1972011455,72,1,P1455,1,,11,,,,,,,,2,07,,,,,,,,,,,,,01,,,,032101,,,416401,,,1973,1.0
73IN05512,1972011480,72,1,P1480,9,,10,,,,,,,,2,51,,,,,,,,,,,,,01,,,,000695,,,402301,,,1973,1.0
