UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
90IN00001,         0,00001,,88,1,,1,02,,6565JP,5051JP,,,1,1,,1,,,1,,M,210,244,,,,,,,,T-1,,,2,20,REG#47521,1990
90IN00002,1986030001,L0001,03,86,2,72,2,30,724,765602,337502,6,,1,,,, 2,163,1,,5,183,213, 2,,,,,,,,4,,F,35,,1990
90IN00003,1989100003,S0003,10,89,1,18,1,07,143,816219,694419,,,,,,0,,,2,158,Y,137,174,,C,+,,92,0920,,,,,,10,,1990
90IN00004,1988440004,T0004,44,88,2,40,1,02,401,780343,499443,,,,,,, 1,093,1,A-2,1,144,156, 2,A,,,,,F,T-5,3,2,2,20,,1990
90IN00005,1989100005,S0005,10,89,2,18,1,07,141,800619,821719,,,,,,, 1,070,1,,1,114,125, 1,B,,,,,,009,3,,1,10,WILD,1990
90IN00006,1988440005,T0005,44,88,1,40,1,02,401,780343,499443,2,,,,,,,,3,,X,176,0,,,,J,93,0529,,,,,,20,JIM'S RAMS,1990
90IN00007,1989100006,S0006,10,89,1,11,1,07,R2,831119,895919,,,,,,,,,3,,Y,159,181,,V,,,93,0806,,,,,,10,,1990
90IN00008,1986030007,L0007,03,86,2,83,2,30,733,761202,675501,7,,1,,,, 2,117,1,,1,162,176, 2,A,,,,,,332,3,,2,35,,1990
90IN00009,1988440007,T0007,44,88,2,48,1,02,  3,788943,872743,,,,,,, 2,129,3,X,1,134,144,12,B,,,93,1015,,,,,,20,BADBAG,1990
90IN00010,1989100008,S0008,10,89,1,11,1,07,111,891619,560419,,,,,,,,,1,,Y,138,177,,C,,,,,,,,,,10,,1990
90IN05191,1988439988,T9988,43,88,2,41,1,02,411,866643,439343,,,,,,, 2,101,1,,3,143,154, 2,A,,,,,,414,3,,2,20,,1990
90IN05192,1986029989,Y9989,02,86,2,83,2,30,735,771002,439902,7,,1,,,, 3,000,6,,X,90,0,,V,+,,76,0518,,,,,,35,DEAD LUNGER,1990
90IN05193,1989199990,S9990,19,89,1,11,1,07,112,888419,707019,,,,,,,,,3,,Y,131,176,,C,+,,93,0806,,,,,,10,,1990
90IN05194,1988439990,T9990,43,88,2,40,1,02,402,850243,646643,6,,,,,, 0,000,1,,5,151,198, 1,,,,,,,,4,,F,20,WILDEWE,1990
90IN05195,1988439991,T9991,43,88,2,40,1,02,402,850243,646643,6,,,,,, 0,000,1,,5,150,178, 1,,,,,,,,4,,F,20,,1990
90IN05196,1989199991,S9991,19,89,2,11,1,07,112,888419,707019,,,,,,, 2,086,1,,2,116,138, 2,A,,,,,,009,2,,1,10,,1990
90IN05197,1989199995,S9995,19,89,2,18,1,07,142,802819,784919,9,,,,,, 2,100,1,,1,115,135, 2,B,,S,,,,014,3,,1,10,SPURGE,1990
90IN05198,1988439996,T9996,43,88,2,43,1,02,  4,793143,936543,7,,,,,, 2,150,1,A-3,2,124,140, 2,B,,,,,S,T-5,3,2,2,20,,1990
90IN05199,1989199997,S9997,19,89,2,12,1,07,951,825919,609519,,,,,,, 1,000,3,OVX,2,100,126, 1,B,,,,,,,,,,10,NOBAG,1990
90IN05200,1989199999,S9999,19,89,2,13,1,07,143,816219,467919,6,,,,,,,,1,,5,150,160, 1,,,,,,,,3,,F,10,4TEATS,1990
