UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,YRREC,AGE
72IN00001,1969310001,69,2,10001,1,,11,,,,,, 1,4,4,07,,,13,,,02,128,153,,,,,31,,,,,,,,,03,1972,3.0
72IN00002,1970370001,70,2,70001,7,,29,,,,,, 1,3,3,30,,,34,,,01,108,122,,,,,37,,,,,,,,,02,1972,2.0
72IN00003,1970370003,70,1,70003,7,,,,,,,,,,3,30,,,,160,0,,190,210,3,,,,37,1204,119,5,,,,,,,1972,2.0
72IN00004,1969340004,69,2,40004,4,,15,,,,,, 1,4,4,02,,,17,,,02,152,185,,,,,34,,,,,,,,,03,1972,3.0
72IN00005,1969390004,69,2,90004,9,,,,,,,,,,4,51,,, 61,,,01,135,155,2,,,,39,0921,,,,,,,,02,1972,3.0
72IN00006,1969310006,69,2,10006,1,,11,,,,,, 1,4,4,07,,,11,,,10,170,172,,,,,31,,,,,,,,,02,1972,3.0
72IN00007,1970370006,70,1,70006,7,,,,,,,,,,3,30,,,,130,05,,168,198,2,,,,37,0921,090,4,,,,,,,1972,2.0
72IN00008,1969390006,69,2,90006,9,,,,,,,,,,4,51,,, 61,,,01,155,152,2,,,,39,0921,,,,,,,,02,1972,3.0
72IN00009,1969310007,69,2,10007,1,,11,,,,,, 1,4,4,07,,,12,,,02,146,170,,,,,31,,,,,,,,,02,1972,3.0
72IN00010,1969340007,69,2,40007,4,,15,,,,,, 1,4,4,02,,,15,,,02,134,148,,,,,34,,,,,,,,, 2,1972,3.0
72IN05595,1971623120,71,1,K3120,6,72,833,,,,,,,3,2,06,,,,090,12,,90,105,,72,082,039,62,,089,3,033162,,385,779261,,,1972,1.0
72IN05596,1969907612,69,2,V7612,9,99, 9,,,,,,,,4,53,8,1, 64,083,04,,114,125,2,,085,,90,0921,064,4,000195,7,,831661,,,1972,3.0
72IN05597,1969907668,69,2,V7668,9,99, 9,,,,,,,,4,53,8,1,,072,03,,80,,6,,072,,90,0516,043,2,000195,7,,727261,,,1972,3.0
72IN05598,1971907972,71,2,V7972,9,99,091,,,,,,,2,2,53,,, 62,088,04, 1,88,87,2,77,,016,90,0921,049,7,000595,,,894961,,,1972,1.0
72IN05599,1971907973,71,2,V7973,9,99,091,,,,,,,3,2,53,,, 62,112,04,,112,125,2,73,,040,90,0921,074,5,000595,,,901161,,,1972,1.0
72IN05600,1971907975,71,2,V7975,9,99,091,,,,,,,3,2,53,,,,,,,,,6,72,,,90,0505,,,000595,,,843461,,,1972,1.0
72IN05601,1971907980,71,2,V7980,9,99,091,,,,,,,2,2,53,,, 62,083,,,83,108,2,76,,043,90,0921,088,4,000595,,,878861,,,1972,1.0
72IN05602,1971907999,71,2,V7999,9,99,091,,,,,,,2,2,53,,, 62,095,05,,95,101,2,78,,038,90,0921,076,5,000595,,,921661,,,1972,1.0
72IN05603,1971908006,71,2,V8006,9,99,090,,,,,,,1,2,53,,, 62,102,05,,102,125,2,77,,042,90,0921,086,6,000495,,,923261,,,1972,1.0
72IN05604,1971950007,71,1,00007,9,,,,,,,,,,2,95,,,,,,,142,166,,,,,95,,,,FIFE,,,,,,1972,1.0
