UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,YRREC,AGE
69IN00001,1968103051,68,2,U3051,0,,,,,,,,,,2,,,,,,,,117,,3,,,,10,0602,,,,,,,,,1969,1.0
69IN00002,1968103052,68,2,U3052,0,,,,,,,,,,2,,,,,,,,162,,6,,,,10,0718,,,,,,,,,1969,1.0
69IN00003,1968103053,68,2,U3053,0,,,,,,,,,,2,,,,,,,,150,,3,,,,10,0602,,,,,,,,,1969,1.0
69IN00004,1968103054,68,2,U3054,0,,,,,,,,,,2,,,,,,,,188,,,,,,10,,,,,,,,,,1969,1.0
69IN00005,1968103055,68,2,U3055,0,,,,,,,,,,2,,,,,,,,126,,3,,,,10,0602,,,,,,,,,1969,1.0
69IN00006,1968103056,68,2,U3056,0,,,,,,,,,,2,,,,,,,,158,,,,,,10,,,,,,,,,,1969,1.0
69IN00007,1968103058,68,2,U3058,0,,,,,,,,,,2,,,,,,,,126,,6,,,,10,0815,,,,,,,,,1969,1.0
69IN00008,1968103059,68,2,U3059,0,,,,,,,,,,2,,,,,,,,127,,3,,,,10,0804,,,,,,,,,1969,1.0
69IN00009,1968103060,68,2,U3060,0,,,,,,,,,,2,,,,,,,,139,,9,,,,10,0730,,,,,,,,,1969,1.0
69IN00010,1968103061,68,2,U3061,0,,,,,,,,,,2,,,,,,,,,,6,,,,10,0306,,,,,,,,,1969,1.0
69IN05197,1967904462,67,1,V4462,9,,,,,,,,,,3,10,,,,,,,205,,3,,,,90,0630,,,,,,,,,1969,2.0
69IN05198,1967904510,67,3,V4510,9,,,,,,,,,,3,10,,,,,,,170,,3,,,,90,0602,,,,,,,,,1969,2.0
69IN05199,1967904560,67,3,V4560,9,,,,,,,,,,3,01,,,,,,,,,6,,,,90,0811,,,,,,,,,1969,2.0
69IN05200,1967904641,67,3,V4641,9,,,,,,,,,,3,10,,,,,,,168,,3,,,,90,0630,,,,,,,,,1969,2.0
69IN05201,1968905691,68,3,V5691,9,,,,,,,,,,2,44,,,,,,,100,,,,,,90,,,,,,,,,,1969,1.0
69IN05202,1968905897,68,3,V5897,9,,,,,,,,,,2,02,,,,,,,96,,,,,,90,,,,,,,,,,1969,1.0
69IN05203,1968905922,68,3,V5922,9,,,,,,,,,,2,01,,,,,,,106,,,,,,90,,,,,,,,,,1969,1.0
69IN05204,1968906096,68,3,V6096,9,,,,,,,,,,2,03,,,,,,,108,,,,,,90,,,,,,,,,,1969,1.0
69IN05205,1968906395,68,3,V6395,9,,,,,,,,,,2,41,,,,,,,105,,,,,,90,,,,,,,,,,1969,1.0
69IN05206,1968905505,68,3,V5505,9,,,,,,,,,,2,01,,,,,,,108,,,,,,90,,,,,,,,,,1969,1.0
