UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
13PE00001,13,05,H7938,05,H7324,05,H7656,30,2013057938,2011057324,2012057656
13PE00002,13,05,H7939,05,H5936,05,H7497,30,2013057939,2010055936,2012057497
13PE00003,13,05,H7940,05,H5936,05,H7497,39,2013057940,2010055936,2012057497
13PE00004,13,05,H7941,05,H6969,05,H4451,30,2013057941,2011056969,2008054451
13PE00005,13,05,H7942,05,H5934,05,H6539,30,2013057942,2010055934,2011056539
13PE00006,13,05,H7943,05,H5934,05,H6539,30,2013057943,2010055934,2011056539
13PE00007,13,05,H7944,00,H7410,05,H5682,30,2013057944,2011007410,2010055682
13PE00008,13,05,H7945,05,H5934,05,H3898,30,2013057945,2010055934,2008053898
13PE00009,13,05,H7946,05,H5934,05,H3898,30,2013057946,2010055934,2008053898
13PE00010,13,05,H7947,05,H6952,05,H6955,30,2013057947,2011056952,2011056955
13PE00011,13,05,H7948,05,H6952,05,H6955,30,2013057948,2011056952,2011056955
13PE00012,13,05,H7949,05,H6777,05,H3905,30,2013057949,2011056777,2008053905
13PE00013,13,05,H7950,05,H6777,05,H3905,30,2013057950,2011056777,2008053905
13PE00014,13,05,H7951,05,H5934,05,H5520,30,2013057951,2010055934,2009055520
13PE00015,13,05,H7952,05,H5934,05,H5520,30,2013057952,2010055934,2009055520
13PE00016,13,05,H7953,05,H6969,05,H6349,30,2013057953,2011056969,2010056349
13PE00017,13,05,H7954,05,H6039,05,H7623,30,2013057954,2010056039,2012057623
13PE00018,13,05,H7955,00,H7410,05,H5036,30,2013057955,2011007410,2009055036
13PE00019,13,05,H7956,05,H6952,05,H6859,30,2013057956,2011056952,2011056859
13PE00020,13,05,H7957,05,H6777,05,H5102,30,2013057957,2011056777,2009055102
13PE00021,13,05,H7958,05,H6777,05,H5102,30,2013057958,2011056777,2009055102
13PE00022,13,05,H7959,05,H7199,05,H3638,30,2013057959,2011057199,2007053638
13PE00023,13,05,H7960,05,H7199,05,H3638,30,2013057960,2011057199,2007053638
13PE00024,13,05,H7961,05,H6969,05,H5140,30,2013057961,2011056969,2009055140
13PE00025,13,05,H7962,05,H6777,05,H4448,30,2013057962,2011056777,2008054448
13PE00026,13,05,H7963,05,H6777,05,H4448,30,2013057963,2011056777,2008054448
13PE00027,13,05,H7964,00,H7410,05,H6364,30,2013057964,2011007410,2010056364
