UID,LAMB,SIRE,DAM
62PE00001,62102611,60000000,53407268
62PE00002,62102612,60000000,58809438
62PE00003,62102613,60000000,53481863
62PE00004,62102614,60000000,53481863
62PE00005,62115730,59115255,57114886
62PE00006,62115731,60115439,60115417
62PE00007,62115732,59115380,60115478
62PE00008,62115733,59115296,58115205
62PE00009,62115734,59115296,58115205
62PE00010,62115735,60115439,60115483
62PE00011,62115736,60115446,57114967
62PE00012,62115737,60115446,57114967
62PE00013,62115738,59115229,60115467
62PE00014,62115739,59115255,55114514
62PE00015,62115740,59115255,55114514
62PE00016,62115741,60115446,58115135
62PE00017,62115742,60115446,58115135
62PE00018,62115743,59115380,56114693
62PE00019,62115744,59115380,56114693
62PE00020,62115745,59115229,54114361
62PE00021,62115746,59115229,54114361
62PE00022,62115747,59115229,55114399
62PE00023,62115748,59115380,56114697
62PE00024,62115749,60115549,59115263
62PE00025,62115750,60115549,59115263
62PE00026,62115751,59115229,60115575
62PE00027,62115752,59115229,56114737
62PE00028,62115753,60115439,57114887
62PE00029,62115754,60115439,57114887
62PE00030,62115755,59115296,57114836
62PE00031,62115756,59115255,58115083
62PE00032,62115757,60115439,58115098
62PE00033,62115758,59115229,58115186
62PE00034,62115759,60115463,59115335
62PE00035,62115760,60115463,59115335
62PE00036,62115761,59115380,56114643
62PE00037,62115762,59115380,56114643
62PE00038,62115763,59115380,56114800
62PE00039,62115764,59115380,56114800
62PE00040,62115765,60115463,58115035
62PE00041,62115766,60115463,58115035
62PE00042,62115767,59115229,54114255
62PE00043,62115768,59115229,54114255
62PE00044,62115769,59115229,55114471
62PE00045,62115770,59115229,55114471
62PE00046,62115771,60115463,54114340
62PE00047,62115772,60115463,54114340
62PE00048,62115773,60115446,59115348
62PE00049,62115774,59115229,54114335
62PE00050,62115775,60115463,58115131
62PE00051,62115776,59115229,57114986
62PE00052,62115777,60115439,57114943
62PE00053,62115778,60115446,59115235
62PE00054,62115779,60115463,57114999
62PE00055,62115780,59115296,58115132
62PE00056,62115781,59115229,56114775
62PE00057,62115782,59115255,56114646
62PE00058,62115783,60115549,59115410
62PE00059,62115784,59115255,56114756
62PE00060,62115785,60115446,58115167
62PE00061,62115786,60115446,58115139
62PE00062,62115787,59115380,59115287
62PE00063,62115788,59115380,58115039
62PE00064,62115789,60115439,60115424
62PE00065,62115790,60115439,60115515
62PE00066,62115791,60115446,57115021
62PE00067,62115792,60115446,60115484
62PE00068,62115793,60115463,59115307
62PE00069,62115794,60115463,59115312
62PE00070,62115795,60115446,58115060
62PE00071,62115796,59115296,57114862
62PE00072,62115797,59115296,57114862
62PE00073,62115798,59115380,59115330
62PE00074,62115799,59115229,59115273
62PE00075,62115800,60115439,56114713
62PE00076,62115801,60115446,56114715
62PE00077,62115802,60115446,56114715
62PE00078,62115803,59115255,58115106
62PE00079,62115804,60115549,58115214
62PE00080,62115805,60115549,58115214
62PE00081,62115806,60115439,58115203
62PE00082,62115807,59115296,60115498
62PE00083,62115808,60115463,58115128
62PE00084,62115809,60115549,59115382
62PE00085,62115810,60115549,59115382
62PE00086,62115811,60115549,54114199
62PE00087,62115812,60115549,54114199
62PE00088,62115813,59115296,58115101
62PE00089,62115814,60115463,58115079
62PE00090,62115815,60115463,58115079
62PE00091,62115816,59115380,56114757
62PE00092,62115817,60115439,54114303
62PE00093,62115818,60115549,57114914
62PE00094,62115819,60115549,57114914
62PE00095,62115820,59115296,57114971
62PE00096,62115821,59115229,60115545
62PE00097,62115822,60115446,56114793
62PE00098,62115823,59115380,59115247
62PE00099,62115824,59115380,59115247
62PE00100,62115825,60115463,56114777
62PE00101,62115826,59115296,53113828
62PE00102,62115827,59115296,53113828
62PE00103,62115828,60115549,60115479
62PE00104,62115829,59115380,58115185
62PE00105,62115830,60115439,58115073
62PE00106,62115831,60115439,59115402
62PE00107,62115832,60115439,59115402
62PE00108,62115833,59115255,57114928
62PE00109,62115834,60115446,60115437
62PE00110,62115835,60115463,55114590
62PE00111,62115836,60115439,60115418
62PE00112,62115837,60115439,59115305
62PE00113,62115838,60115439,55114389
62PE00114,62115839,60115439,55114389
62PE00115,62115840,59115380,56114695
62PE00116,62115841,60115549,59115300
62PE00117,62115842,60115549,59115300
62PE00118,62115843,59115255,55114505
62PE00119,62115844,60115549,56114689
62PE00120,62115845,60115549,56114689
62PE00121,62115846,59115296,57114932
62PE00122,62115847,59115296,57114932
62PE00123,62115848,60115439,54114204
62PE00124,62115849,59115296,58115181
62PE00125,62115850,59115296,58115181
62PE00126,62115851,59115296,60115514
62PE00127,62115852,60115549,56114787
62PE00128,62115853,60115549,59115388
62PE00129,62115854,60115446,59115243
62PE00130,62115855,59115255,58115085
62PE00131,62115856,60115446,59115291
62PE00132,62115857,60115549,58115056
62PE00133,62115858,60115549,58115056
62PE00134,62115859,59115255,55114600
62PE00135,62115860,60115446,59115260
62PE00136,62115861,60115446,59115260
62PE00137,62115862,59115255,60115435
62PE00138,62115863,59115255,56114752
62PE00139,62115864,59115255,56114752
62PE00140,62115865,60115549,59115405
62PE00141,62146184,60145302,55142337
62PE00142,62146185,60145302,55142337
62PE00143,62146186,60145257,54141648
62PE00144,62146187,60145257,54141648
62PE00145,62146188,59144739,59144721
62PE00146,62146189,60145257,57178793
62PE00147,62146190,60145302,56142903
62PE00148,62146191,59144855,59145008
62PE00149,62146192,60145257,56143205
62PE00150,62146193,60145257,56143205
62PE00151,62146194,60145257,56143205
62PE00152,62146195,58144116,57143853
62PE00153,62146196,58144116,57143853
62PE00154,62146197,60145257,56101952
62PE00155,62146198,60145257,56101952
62PE00156,62146199,60145257,56143345
62PE00157,62146200,60145257,56143345
62PE00158,62146201,59144855,60145191
62PE00159,62146202,60145498,58144525
62PE00160,62146203,59145177,59144896
62PE00161,62146204,59145177,59144896
62PE00162,62146205,60145387,60145718
62PE00163,62146206,60145302,58144061
62PE00164,62146207,60145302,58144061
62PE00165,62146208,60145498,56143124
62PE00166,62146209,60145498,56143124
62PE00167,62146210,60145266,58144377
62PE00168,62146211,56142928,60145272
62PE00169,62146212,56142928,60145272
62PE00170,62146213,59144855,59145011
62PE00171,62146214,59144855,59145011
62PE00172,62146215,59144711,55142495
62PE00173,62146216,59144711,55142495
62PE00174,62146217,56142928,59144945
62PE00175,62146218,60145684,58144378
62PE00176,62146219,59144711,60145442
62PE00177,62146220,59145024,60145604
62PE00178,62146221,57143735,60145409
62PE00179,62146222,58144116,60145247
62PE00180,62146223,59145177,59144640
62PE00181,62146224,59145177,59144640
62PE00182,62146225,59144739,59145056
62PE00183,62146226,60145498,57143780
62PE00184,62146227,60145266,57143520
62PE00185,62146228,58144116,60145353
62PE00186,62146229,59145024,57143495
62PE00187,62146230,60145616,60145617
62PE00188,62146231,60145616,60145617
62PE00189,62146232,59145024,55142860
62PE00190,62146233,59145024,55142860
62PE00191,62146234,60145616,57143801
62PE00192,62146235,60145498,56143166
62PE00193,62146236,60145498,56143166
62PE00194,62146237,60145417,55142465
62PE00195,62146238,60145417,55142465
62PE00196,62146239,60145417,55142465
62PE00197,62146240,60145417,58144372
