UID,LAMB,SIRE,DAM
55PE00155,55114429,47910107,50113092
55PE00156,55114430,53113856,51113402
55PE00157,55114431,52113643,51113521
55PE00158,55114432,52113643,51113521
55PE00159,55114433,53113865,51113341
55PE00160,55114434,53113865,51113341
55PE00161,55114435,53113789,51113448
55PE00162,55114436,53113789,51113448
55PE00163,55114437,52113685,51113499
55PE00164,55114438,52113685,51113499
55PE00165,55114439,53113975,48112636
55PE00166,55114440,53113975,48112636
55PE00167,55114441,51113446,51113420
55PE00168,55114442,51113446,51113420
55PE00169,55114443,51113446,52113730
55PE00170,55114444,53113975,52113728
55PE00171,55114445,52113685,51113481
55PE00172,55114446,53113975,48112678
55PE00173,55114447,53113856,52113768
55PE00174,55114448,53113975,51113381
55PE00175,55114449,53113975,51113381
55PE00176,55114450,47910107,49112902
55PE00177,55114451,53113856,51113354
55PE00178,55114452,52113643,49112807
55PE00179,55114453,53113865,53113976
55PE00180,55114454,47910107,50113189
55PE00181,55114455,47910107,50113189
55PE00182,55114456,53113886,52113670
55PE00183,55114457,52113685,47112462
55PE00184,55114458,53113837,51113475
55PE00185,55114459,53113975,49112782
55PE00186,55114460,51113446,51113577
55PE00187,55114461,52113685,51113538
55PE00188,55114462,47910107,50113262
55PE00189,55114463,53113837,51113468
55PE00190,55114464,53113837,51113468
55PE00191,55114465,52113643,51113315
55PE00192,55114466,52113643,51113315
55PE00193,55114467,51113302,49112913
55PE00194,55114468,51113302,49112913
55PE00195,55114469,47910107,52113719
55PE00196,55114470,47910107,52113719
55PE00197,55114471,53113865,53113950
55PE00198,55114472,53113795,51113413
55PE00199,55114473,53113795,51113413
55PE00200,55114474,47910107,50113256
55PE00201,55114475,51113302,53113940
55PE00202,55114476,51113302,48112522
55PE00203,55114477,52113685,53113926
55PE00204,55114478,52113685,51113537
55PE00205,55114479,51113302,51113316
55PE00206,55114480,51113302,51113316
55PE00207,55114481,47910107,49112854
55PE00208,55114482,47910107,49112854
55PE00209,55114483,52113643,49112924
55PE00210,55114484,47910107,49112959
55PE00211,55114485,53113837,51113306
55PE00212,55114486,53113837,51113306
55PE00213,55114487,53113865,48112639
55PE00214,55114488,53113865,48112639
55PE00215,55114489,53113868,50113140
55PE00216,55114490,53113868,50113140
55PE00217,55114491,47910107,49112920
55PE00218,55114492,53113856,49112995
55PE00219,55114493,51113302,47112418
55PE00220,55114494,52113685,47112228
55PE00221,55114495,53113865,51113495
55PE00222,55114496,53113925,50113090
55PE00223,55114497,52113643,53113801
55PE00224,55114498,53113856,53113903
