UID,LAMB,SIRE,DAM
89PE00001,89033334,87031509,88032496
89PE00002,89033335,87031509,88032496
89PE00003,89033336,87031509,88032002
89PE00004,89033337,87031509,88032002
89PE00005,89033338,87031206,88031922
89PE00006,89033339,87031206,88031922
89PE00007,89033340,87031206,88032259
89PE00008,89033341,87031233,88032185
89PE00009,89033342,87031244,88032162
89PE00010,89033343,87031244,88031875
89PE00011,89033344,87031244,88031875
89PE00012,89033345,87031244,88032407
89PE00013,89033346,87031244,88032407
89PE00014,89033347,87031347,88032270
89PE00015,89033348,87031347,88032270
89PE00016,89033349,87031244,88032103
89PE00017,89033350,87031244,88032103
89PE00018,89033351,87031509,88032223
89PE00019,89033352,87031509,88031903
89PE00020,89033353,87031509,88031903
89PE00021,89033354,87031509,88031908
89PE00022,89033355,87031509,88031908
89PE00023,89033356,87031244,88032348
89PE00024,89033357,87031509,88032237
89PE00025,89033358,87031509,88032237
89PE00026,89033359,87031206,88032177
89PE00027,89033360,87031244,88032312
89PE00028,89033361,87031244,88032312
89PE00029,89033362,87031244,88032261
89PE00030,89033363,87031509,88032417
89PE00031,89033364,87031244,88031977
89PE00032,89033365,87031509,88032301
89PE00033,89033366,87031509,88031973
89PE00034,89033367,87031347,88032061
89PE00035,89033368,87031347,88032534
89PE00036,89033369,87031347,88032534
89PE00037,89033370,87031509,88032170
89PE00038,89033371,87031347,88031957
89PE00039,89033372,87031509,88032095
89PE00040,89033373,87031244,88032007
89PE00041,89033374,87031509,88032088
89PE00042,89033375,87031509,88032088
89PE00043,89033376,87031233,88031874
89PE00044,89033377,87031206,88032079
89PE00045,89033378,87031233,88032199
89PE00046,89033379,87031233,88032199
89PE00047,89033380,87031347,88031886
89PE00048,89033381,87031206,88032236
89PE00049,89033382,87031206,88032141
89PE00050,89033383,87031206,88032142
89PE00051,89033384,87031206,88032142
89PE00052,89033385,87031347,88032035
89PE00053,89033386,87031347,88032174
89PE00054,89033387,87031347,88032174
89PE00055,89033388,87031347,88032482
89PE00056,89033389,87031233,88031906
89PE00057,89033390,87031233,88032056
89PE00058,89033391,87031233,88032056
89PE00059,89033392,87031233,88032056
89PE00060,89033393,87031233,88032428
89PE00061,89033394,87031233,88032428
89PE00062,89033395,87031206,88032462
89PE00063,89033396,87031206,88032510
89PE00064,89033397,87031509,88031877
89PE00065,89033398,87031509,88031877
89PE00066,89033399,87031509,88032152
89PE00067,89033400,87031233,88032099
89PE00068,89033401,87031233,88032099
89PE00069,89033402,87031233,88032379
89PE00070,89033403,87031233,88032379
89PE00071,89033404,87031347,88032020
89PE00072,89033405,87031347,88032020
89PE00073,89033406,87031233,88031983
89PE00074,89033407,87031206,88031941
89PE00075,89033408,87031509,88032198
89PE00076,89033409,87031509,88032198
89PE00077,89033410,87031347,88032160
89PE00078,89033411,87031347,88032160
89PE00079,89033412,87031509,88032455
89PE00080,89033413,87031244,88032460
89PE00081,89033414,87031347,88032248
89PE00082,89033415,87031206,88032350
89PE00083,89033416,87031244,88031984
89PE00084,89033417,87031509,88032184
89PE00085,89033418,87031509,88032184
