UID,LAMBID,SIREID,DAMID,ID10,STM,SIRE4,DAM4
EEPE00080,1950113120,1947112296,1948112636,1950113120,07,2296,2636
EEPE00081,1950113121,1947112232,1945111745,1950113121,07,2232,1745
EEPE00082,1950113122,1947112232,1945111745,1950113122,07,2232,1745
EEPE00083,1950113123,1947112296,1946111982,1950113123,07,2296,1982
EEPE00084,1950113124,1947910106,1947112276,1950113124,07,0106,2276
EEPE00085,1950113125,1947112296,1948112520,1950113125,07,2296,2520
EEPE00086,1950113126,1948112740,1947112348,1950113126,07,2740,2348
EEPE00087,1950113127,1948910110,1945111711,1950113127,07,0110,1711
EEPE00088,1950113128,1947910107,1947112473,1950113128,07,0107,2473
EEPE00089,1950113129,1947112232,1948112550,1950113129,07,2232,2550
EEPE00090,1950113130,1947112232,1948112649,1950113130,07,2232,2649
EEPE00091,1950113131,1947112296,1944111527,1950113131,07,2296,1527
EEPE00092,1950113132,1947112296,1946112037,1950113132,07,2296,2037
EEPE00093,1950113133,1948910110,1947112237,1950113133,07,0110,2237
EEPE00094,1950113134,1947112232,1948112510,1950113134,07,2232,2510
EEPE00095,1950113135,1948910110,1948112721,1950113135,07,0110,2721
EEPE00096,1950113136,1947910106,1944111499,1950113136,07,0106,1499
EEPE00097,1950113137,1947112377,1944111546,1950113137,07,2377,1546
EEPE00098,1950113138,1947910107,1948112590,1950113138,07,0107,2590
EEPE00099,1950113139,1948112531,1945111704,1950113139,07,2531,1704
EEPE00100,1950113140,1947112232,1948112726,1950113140,07,2232,2726
EEPE00101,1950113141,1947910106,1948112543,1950113141,07,0106,2543
EEPE00102,1950113142,1948910110,1948112709,1950113142,07,0110,2709
EEPE00103,1950113143,1947112296,1943111191,1950113143,07,2296,1191
EEPE00104,1950113144,1947910106,1947112482,1950113144,07,0106,2482
EEPE00105,1950113145,1948112594,1947112398,1950113145,07,2594,2398
EEPE00106,1950113146,1947112232,1946112153,1950113146,07,2232,2153
EEPE00107,1950113147,1947112232,1946112153,1950113147,07,2232,2153
EEPE00108,1950113148,1947910106,1947112439,1950113148,07,0106,2439
EEPE00109,1950113149,1948910110,1946112127,1950113149,07,0110,2127
EEPE00110,1950113150,1948910110,1946112127,1950113150,07,0110,2127
EEPE00111,1950113151,1947112232,1946112102,1950113151,07,2232,2102
EEPE00112,1950113152,1947112232,1946112102,1950113152,07,2232,2102
EEPE00113,1950113153,1948910110,1946111979,1950113153,07,0110,1979
EEPE00114,1950113154,1947112296,1945111682,1950113154,07,2296,1682
EEPE00115,1950113155,1948112740,1943111373,1950113155,07,2740,1373
EEPE00116,1950113156,1947910106,1947112397,1950113156,07,0106,2397
EEPE00117,1950113157,1947910106,1947112397,1950113157,07,0106,2397
EEPE00118,1950113158,1947112232,1947112470,1950113158,07,2232,2470
EEPE00119,1950113159,1947112232,1948112626,1950113159,07,2232,2626
EEPE00120,1950113160,1948112656,1948112545,1950113160,07,2656,2545
EEPE00121,1950113161,1947910107,1942110906,1950113161,07,0107,0906
EEPE00122,1950113162,1947112232,1948112715,1950113162,07,2232,2715
EEPE00123,1950113163,1948112531,1946112088,1950113163,07,2531,2088
EEPE00124,1950113164,1948112594,1948112555,1950113164,07,2594,2555
EEPE00125,1950113165,1948910110,1947112365,1950113165,07,0110,2365
EEPE00126,1950113166,1947910106,1946111949,1950113166,07,0106,1949
EEPE00127,1950113167,1947910106,1946111949,1950113167,07,0106,1949
EEPE00128,1950113168,1948112744,1945111775,1950113168,07,2744,1775
EEPE00129,1950113169,1948112656,1948112527,1950113169,07,2656,2527
EEPE00130,1950113170,1948112531,1945111727,1950113170,07,2531,1727
EEPE00131,1950113171,1948112740,1945111661,1950113171,07,2740,1661
EEPE00132,1950113172,1947112296,1947112242,1950113172,07,2296,2242
EEPE00133,1950113173,1948112531,1947112384,1950113173,07,2531,2384
EEPE00134,1950113174,1947112377,1944111517,1950113174,07,2377,1517
EEPE00135,1950113175,1947112232,1944111431,1950113175,07,2232,1431
EEPE00136,1950113176,1947112232,1944111431,1950113176,07,2232,1431
EEPE00137,1950113177,1947112232,1948112714,1950113177,07,2232,2714
EEPE00138,1950113178,1947910106,1947112306,1950113178,07,0106,2306
EEPE00139,1950113179,1947112232,1945111692,1950113179,07,2232,1692
EEPE00140,1950113180,1948112531,1948112651,1950113180,07,2531,2651
EEPE00141,1950113181,1947910106,1948112584,1950113181,07,0106,2584
EEPE00142,1950113182,1947910107,1947112428,1950113182,07,0107,2428
EEPE00143,1950113183,1948112740,1947112417,1950113183,07,2740,2417
EEPE00144,1950113184,1947112377,1945111874,1950113184,07,2377,1874
EEPE00145,1950113185,1947112377,1948112540,1950113185,07,2377,2540
EEPE00146,1950113186,1948112744,1946112003,1950113186,07,2744,2003
EEPE00147,1950113187,1948910110,1946112020,1950113187,07,0110,2020
EEPE00148,1950113188,1948910110,1946112020,1950113188,07,0110,2020
EEPE00149,1950113189,1947910107,1947112462,1950113189,07,0107,2462
EEPE00150,1950113190,1948112531,1947112451,1950113190,07,2531,2451
EEPE00151,1950113191,1948910110,1943111211,1950113191,07,0110,1211
EEPE00152,1950113192,1948112744,1945111860,1950113192,07,2744,1860
EEPE00153,1950113193,1948910110,1945111701,1950113193,07,0110,1701
EEPE00154,1950113194,1948910110,1946112021,1950113194,07,0110,2021
EEPE00155,1950113195,1947112232,1948112585,1950113195,07,2232,2585
EEPE00156,1950113196,1947112232,1948112585,1950113196,07,2232,2585
EEPE00157,1950113197,1947112377,1946112186,1950113197,07,2377,2186
EEPE00158,1950113198,1947112377,1946112186,1950113198,07,2377,2186
EEPE00159,1950113199,1948112531,1948112579,1950113199,07,2531,2579
EEPE00160,1950113200,1947112377,1947112446,1950113200,07,2377,2446
EEPE00161,1950113201,1948112531,1945111898,1950113201,07,2531,1898
EEPE00162,1950113202,1948112531,1947112267,1950113202,07,2531,2267
EEPE00163,1950113203,1947112232,1945111755,1950113203,07,2232,1755
EEPE00164,1950113204,1947112232,1945111828,1950113204,07,2232,1828
EEPE00165,1950113205,1948112531,1945111903,1950113205,07,2531,1903
EEPE00166,1950113206,1948112594,1947112434,1950113206,07,2594,2434
EEPE00167,1950113207,1948910110,1947112386,1950113207,07,0110,2386
EEPE00168,1950113208,1947112296,1948112560,1950113208,07,2296,2560
EEPE00169,1950113209,1947112296,1948112560,1950113209,07,2296,2560
EEPE00170,1950113210,1947910107,1946112207,1950113210,07,0107,2207
EEPE00171,1950113211,1947910107,1946112207,1950113211,07,0107,2207
EEPE00172,1950113212,1947112296,1948112711,1950113212,07,2296,2711
EEPE00173,1950113213,1947112296,1944111537,1950113213,07,2296,1537
EEPE00174,1950113214,1947112296,1946112107,1950113214,07,2296,2107
EEPE00175,1950113215,1947910107,1948112554,1950113215,07,0107,2554
EEPE00176,1950113216,1947112232,1945111827,1950113216,07,2232,1827
EEPE00177,1950113217,1947112296,1942110868,1950113217,07,2296,0868
EEPE00178,1950113218,1947112296,1942110868,1950113218,07,2296,0868
EEPE00179,1950113219,1948112531,1947112238,1950113219,07,2531,2238
EEPE00180,1950113220,1947112296,1947112219,1950113220,07,2296,2219
EEPE00181,1950113221,1947112296,1945111820,1950113221,07,2296,1820
EEPE00182,1950113222,1948112740,1947112455,1950113222,07,2740,2455
EEPE00183,1950113223,1947112232,1948112523,1950113223,07,2232,2523
EEPE00184,1950113224,1947112377,1946111929,1950113224,07,2377,1929
EEPE00185,1950113225,1947112232,1943111173,1950113225,07,2232,1173
EEPE00186,1950113226,1947112232,1943111173,1950113226,07,2232,1173
EEPE00187,1950113227,1947112232,1945111838,1950113227,07,2232,1838
EEPE00188,1950113228,1947112232,1945111838,1950113228,07,2232,1838
EEPE00189,1950113229,1947112296,1947112229,1950113229,07,2296,2229
EEPE00190,1950113230,1947112232,1945111771,1950113230,07,2232,1771
EEPE00191,1950113231,1947112232,1946112173,1950113231,07,2232,2173
EEPE00192,1950113232,1947112232,1946112173,1950113232,07,2232,2173
EEPE00193,1950113233,1947112232,1947112407,1950113233,07,2232,2407
EEPE00194,1950113234,1947112232,1946112036,1950113234,07,2232,2036
EEPE00195,1950113235,1947910107,1948112603,1950113235,07,0107,2603
EEPE00196,1950113236,1947910106,1948112640,1950113236,07,0106,2640
EEPE00197,1950113237,1947910107,1942111054,1950113237,07,0107,1054
EEPE00198,1950113238,1947910107,1942111054,1950113238,07,0107,1054
EEPE00199,1950113239,1947112232,1945111744,1950113239,07,2232,1744
EEPE00200,1950113240,1947112232,1945111744,1950113240,07,2232,1744
EEPE00201,1950113241,1947112296,1947112410,1950113241,07,2296,2410
EEPE00202,1950113242,1947112232,1947112220,1950113242,07,2232,2220
EEPE00203,1950113243,1947112232,1947112220,1950113243,07,2232,2220
EEPE00204,1950113244,1947112232,1944111616,1950113244,07,2232,1616
EEPE00205,1950113245,1947910107,1948112514,1950113245,07,0107,2514
EEPE00206,1950113246,1948112744,1943111225,1950113246,07,2744,1225
EEPE00207,1950113247,1947112296,1943111333,1950113247,07,2296,1333
EEPE00208,1950113248,1947112296,1943111333,1950113248,07,2296,1333
EEPE00209,1950113249,1947112296,1944111609,1950113249,07,2296,1609
EEPE00210,1950113250,1947910106,1947112243,1950113250,07,0106,2243
EEPE00211,1950113251,1948910110,1948112687,1950113251,07,0110,2687
EEPE00212,1950113252,1947910107,1944111630,1950113252,07,0107,1630
EEPE00213,1950113253,1947910107,1944111630,1950113253,07,0107,1630
EEPE00214,1950113254,1948112740,1944111409,1950113254,07,2740,1409
EEPE00215,1950113255,1947910107,1947112253,1950113255,07,0107,2253
EEPE00216,1950113256,1947910107,1946111935,1950113256,07,0107,1935
EEPE00217,1950113257,1947112296,1945111718,1950113257,07,2296,1718
EEPE00218,1950113258,1948910110,1942110962,1950113258,07,0110,0962
EEPE00219,1950113259,1948910110,1942110962,1950113259,07,0110,0962
EEPE00220,1950113260,1948112594,1942111084,1950113260,07,2594,1084
EEPE00221,1950113261,1948112594,1942111084,1950113261,07,2594,1084
EEPE00222,1950113262,1947910107,1947112261,1950113262,07,0107,2261
EEPE00223,1950113263,1947112377,1945111876,1950113263,07,2377,1876
EEPE00224,1950113264,1947112377,1945111876,1950113264,07,2377,1876
EEPE00225,1950113265,1948112531,1947112441,1950113265,07,2531,2441
EEPE00226,1950113266,1947910106,1947112338,1950113266,07,0106,2338
EEPE00227,1950113267,1947112232,1948112551,1950113267,07,2232,2551
EEPE00228,1950113268,1947910107,1943111298,1950113268,07,0107,1298
EEPE00229,1950113269,1947910107,1943111298,1950113269,07,0107,1298
EEPE00230,1950113270,1948112531,1946112131,1950113270,07,2531,2131
EEPE00231,1950113271,1947112296,1948112678,1950113271,07,2296,2678
EEPE00232,1950113272,1947112296,1946112146,1950113272,07,2296,2146
EEPE00233,1950113273,1948112594,1945111896,1950113273,07,2594,1896
EEPE00234,1950113274,1948910110,1944111604,1950113274,07,0110,1604
EEPE00235,1950113275,1948910110,1944111604,1950113275,07,0110,1604
EEPE00236,1950113276,1948112531,1944111486,1950113276,07,2531,1486
EEPE00237,1950113277,1948112744,1948112580,1950113277,07,2744,2580
EEPE00238,1950113278,1947112232,1943111229,1950113278,07,2232,1229
EEPE00239,1950113279,1947910106,1944111578,1950113279,07,0106,1578
EEPE00240,1950113280,1947910107,1945111901,1950113280,07,0107,1901
EEPE00241,1950113281,1948910110,1945111713,1950113281,07,0110,1713
EEPE00242,1950113282,1947910106,1948112738,1950113282,07,0106,2738
EEPE00243,1950113283,1947910106,1948112620,1950113283,07,0106,2620
EEPE00244,1950113284,1948112531,1948112756,1950113284,07,2531,2756
EEPE00245,1950113285,1947112377,1946112061,1950113285,07,2377,2061
EEPE00246,1950113286,1947112377,1946112061,1950113286,07,2377,2061
EEPE00247,1950113287,1948112744,1947112342,1950113287,07,2744,2342
EEPE00248,1950113288,1947112377,1947112277,1950113288,07,2377,2277
EEPE00249,1950113289,1948112744,1948112568,1950113289,07,2744,2568
EEPE00250,1950113290,1947112377,1947112277,1950113290,07,2377,2277
EEPE00251,1950130732,1947910109,1948139195,1950130732,07,0109,9195
EEPE00252,1950130733,         0,1946138287,1950130733,00,   0,8287
EEPE00253,1950130734,1948139432,1946138142,1950130734,07,9432,8142
EEPE00254,1950130735,1947112377,1947138617,1950130735,07,2377,8617
EEPE00255,1950130736,1948139270,1944136395,1950130736,07,9270,6395
EEPE00256,1950130737,1947138889,1948139682,1950130737,07,8889,9682
EEPE00257,1950130738,1948139360,1948139885,1950130738,07,9360,9885
EEPE00258,1950130739,1948139360,1947138702,1950130739,07,9360,8702
EEPE00259,1950130740,1947138697,1944136955,1950130740,07,8697,6955
EEPE00260,1950130741,1949130271,1948139810,1950130741,07,0271,9810
EEPE00261,1950130742,1947112377,1944136871,1950130742,07,2377,6871
EEPE00262,1950130743,1947138959,1948139368,1950130743,07,8959,9368
EEPE00263,1950130744,1948139589,1948139643,1950130744,07,9589,9643
EEPE00264,1950130745,1947138560,1947138875,1950130745,07,8560,8875
EEPE00265,1950130746,1947910109,1942135292,1950130746,07,0109,5292
EEPE00266,1950130747,1947910109,1942135292,1950130747,07,0109,5292
EEPE00267,1950130748,1948139644,1946138319,1950130748,07,9644,8319
EEPE00268,1950130749,1947910109,1948139686,1950130749,07,0109,9686
EEPE00269,1950130750,         0,1948139712,1950130750,00,   0,9712
EEPE00270,1950130751,1947910109,1948139217,1950130751,07,0109,9217
EEPE00271,1950130752,1947138560,1948139447,1950130752,07,8560,9447
EEPE00272,1950130753,1947138560,1945137267,1950130753,07,8560,7267
EEPE00273,1950130754,1947138560,1945137267,1950130754,07,8560,7267
EEPE00274,1950130755,1947138560,1944136329,1950130755,07,8560,6329
EEPE00275,1950130756,1947138560,1944136329,1950130756,07,8560,6329
EEPE00276,1950130757,1947139035,1945137180,1950130757,07,9035,7180
EEPE00277,1950130758,1947112377,1946137831,1950130758,07,2377,7831
EEPE00278,1950130759,1948112594,1943135630,1950130759,07,2594,5630
EEPE00279,1950130760,         0,1943135905,1950130760,00,   0,5905
EEPE00280,1950130761,1947138697,1944136630,1950130761,07,8697,6630
EEPE00281,1950130762,1947138697,1944136630,1950130762,07,8697,6630
EEPE00282,1950130763,1948139777,1947138690,1950130763,07,9777,8690
EEPE00283,1950130764,1947139015,1948139604,1950130764,07,9015,9604
