UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
07PE00064,07,05,H2988,64,K3073,04,A8380,33,2007052988,2004643073,2001048380
07PE00065,07,05,H2989,64,K3073,04,A8380,33,2007052989,2004643073,2001048380
07PE00066,07,05,H2990,64,K3500,05,H0640,33,2007052990,2005643500,2003050640
07PE00067,07,05,H2991,64,K3500,05,H0640,33,2007052991,2005643500,2003050640
07PE00068,07,05,H2992,64,K3500,05,H0640,33,2007052992,2005643500,2003050640
07PE00069,07,05,H2993,05,H2022,05,H2516,30,2007052993,2005052022,2006052516
07PE00070,07,05,H2994,05,H2022,05,H2516,30,2007052994,2005052022,2006052516
07PE00071,07,05,H2995,05,H2022,05,H2355,30,2007052995,2005052022,2006052355
07PE00072,07,05,H2996,05,H2022,05,H2355,30,2007052996,2005052022,2006052355
07PE00073,07,05,H2997,05,H1611,05,H2263,30,2007052997,2005051611,2006052263
07PE00074,07,05,H2998,64,K3073,05,H0912,33,2007052998,2004643073,2004050912
07PE00075,07,05,H2999,05,H1611,05,H2253,30,2007052999,2005051611,2006052253
07PE00076,07,05,H3000,05,H1611,05,H2230,30,2007053000,2005051611,2006052230
07PE00077,07,05,H3001,05,H1914,05,H1787,30,2007053001,2005051914,2005051787
07PE00078,07,05,H3002,05,H1914,05,H1787,30,2007053002,2005051914,2005051787
07PE00079,07,05,H3003,64,K3500,04,A9034,33,2007053003,2005643500,2002049034
07PE00080,07,05,H3004,64,K3500,04,A9034,33,2007053004,2005643500,2002049034
07PE00081,07,05,H3005,64,K3500,04,A9034,33,2007053005,2005643500,2002049034
07PE00082,07,05,H3006,05,H1159,05,H1367,30,2007053006,2004051159,2004051367
07PE00083,07,05,H3007,05,H1159,05,H1367,30,2007053007,2004051159,2004051367
07PE00084,07,05,H3008,05,H0471,05,H1187,30,2007053008,2003050471,2004051187
07PE00085,07,05,H3009,05,H0471,05,H1187,30,2007053009,2003050471,2004051187
07PE00086,07,05,H3010,05,H2022,05,H2219,30,2007053010,2005052022,2006052219
07PE00087,07,05,H3011,05,H2022,05,H2219,30,2007053011,2005052022,2006052219
07PE00088,07,05,H3012,05,H1611,05,H2380,30,2007053012,2005051611,2006052380
07PE00089,07,05,H3013,05,H1611,05,H2380,30,2007053013,2005051611,2006052380
