UID,LAMBID,SIREID,DAMID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM
02PE00068,102048960, 99046925,101048680,02,04,A8960,04,A6925,04,A8680,30
02PE00069,102048961,100816945,101048319,02,04,A8961,81,Z6945,04,A8319,80
02PE00070,102048962,100816945,101048319,02,04,A8962,81,Z6945,04,A8319,80
02PE00071,102048963, 99046501, 99046678,02,04,A8963,04,A6501,04,A6678,30
02PE00072,102048964, 99046501, 99046678,02,04,A8964,04,A6501,04,A6678,30
02PE00073,102048965, 99046501, 99046678,02,04,A8965,04,A6501,04,A6678,30
02PE00074,102048966,100047355,100047369,02,04,A8966,04,A7355,04,A7369,30
02PE00075,102048967,100047355,100047369,02,04,A8967,04,A7355,04,A7369,30
02PE00076,102048968, 99046761,101048157,02,04,A8968,04,A6761,04,A8157,73
02PE00077,102048969,100816945,101048515,02,04,A8969,81,Z6945,04,A8515,80
02PE00078,102048970,100816945,101048515,02,04,A8970,81,Z6945,04,A8515,80
02PE00079,102048971, 97044142,101048268,02,04,A8971,04,A4142,04,A8268,72
02PE00080,102048972, 97044142,101048268,02,04,A8972,04,A4142,04,A8268,72
02PE00081,102048973, 97044142,101048268,02,04,A8973,04,A4142,04,A8268,72
02PE00082,102048974, 99046761,101048299,02,04,A8974,04,A6761,04,A8299,80
02PE00083,102048975, 99046563,101048174,02,04,A8975,04,A6563,04,A8174,73
02PE00084,102048976, 99046563,101048174,02,04,A8976,04,A6563,04,A8174,73
02PE00085,102048977, 99046827,101048685,02,04,A8977,04,A6827,04,A8685,30
02PE00086,102048978, 99046827,101048685,02,04,A8978,04,A6827,04,A8685,30
02PE00087,102048979, 99046563,101048407,02,04,A8979,04,A6563,04,A8407,73
02PE00088,102048980, 97044142,101048616,02,04,A8980,04,A4142,04,A8616,72
02PE00089,102048981,100816945,101048673,02,04,A8981,81,Z6945,04,A8673,80
02PE00090,102048982,100816945,101048673,02,04,A8982,81,Z6945,04,A8673,80
02PE00091,102048983, 99046642,101048294,02,04,A8983,04,A6642,04,A8294,30
02PE00092,102048984, 99046827,101048863,02,04,A8984,04,A6827,04,A8863,30
02PE00093,102048985, 99046934, 97814375,02,04,A8985,04,A6934,81,Z4375,80
02PE00094,102048986,100047882,100047866,02,04,A8986,04,A7882,04,A7866,30
02PE00095,102048987, 99046501,100047313,02,04,A8987,04,A6501,04,A7313,30
02PE00096,102048988, 99046501,100047313,02,04,A8988,04,A6501,04,A7313,30
02PE00097,102048989, 99046761,101048236,02,04,A8989,04,A6761,04,A8236,30
02PE00098,102048990, 99046761,101048443,02,04,A8990,04,A6761,04,A8443,30
02PE00099,102048991, 99046761,101048443,02,04,A8991,04,A6761,04,A8443,30
02PE00100,102048992,100816945,101048493,02,04,A8992,81,Z6945,04,A8493,80
02PE00101,102048993,100816945,101048493,02,04,A8993,81,Z6945,04,A8493,80
02PE00102,102048994,100047506, 95041927,02,04,A8994,04,A7506,04,A1927,30
02PE00103,102048995,100047506, 95041927,02,04,A8995,04,A7506,04,A1927,30
02PE00104,102048996, 99046563,101817083,02,04,A8996,04,A6563,81,Z7083,80
02PE00105,102048997, 99046563,101817083,02,04,A8997,04,A6563,81,Z7083,80
02PE00106,102048998, 99046501, 99090121,02,04,A8998,04,A6501,09,90121,30
02PE00107,102048999, 99046501, 99090121,02,04,A8999,04,A6501,09,90121,30
02PE00108,102049000, 99046642,101817253,02,04,A9000,04,A6642,81,Z7253,80
02PE00109,102049001, 99046642,101817253,02,04,A9001,04,A6642,81,Z7253,80
02PE00110,102049002, 99046827,101048500,02,04,A9002,04,A6827,04,A8500,30
02PE00111,102049003, 99046827,101048500,02,04,A9003,04,A6827,04,A8500,30
02PE00112,102049004, 97044142,101048396,02,04,A9004,04,A4142,04,A8396,72
02PE00113,102049005, 97044142,101048396,02,04,A9005,04,A4142,04,A8396,72
02PE00114,102049006, 99046642,101048181,02,04,A9006,04,A6642,04,A8181,80
02PE00115,102049007, 99046642,101048181,02,04,A9007,04,A6642,04,A8181,80
02PE00116,102049008, 97044203,101048780,02,04,A9008,04,A4203,04,A8780,72
02PE00117,102049009, 97044203,101048780,02,04,A9009,04,A4203,04,A8780,72
02PE00118,102049010, 99046563,101048439,02,04,A9010,04,A6563,04,A8439,30
02PE00119,102049011, 99046563,101048439,02,04,A9011,04,A6563,04,A8439,30
02PE00120,102049012,100816925,101048414,02,04,A9012,81,Z6925,04,A8414,80
02PE00121,102049013, 99046761,101048172,02,04,A9013,04,A6761,04,A8172,30
02PE00122,102049014, 99046761,101048172,02,04,A9014,04,A6761,04,A8172,30
02PE00123,102049015,100047105, 98045103,02,04,A9015,04,A7105,04,A5103,30
02PE00124,102049016, 99046529, 97044129,02,04,A9016,04,A6529,04,A4129,30
02PE00125,102049017, 99046529, 97044129,02,04,A9017,04,A6529,04,A4129,30
02PE00126,102049018, 99046529, 97044129,02,04,A9018,04,A6529,04,A4129,30
02PE00127,102049019, 99046501, 99091174,02,04,A9019,04,A6501,09,91174,30
02PE00128,102049020, 99046501, 99091174,02,04,A9020,04,A6501,09,91174,30
02PE00129,102049021, 99046998, 97044211,02,04,A9021,04,A6998,04,A4211,72
02PE00130,102049022, 99046998, 97044211,02,04,A9022,04,A6998,04,A4211,72
02PE00131,102049023, 99046501, 98045776,02,04,A9023,04,A6501,04,A5776,30
02PE00132,102049024, 99046501, 98045776,02,04,A9024,04,A6501,04,A5776,30
02PE00133,102049025, 99046501, 98045776,02,04,A9025,04,A6501,04,A5776,30
02PE00134,102049026, 99046641, 97044756,02,04,A9026,04,A6641,04,A4756,30
02PE00135,102049027,100047133, 99046211,02,04,A9027,04,A7133,04,A6211,30
02PE00136,102049029, 99046563,101817240,02,04,A9029,04,A6563,81,Z7240,80
02PE00137,102049030, 99046563,101817240,02,04,A9030,04,A6563,81,Z7240,80
02PE00138,102049031, 99046501, 96043969,02,04,A9031,04,A6501,04,A3969,30
02PE00139,102049032, 99046501, 96043969,02,04,A9032,04,A6501,04,A3969,30
02PE00140,102049033, 99046501, 96043969,02,04,A9033,04,A6501,04,A3969,30
02PE00141,102049034, 99046761,101048578,02,04,A9034,04,A6761,04,A8578,30
02PE00142,102049035,100047882, 99046341,02,04,A9035,04,A7882,04,A6341,30
02PE00143,102049036, 99046641, 99090059,02,04,A9036,04,A6641,09,90059,30
02PE00144,102049037, 99046641, 99090059,02,04,A9037,04,A6641,09,90059,30
02PE00145,102049038, 99046641, 99090059,02,04,A9038,04,A6641,09,90059,30
02PE00146,102049039,100047506, 96042884,02,04,A9039,04,A7506,04,A2884,30
02PE00147,102049040,100047506, 96042884,02,04,A9040,04,A7506,04,A2884,30
02PE00148,102049041,100047506, 96042884,02,04,A9041,04,A7506,04,A2884,30
02PE00149,102049042, 97044142,101048528,02,04,A9042,04,A4142,04,A8528,72
02PE00150,102049043,100047355, 99046419,02,04,A9043,04,A7355,04,A6419,30
02PE00151,102049044,100047355, 99046419,02,04,A9044,04,A7355,04,A6419,30
02PE00152,102049045,100047882, 99046542,02,04,A9045,04,A7882,04,A6542,30
02PE00153,102049046,100047882, 99046542,02,04,A9046,04,A7882,04,A6542,30
02PE00154,102049047, 99046998, 97044740,02,04,A9047,04,A6998,04,A4740,30
02PE00155,102049048, 99046998, 97044740,02,04,A9048,04,A6998,04,A4740,30
02PE00156,102049049, 97044142,101048362,02,04,A9049,04,A4142,04,A8362,72
02PE00157,102049050, 97044142,101048362,02,04,A9050,04,A4142,04,A8362,72
02PE00158,102049051, 99046827,101048531,02,04,A9051,04,A6827,04,A8531,30
02PE00159,102049052, 99046827,101048531,02,04,A9052,04,A6827,04,A8531,30
02PE00160,102049053, 99046501,100000657,02,04,A9053,04,A6501,00,00657,30
02PE00161,102049054, 99046501,100000657,02,04,A9054,04,A6501,00,00657,30
02PE00162,102049055,100047882, 97044453,02,04,A9055,04,A7882,04,A4453,30
02PE00163,102049056,100047882, 97044453,02,04,A9056,04,A7882,04,A4453,30
02PE00164,102049057,100047882, 97044453,02,04,A9057,04,A7882,04,A4453,30
02PE00165,102049058,100047355, 97044258,02,04,A9058,04,A7355,04,A4258,72
02PE00166,102049059,100047355, 97044258,02,04,A9059,04,A7355,04,A4258,72
02PE00167,102049060, 99046563,101048199,02,04,A9060,04,A6563,04,A8199,73
02PE00168,102049061, 99046563,101048199,02,04,A9061,04,A6563,04,A8199,73
02PE00169,102049062, 99046641, 98008727,02,04,A9062,04,A6641,00, 8727,30
02PE00170,102049063, 99046641, 98008727,02,04,A9063,04,A6641,00, 8727,30
02PE00171,102049064,100047598, 96043546,02,04,A9064,04,A7598,04,A3546,30
02PE00172,102049065,100047598, 96043546,02,04,A9065,04,A7598,04,A3546,30
02PE00173,102049066,100047598,100047236,02,04,A9066,04,A7598,04,A7236,30
02PE00174,102049067, 99046641, 97814592,02,04,A9067,04,A6641,81,Z4592,80
02PE00175,102049068, 99046641, 97814592,02,04,A9068,04,A6641,81,Z4592,80
02PE00176,102049069, 99046641, 97814592,02,04,A9069,04,A6641,81,Z4592,80
02PE00177,102049070,100047355, 96043481,02,04,A9070,04,A7355,04,A3481,30
02PE00178,102049071,100047355, 96043481,02,04,A9071,04,A7355,04,A3481,30
02PE00179,102049072,100047355, 96043481,02,04,A9072,04,A7355,04,A3481,30
02PE00180,102049073, 99046501, 99090791,02,04,A9073,04,A6501,09,90791,30
02PE00181,102049074, 99046501, 99090791,02,04,A9074,04,A6501,09,90791,30
02PE00182,102049075,100047302,100047214,02,04,A9075,04,A7302,04,A7214,30
02PE00183,102049076, 99046934,100047371,02,04,A9076,04,A6934,04,A7371,30
02PE00184,102049077, 99046934,100047371,02,04,A9077,04,A6934,04,A7371,30
02PE00185,102049078,100047133, 99046212,02,04,A9078,04,A7133,04,A6212,30
02PE00186,102049079,100047133, 99046212,02,04,A9079,04,A7133,04,A6212,30
02PE00187,102049080, 99046501, 97814545,02,04,A9080,04,A6501,81,Z4545,80
02PE00188,102049081, 99046501, 97814545,02,04,A9081,04,A6501,81,Z4545,80
02PE00189,102049082, 99046501, 97814545,02,04,A9082,04,A6501,81,Z4545,80
02PE00190,102049083,100047506,100047265,02,04,A9083,04,A7506,04,A7265,30
02PE00191,102049084,100047506,100047265,02,04,A9084,04,A7506,04,A7265,30
02PE00192,102049085, 99046642,101048277,02,04,A9085,04,A6642,04,A8277,30
02PE00193,102049086, 99046641, 98008202,02,04,A9086,04,A6641,00, 8202,30
02PE00194,102049087, 99046641, 98008202,02,04,A9087,04,A6641,00, 8202,30
02PE00195,102049088, 99046641, 96043708,02,04,A9088,04,A6641,04,A3708,30
02PE00196,102049089, 99046641, 96043708,02,04,A9089,04,A6641,04,A3708,30
02PE00197,102049090, 99046761,101048812,02,04,A9090,04,A6761,04,A8812,30
02PE00198,102049091, 99046761,101048812,02,04,A9091,04,A6761,04,A8812,30
02PE00199,102049092,100047302, 97814396,02,04,A9092,04,A7302,81,Z4396,80
02PE00200,102049093,100047302, 97814396,02,04,A9093,04,A7302,81,Z4396,80
02PE00201,102049094, 99046761,101048692,02,04,A9094,04,A6761,04,A8692,30
02PE00202,102049095, 99046761,101048692,02,04,A9095,04,A6761,04,A8692,30
02PE00203,102049096,100047199, 98045529,02,04,A9096,04,A7199,04,A5529,30
02PE00204,102049097,100047199, 98045529,02,04,A9097,04,A7199,04,A5529,30
02PE00205,102049098, 99046925,101817229,02,04,A9098,04,A6925,81,Z7229,80
02PE00206,102049099,100047355, 97814408,02,04,A9099,04,A7355,81,Z4408,80
02PE00207,102049100,100047355, 97814408,02,04,A9100,04,A7355,81,Z4408,80
02PE00208,102049101,100047355, 97814408,02,04,A9101,04,A7355,81,Z4408,80
02PE00209,102049102,100047401,100047575,02,04,A9102,04,A7401,04,A7575,30
02PE00210,102049103,100047328, 98045160,02,04,A9103,04,A7328,04,A5160,30
02PE00211,102049104,100047328, 98045160,02,04,A9104,04,A7328,04,A5160,30
02PE00212,102049105,100047328, 98045160,02,04,A9105,04,A7328,04,A5160,30
02PE00213,102049106, 99046641, 97044368,02,04,A9106,04,A6641,04,A4368,30
02PE00214,102049107, 99046641, 97044368,02,04,A9107,04,A6641,04,A4368,30
02PE00215,102049108, 99046827,101048595,02,04,A9108,04,A6827,04,A8595,30
02PE00216,102049109, 99046827,101048595,02,04,A9109,04,A6827,04,A8595,30
02PE00217,102049110,100047302, 99046618,02,04,A9110,04,A7302,04,A6618,30
02PE00218,102049111, 99046934, 98045128,02,04,A9111,04,A6934,04,A5128,30
02PE00219,102049112, 99046911,100000102,02,04,A9112,04,A6911,00,00102,30
02PE00220,102049113, 99046911,100000102,02,04,A9113,04,A6911,00,00102,30
02PE00221,102049114, 99046925,101048870,02,04,A9114,04,A6925,04,A8870,30
02PE00222,102049115, 99046925,101048870,02,04,A9115,04,A6925,04,A8870,30
02PE00223,102049116,101048325,100047096,02,04,A9116,04,A8325,04,A7096,30
02PE00224,102049117,101048325,100047096,02,04,A9117,04,A8325,04,A7096,30
02PE00225,102049118,101048325,100047096,02,04,A9118,04,A8325,04,A7096,30
02PE00226,102049119, 99046501, 98045945,02,04,A9119,04,A6501,04,A5945,30
02PE00227,102049120, 99046501, 98045945,02,04,A9120,04,A6501,04,A5945,30
02PE00228,102049121, 99046501, 98045945,02,04,A9121,04,A6501,04,A5945,30
02PE00229,102049122, 99046501, 98045945,02,04,A9122,04,A6501,04,A5945,30
02PE00230,102049123,101048325,100047903,02,04,A9123,04,A8325,04,A7903,30
02PE00231,102049124, 99046911,100047500,02,04,A9124,04,A6911,04,A7500,30
02PE00232,102049125, 99046911,100047500,02,04,A9125,04,A6911,04,A7500,30
02PE00233,102049126, 99046925,101048173,02,04,A9126,04,A6925,04,A8173,73
02PE00234,102049127, 99046925,101048173,02,04,A9127,04,A6925,04,A8173,73
02PE00235,102049128,100047882, 99046854,02,04,A9128,04,A7882,04,A6854,30
02PE00236,102049129, 99046642,101048797,02,04,A9129,04,A6642,04,A8797,30
02PE00237,102049130, 99046501, 97044724,02,04,A9130,04,A6501,04,A4724,30
02PE00238,102049131, 99046501, 97044724,02,04,A9131,04,A6501,04,A4724,30
02PE00239,102049132,101048325, 99090071,02,04,A9132,04,A8325,09,90071,30
02PE00240,102049133,101048325, 99090071,02,04,A9133,04,A8325,09,90071,30
02PE00241,102049134, 99046216, 98045711,02,04,A9134,04,A6216,04,A5711,30
02PE00242,102049135, 99046216, 98045711,02,04,A9135,04,A6216,04,A5711,30
02PE00243,102049136, 97044203,101048670,02,04,A9136,04,A4203,04,A8670,72
02PE00244,102049137, 97044203,101048670,02,04,A9137,04,A4203,04,A8670,72
02PE00245,102049138, 99046642,101048237,02,04,A9138,04,A6642,04,A8237,30
02PE00246,102049139, 99046642,101048237,02,04,A9139,04,A6642,04,A8237,30
02PE00247,102049140, 99046911, 98008595,02,04,A9140,04,A6911,00, 8595,30
02PE00248,102049141, 99046911, 98008595,02,04,A9141,04,A6911,00, 8595,30
02PE00249,102049142, 99046642,101048485,02,04,A9142,04,A6642,04,A8485,30
02PE00250,102049143, 99046642,101048485,02,04,A9143,04,A6642,04,A8485,30
02PE00251,102049144, 99046925,101817338,02,04,A9144,04,A6925,81,Z7338,80
02PE00252,102049145,100047882, 97814385,02,04,A9145,04,A7882,81,Z4385,80
02PE00253,102049146,100047882, 97814385,02,04,A9146,04,A7882,81,Z4385,80
02PE00254,102049147,100047882, 97814385,02,04,A9147,04,A7882,81,Z4385,80
02PE00255,102049148, 99046827,101048178,02,04,A9148,04,A6827,04,A8178,73
02PE00256,102049149,100047882,100047252,02,04,A9149,04,A7882,04,A7252,30
02PE00257,102049150, 99046529, 99091089,02,04,A9150,04,A6529,09,91089,30
02PE00258,102049151, 99046529, 99091089,02,04,A9151,04,A6529,09,91089,30
02PE00259,102049152, 99046911, 99046643,02,04,A9152,04,A6911,04,A6643,30
02PE00260,102049153, 99046911, 99046643,02,04,A9153,04,A6911,04,A6643,30
02PE00261,102049154,100047638, 98045295,02,04,A9154,04,A7638,04,A5295,30
02PE00262,102049155,100047638, 98045295,02,04,A9155,04,A7638,04,A5295,30
02PE00263,102049156,100047302, 96042912,02,04,A9156,04,A7302,04,A2912,30
02PE00264,102049157,100047302, 96042912,02,04,A9157,04,A7302,04,A2912,30
02PE00265,102049158, 99046998, 99090953,02,04,A9158,04,A6998,09,90953,30
02PE00266,102049159,100047882, 99046146,02,04,A9159,04,A7882,04,A6146,30
02PE00267,102049160,100047882, 99046146,02,04,A9160,04,A7882,04,A6146,30
02PE00268,102049161, 99046911, 96043679,02,04,A9161,04,A6911,04,A3679,30
02PE00269,102049162, 99046911, 96043679,02,04,A9162,04,A6911,04,A3679,30
02PE00270,102049163, 97044142,101048658,02,04,A9163,04,A4142,04,A8658,72
02PE00271,102049164, 99046642,101817190,02,04,A9164,04,A6642,81,Z7190,80
02PE00272,102049165, 99046642,101817190,02,04,A9165,04,A6642,81,Z7190,80
02PE00273,102049166, 99046642,101817190,02,04,A9166,04,A6642,81,Z7190,80
02PE00274,102049167,100047199, 99090053,02,04,A9167,04,A7199,09,90053,30
02PE00275,102049168,100047199, 99090053,02,04,A9168,04,A7199,09,90053,30
02PE00276,102049169,100047284, 98045161,02,04,A9169,04,A7284,04,A5161,30
02PE00277,102049170,100047328,100047134,02,04,A9170,04,A7328,04,A7134,30
02PE00278,102049171,100047328,100047134,02,04,A9171,04,A7328,04,A7134,30
02PE00279,102049172, 99046642,101048326,02,04,A9172,04,A6642,04,A8326,30
02PE00280,102049173, 99046642,101048326,02,04,A9173,04,A6642,04,A8326,30
02PE00281,102049174, 97044203,101048393,02,04,A9174,04,A4203,04,A8393,72
02PE00282,102049175, 99046642,101817189,02,04,A9175,04,A6642,81,Z7189,80
02PE00283,102049176, 99046642,101817189,02,04,A9176,04,A6642,81,Z7189,80
02PE00284,102049177,100816945,101048586,02,04,A9177,81,Z6945,04,A8586,80
02PE00285,102049178,100816945,101048586,02,04,A9178,81,Z6945,04,A8586,80
02PE00286,102049179,100047401, 95042024,02,04,A9179,04,A7401,04,A2024,30
02PE00287,102049180,100047401, 95042024,02,04,A9180,04,A7401,04,A2024,30
02PE00288,102049181, 97044203,101048713,02,04,A9181,04,A4203,04,A8713,72
02PE00289,102049182, 97044203,101048713,02,04,A9182,04,A4203,04,A8713,72
02PE00290,102049183, 99046563,101048839,02,04,A9183,04,A6563,04,A8839,30
02PE00291,102049184, 99046563,101048839,02,04,A9184,04,A6563,04,A8839,30
02PE00292,102049185, 99046853, 97044279,02,04,A9185,04,A6853,04,A4279,72
02PE00293,102049186, 99046853, 97044279,02,04,A9186,04,A6853,04,A4279,72
02PE00294,102049187,100047105, 99046825,02,04,A9187,04,A7105,04,A6825,30
02PE00295,102049188,100047105, 99046825,02,04,A9188,04,A7105,04,A6825,30
02PE00296,102049189, 99046998, 96043824,02,04,A9189,04,A6998,04,A3824,30
02PE00297,102049190,100047882,100047230,02,04,A9190,04,A7882,04,A7230,30
02PE00298,102049191,100047882,100047230,02,04,A9191,04,A7882,04,A7230,30
02PE00299,102049192, 97044203,101048767,02,04,A9192,04,A4203,04,A8767,72
02PE00300,102049193, 99046642,101048318,02,04,A9193,04,A6642,04,A8318,30
02PE00301,102049194, 99046642,101048318,02,04,A9194,04,A6642,04,A8318,30
02PE00302,102049195, 99046563,101048311,02,04,A9195,04,A6563,04,A8311,30
02PE00303,102049196, 99046563,101048311,02,04,A9196,04,A6563,04,A8311,30
02PE00304,102049197,100047506, 99046265,02,04,A9197,04,A7506,04,A6265,30
02PE00305,102049198,100047506, 99046265,02,04,A9198,04,A7506,04,A6265,30
02PE00306,102049199,100047506, 99046265,02,04,A9199,04,A7506,04,A6265,30
02PE00307,102049200,100047302,100047681,02,04,A9200,04,A7302,04,A7681,30
02PE00308,102049201,100047302,100047681,02,04,A9201,04,A7302,04,A7681,30
02PE00309,102049202,100047302,100047681,02,04,A9202,04,A7302,04,A7681,30
02PE00310,102049203,100047638,100047908,02,04,A9203,04,A7638,04,A7908,30
02PE00311,102049204,100047638,100047908,02,04,A9204,04,A7638,04,A7908,30
02PE00312,102049205, 99046853, 98045757,02,04,A9205,04,A6853,04,A5757,30
02PE00313,102049206, 99046853, 98045757,02,04,A9206,04,A6853,04,A5757,30
02PE00314,102049207, 99046934, 98045473,02,04,A9207,04,A6934,04,A5473,30
02PE00315,102049208, 99046934, 98045473,02,04,A9208,04,A6934,04,A5473,30
02PE00316,102049209, 99046641, 98045981,02,04,A9209,04,A6641,04,A5981,30
02PE00317,102049210, 99046641, 98045981,02,04,A9210,04,A6641,04,A5981,30
02PE00318,102049211, 99046641, 98045981,02,04,A9211,04,A6641,04,A5981,30
02PE00319,102049212, 99046911, 99090046,02,04,A9212,04,A6911,09,90046,30
02PE00320,102049213, 99046911, 99090046,02,04,A9213,04,A6911,09,90046,30
02PE00321,102049214, 99046911, 99090046,02,04,A9214,04,A6911,09,90046,30
02PE00322,102049215, 99046216, 97044267,02,04,A9215,04,A6216,04,A4267,30
02PE00323,102049216, 99046216, 97044267,02,04,A9216,04,A6216,04,A4267,30
02PE00324,102049217, 99046216, 97044267,02,04,A9217,04,A6216,04,A4267,30
02PE00325,102049218,100047760, 98045524,02,04,A9218,04,A7760,04,A5524,30
02PE00326,102049219,100047760, 98045524,02,04,A9219,04,A7760,04,A5524,30
02PE00327,102049220,100047786, 99046497,02,04,A9220,04,A7786,04,A6497,30
02PE00328,102049221,100047786, 99046497,02,04,A9221,04,A7786,04,A6497,30
02PE00329,102049222,100047302, 98045681,02,04,A9222,04,A7302,04,A5681,30
02PE00330,102049223,100047302, 98045681,02,04,A9223,04,A7302,04,A5681,30
02PE00331,102049224, 99046641, 98045239,02,04,A9224,04,A6641,04,A5239,30
02PE00332,102049225, 99046641, 98045239,02,04,A9225,04,A6641,04,A5239,30
02PE00333,102049226,101048325, 98045271,02,04,A9226,04,A8325,04,A5271,30
02PE00334,102049227,100816945,101048783,02,04,A9227,81,Z6945,04,A8783,80
02PE00335,102049228,100816945,101048783,02,04,A9228,81,Z6945,04,A8783,80
02PE00336,102049229,100047199,100048074,02,04,A9229,04,A7199,04,A8074,30
02PE00337,102049230,100047199,100048074,02,04,A9230,04,A7199,04,A8074,30
