UID,LAMB,SIRE,DAM
86PE00001,86029061,84027219,83025033
86PE00002,86029062,84020000,85027856
86PE00003,86029063,84020000,85027856
86PE00004,86029064,85027833,83025308
86PE00005,86029065,85028109,83025266
86PE00006,86029066,84020000,85028078
86PE00007,86029067,84020000,85028078
86PE00008,86029068,84027286,82023364
86PE00009,86029069,84020000,85027962
86PE00010,86029070,84020000,85028199
86PE00011,86029071,84020000,85028199
86PE00012,86029072,84027286,80020455
86PE00013,86029073,84027286,80020455
86PE00014,86029074,84027286,80020455
86PE00015,86029075,84020000,85027909
86PE00016,86029076,85028076,84027131
86PE00017,86029077,84027319,83025377
86PE00018,86029078,84027319,83025377
86PE00019,86029079,84027319,83025377
86PE00020,86029080,84027219,79018556
86PE00021,86029081,84027219,79018556
86PE00022,86029082,84027004,84027174
86PE00023,86029083,84027004,84027174
86PE00024,86029084,84027004,84027174
86PE00025,86029085,84027004,84027063
86PE00026,86029086,84027004,84027063
86PE00027,86029087,84027004,84027063
86PE00028,86029088,85027833,82023302
86PE00029,86029089,84027004,82023272
86PE00030,86029090,84027004,82023272
86PE00031,86029091,84027004,82023272
86PE00032,86029092,84027286,84027247
86PE00033,86029093,85028109,84027315
86PE00034,86029094,85028109,84027315
86PE00035,86029095,84027219,80020304
86PE00036,86029096,84027004,83025172
86PE00037,86029097,84027004,83025172
86PE00038,86029098,85028138,84027088
86PE00039,86029099,85028138,84027088
86PE00040,86029100,84027286,84027203
86PE00041,86029101,84027286,84027203
86PE00042,86029102,84027319,83025159
86PE00043,86029103,84027319,83025159
86PE00044,86029104,85028109,83025299
86PE00045,86029105,85028109,83025299
86PE00046,86029106,84020000,85027858
86PE00047,86029107,84027319,84027138
86PE00048,86029108,84027319,84027138
86PE00049,86029109,84027004,82023318
86PE00050,86029110,84027004,82023318
86PE00051,86029111,84020000,85027985
86PE00052,86029112,84020000,85027985
86PE00053,86029113,84020000,85027985
86PE00054,86029114,84027004,82023190
86PE00055,86029115,84027004,82023190
