UID,LAMB,SIRE,DAM
85PE00001,85027815,84027286,80020169
85PE00002,85027816,84027286,80020169
85PE00003,85027817,84027004,83025098
85PE00004,85027818,84027004,83025098
85PE00005,85027819,84027319,79018765
85PE00006,85027820,84027319,79018765
85PE00007,85027821,84027319,79018765
85PE00008,85027822,84027319,82023163
85PE00009,85027823,84027319,82023163
85PE00010,85027824,83025169,82023190
85PE00011,85027825,83025169,82023190
85PE00012,85027826,83025169,82023190
85PE00013,85027827,83020000,84027054
85PE00014,85027828,83020000,84026946
85PE00015,85027829,83020000,84026942
85PE00016,85027830,83020000,84026942
85PE00017,85027831,84027004,81021589
85PE00018,85027832,84027004,81021589
85PE00019,85027833,84027219,83025102
85PE00020,85027834,84027219,83025102
85PE00021,85027835,84027004,83025342
85PE00022,85027836,84027004,83025342
85PE00023,85027837,84027319,83025274
85PE00024,85027838,84027319,83025274
85PE00025,85027839,84027219,76014635
85PE00026,85027840,84027219,76014635
85PE00027,85027841,83025093,82023100
85PE00028,85027842,83025093,82023100
85PE00029,85027843,84027004,78017044
85PE00030,85027844,84027004,78017044
85PE00031,85027845,84027004,78017044
85PE00032,85027846,83025169,83025132
85PE00033,85027847,83025169,83025146
85PE00034,85027848,83025169,83025146
85PE00035,85027849,84027219,77015729
85PE00036,85027850,84027219,77015729
85PE00037,85027851,84027219,81021645
85PE00038,85027852,84027219,81021645
85PE00039,85027853,84027004,83025142
85PE00040,85027854,84027004,83025142
85PE00041,85027855,84027004,80020316
85PE00042,85027856,84027004,80020316
85PE00043,85027857,83020000,84025895
85PE00044,85027858,83025093,80020111
85PE00045,85027859,84027286,77015842
85PE00046,85027860,83025093,80020111
85PE00047,85027861,83025213,83025339
85PE00048,85027862,83025213,83025339
85PE00049,85027863,84027286,78017066
85PE00050,85027864,84027286,78017066
85PE00051,85027865,84027286,77015969
85PE00052,85027866,84027286,77015969
85PE00053,85027867,84027004,83025277
85PE00054,85027868,84027004,83025277
85PE00055,85027869,84027004,83025277
85PE00056,85027870,84027004,79018453
85PE00057,85027871,84027004,79018453
85PE00058,85027872,84027004,82023337
85PE00059,85027873,84027004,82023337
85PE00060,85027874,84027004,82023337
85PE00061,85027875,84027286,77015842
85PE00062,85027876,84027319,76014975
85PE00063,85027877,84027319,76014975
85PE00064,85027878,84027286,80020088
85PE00065,85027879,84027286,80020088
85PE00066,85027880,84027004,81021666
85PE00067,85027881,84027004,81021666
85PE00068,85027882,84027004,81021666
85PE00069,85027883,84027319,82023416
85PE00070,85027884,84027286,83025101
85PE00071,85027885,84027286,83025101
85PE00072,85027886,83025213,83025349
85PE00073,85027887,83025213,83025349
85PE00074,85027888,84027219,82023208
85PE00075,85027889,84027219,82023208
85PE00076,85027890,84027319,80020444
85PE00077,85027891,84027319,80020444
85PE00078,85027892,83025093,83025377
85PE00079,85027893,83025093,83025377
85PE00080,85027894,83020000,84027129
85PE00081,85027895,83025213,79018556
85PE00082,85027896,83025213,79018556
85PE00083,85027897,83020000,84027063
85PE00084,85027898,84027319,83025081
85PE00085,85027899,84027319,83025081
85PE00086,85027900,83020000,84027188
85PE00087,85027901,83020000,84027188
85PE00088,85027902,84027319,80020084
85PE00089,85027903,84027319,80020084
85PE00090,85027904,84027219,80020430
85PE00091,85027905,84027219,80020430
85PE00092,85027906,83025169,83025384
85PE00093,85027907,83025213,77016138
85PE00094,85027908,83025213,77016138
85PE00095,85027909,83025093,83025160
85PE00096,85027910,83025093,83025160
85PE00097,85027911,84027286,82023298
85PE00098,85027912,84027286,82023298
85PE00099,85027913,84027004,79018566
85PE00100,85027914,83025213,83025055
85PE00101,85027915,83025213,83025055
85PE00102,85027916,84027286,82023043
85PE00103,85027917,83025213,83025239
85PE00104,85027918,83025213,83025239
85PE00105,85027919,83025213,82023393
85PE00106,85027920,83025213,82023393
85PE00107,85027921,83025213,82023393
85PE00108,85027922,83025213,80020327
85PE00109,85027923,83025213,80020327
85PE00110,85027924,83025213,82023057
85PE00111,85027925,83025213,82023057
85PE00112,85027926,83025392,81021563
85PE00113,85027927,83025392,81021563
85PE00114,85027928,84027319,78017196
85PE00115,85027929,84027319,78017196
85PE00116,85027930,84027286,83025337
85PE00117,85027931,84027004,82023027
85PE00118,85027932,84027004,82023027
85PE00119,85027933,84027319,78017375
85PE00120,85027934,84027319,78017375
85PE00121,85027935,84027319,78017375
85PE00122,85027936,84027319,83025218
85PE00123,85027937,84027319,83025218
85PE00124,85027938,83025093,81021511
85PE00125,85027939,83025093,81021511
85PE00126,85027940,84027319,80020290
85PE00127,85027941,84027319,80020290
85PE00128,85027942,83020000,84026952
85PE00129,85027943,83025169,80020455
85PE00130,85027944,83025169,80020455
85PE00131,85027945,83025169,80020455
85PE00132,85027946,83020000,84027357
85PE00133,85027947,84027319,83025346
85PE00134,85027948,84027319,83025346
85PE00135,85027949,83025093,83025216
85PE00136,85027950,83025093,83025216
85PE00137,85027951,83020000,84026960
85PE00138,85027952,83020000,84026960
85PE00139,85027953,83025213,81021707
85PE00140,85027954,83025213,81021707
85PE00141,85027955,83025093,83025063
85PE00142,85027956,83025093,83025063
85PE00143,85027957,84027219,83025201
85PE00144,85027958,84027219,83025201
85PE00145,85027959,84027219,82023154
85PE00146,85027960,84027219,82023154
85PE00147,85027961,83025169,82023248
85PE00148,85027962,84027286,80020281
85PE00149,85027963,84027286,80020281
85PE00150,85027964,84027319,83025222
85PE00151,85027965,84027286,83025299
85PE00152,85027966,84027286,83025299
85PE00153,85027967,83020000,84027086
85PE00154,85027968,83020000,84027195
85PE00155,85027970,83020000,84027058
85PE00156,85027971,84027004,78017252
85PE00157,85027972,83025392,77015687
85PE00158,85027973,83025392,77015687
85PE00159,85027974,84027319,80020151
85PE00160,85027975,84027319,80020151
85PE00161,85027976,83020000,84027280
85PE00162,85027977,83020000,84027194
85PE00163,85027978,83020000,84027194
85PE00164,85027979,84027004,79018743
85PE00165,85027980,83025093,78017300
85PE00166,85027981,84027286,79018466
85PE00167,85027982,84027286,79018466
85PE00168,85027983,83025392,83025344
85PE00169,85027984,83025392,83025344
85PE00170,85027985,84027286,76014568
85PE00171,85027986,84027286,76014568
85PE00172,85027987,83020000,84027322
85PE00173,85027988,84027286,78017275
85PE00174,85027989,84027286,78017275
85PE00175,85027990,83025392,78017114
85PE00176,85027991,83025392,78017114
85PE00177,85027992,83025392,78017114
85PE00178,85027993,84027286,80020042
85PE00179,85027994,84027286,80020042
85PE00180,85027995,84027286,80020042
85PE00181,85027996,83025213,82023048
85PE00182,85027997,83025213,82023048
85PE00183,85027998,83025213,82023048
85PE00184,85027999,84027219,81021445
85PE00185,85028000,84027219,81021445
85PE00186,85028001,84027004,77015666
85PE00187,85028002,84027004,77015666
85PE00188,85028003,84027286,83025255
85PE00189,85028004,84027286,83025255
85PE00190,85028005,83020000,84027236
85PE00191,85028006,83020000,84027234
85PE00192,85028007,84027286,82023405
85PE00193,85028008,84027286,82023405
85PE00194,85028009,84027286,82023405
85PE00195,85028010,83025169,82023006
85PE00196,85028011,83025169,82023006
85PE00197,85028012,83025169,82023006
85PE00198,85028013,83025213,82023230
85PE00199,85028014,83025213,82023230
85PE00200,85028015,83025169,83025219
85PE00201,85028016,84027319,77015815
85PE00202,85028017,84027319,77015815
85PE00203,85028018,83025392,82023182
85PE00204,85028019,83025392,82023182
85PE00205,85028020,83020000,84027331
85PE00206,85028021,83020000,84027229
85PE00207,85028022,83020000,84026971
85PE00208,85028023,84027004,82023194
85PE00209,85028024,84027004,82023194
85PE00210,85028025,84027319,83025314
85PE00211,85028026,84027319,83025314
85PE00212,85028027,84027219,83025308
85PE00213,85028028,83025392,82023008
85PE00214,85028029,83025392,82023008
85PE00215,85028030,84027286,81021414
85PE00216,85028031,84027286,82023153
85PE00217,85028032,84027286,82023153
85PE00218,85028033,84027286,82023153
85PE00219,85028034,84027286,81021414
85PE00220,85028035,83020000,84027175
85PE00221,85028036,84027319,82023157
85PE00222,85028037,83025392,79018803
85PE00223,85028038,83025392,79018803
85PE00224,85028039,84027219,80020223
85PE00225,85028040,84027219,80020223
85PE00226,85028041,83025093,83025152
85PE00227,85028042,83025093,83025152
85PE00228,85028043,83025392,79018696
85PE00229,85028044,83025213,83025254
85PE00230,85028045,83025213,83025254
85PE00231,85028046,83025392,79018696
85PE00232,85028047,84027004,83025331
85PE00233,85028048,84027004,83025331
85PE00234,85028049,83020000,84027152
85PE00235,85028050,83020000,84027152
85PE00236,85028051,84027004,80020156
85PE00237,85028052,83020000,84027341
85PE00238,85028053,83020000,84027341
85PE00239,85028054,83025169,78017034
85PE00240,85028055,83025169,78017034
85PE00241,85028056,84027319,81021408
85PE00242,85028057,84027319,81021408
85PE00243,85028058,83020000,84027196
85PE00244,85028059,83020000,84025965
85PE00245,85028060,83020000,84027102
85PE00246,85028061,83025213,81021572
85PE00247,85028062,83025213,81021572
85PE00248,85028063,84027286,83025155
85PE00249,85028064,84027286,83025155
85PE00250,85028065,83025392,76014888
85PE00251,85028066,83025392,76014888
85PE00252,85028067,83020000,84027062
85PE00253,85028068,83025213,82023125
85PE00254,85028069,83025213,82023125
85PE00255,85028070,83025213,82023125
85PE00256,85028071,84027286,82023197
85PE00257,85028072,84027286,82023197
85PE00258,85028073,84027219,81021588
85PE00259,85028074,84027219,81021588
85PE00260,85028075,83025392,82023318
85PE00261,85028076,83025392,82023318
85PE00262,85028077,83025213,82023201
85PE00263,85028078,83025213,82023201
85PE00264,85028079,84027219,78017131
85PE00265,85028080,84027219,78017131
85PE00266,85028081,84027319,81021578
85PE00267,85028082,84027319,81021578
85PE00268,85028083,84027319,81021578
85PE00269,85028084,84027004,82023151
85PE00270,85028085,84027004,82023151
85PE00271,85028086,84027004,82023151
85PE00272,85028087,83025093,83025391
85PE00273,85028088,83025093,83025391
85PE00274,85028089,83025093,83025391
85PE00275,85028090,84027319,81021522
85PE00276,85028091,84027319,81021522
85PE00277,85028092,83020000,84027241
85PE00278,85028093,84027286,83025041
85PE00279,85028094,84027286,83025041
85PE00280,85028095,83020000,84027267
85PE00281,85028096,83020000,84027101
85PE00282,85028097,83020000,84027101
85PE00283,85028098,84027219,82023433
85PE00284,85028099,84027219,82023433
85PE00285,85028100,84027004,77015837
85PE00286,85028101,84027004,77015837
85PE00287,85028102,84027004,77015837
85PE00288,85028103,84027004,82023421
85PE00289,85028104,84027004,82023421
85PE00290,85028105,84027219,79018527
85PE00291,85028106,84027219,79018527
85PE00292,85028107,84027219,79018527
85PE00293,85028108,84027319,79018738
85PE00294,85028109,84027286,79018662
85PE00295,85028110,84027286,79018662
