ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MAT,BCS,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
2025126193,25LA02703,25,S1040,12,,20,S4225,12,9.0,,07,07,1,0,N,,040225,92,9,1,1.5,4,2,0,2,10.8,1,1,S6193,12,,07,6,99,85,,,WARTS,+bronchopneu,1,1,..,,J,1,,1,1,3,1,,,,2025-04-02,,,,,,
2025126194,25LA02704,25,S1040,12,,20,S4225,12,9.0,,07,07,1,0,N,,040225,92,9,1,1.5,4,2,0,2,8.8,1,1,S6194,12,,07,,,,,,.,.,1,1,..,,J,2,,0,0,0,1,,,,2025-04-02,,29,126,H,,
D25LA02705,25LA02705,25,S1040,12,,20,S4225,12,9.0,,07,07,1,0,N,,040225,92,9,1,1.5,4,2,0,2,14.0,1,1,.,,,,1,92,44,,,.,FR&BACKFT@ONCE,7,4,..,,J,3,,0,0,0,0,,,,2025-04-02,,,,,,
2025705337,25LA02706,25,L3188,70,A,54,L3403,70,3.0,,PC,PC,2,0,N,,040225,92,5,1,4.0,3,3,0,2,19.2,5,1,L5337,70,A,PC,,,,,,L.LOW,.,8,2,..,OR,J,1,,1,1,1,1,,,,2025-04-02,,47,127,H,,
2025705338,25LA02707,25,L3670,70,A,59,L3536,70,2.0,,PC,PC,2,,N,,040225,92,8,1,3.0,4,3,0,2,12.0,5,6,L5338,70,A,PC,6,114,19,,,.,+FailToThrive,1,1,..,OR,J,1,,1,1,2,1,,,,2025-04-02,,,,,,
2025705339,25LA02708,25,L3670,70,A,59,L3536,70,2.0,,PC,PC,2,,N,,040225,92,8,1,3.0,4,2,0,2,9.4,5,3,L5339,70,A,PC,,,,,,.,.,1,1,..,OR,J,2,,0,0,0,1,,,,2025-04-02,,17,127,H,,
2025458724,25LA02709,25,T8062,45,,47,T8032,45,3.0,,02,02,2,0,N,,040225,92,9,0,3.0,2,2,0,2,9.5,1,1,T8724,45,,02,3,92,93,,8,NOTENUF4TRIP,THINNEST,1,1,..,,J,1,,1,1,3,,,,,2025-04-02,,,,,,
2025458725,25LA02710,25,T8062,45,,47,T8032,45,3.0,,02,02,2,0,N,,040225,92,9,0,3.0,2,1,0,2,9.7,2,1,T8725,45,,02,,,,,,.,PINSPOT.L'4HD',1,1,..,,J,2,,0,0,0,1,,,,2025-04-02,,40,134,2,,
2025458726,25LA02711,25,T8062,45,,47,T8032,45,3.0,,02,02,2,0,N,,040225,92,9,0,3.0,2,1,0,2,10.5,2,2,T8726,45,,02,,,,,,.,SPOT.LEYE,1,1,..,,J,3,,0,0,0,1,,,,2025-04-02,,39,134,2,,
2025705340,25LA02712,25,L3058,70,A,62,L3773,70,4.0,,PC,PC,2,0,N,,040225,92,5,1,3.5,4,2,0,2,16.4,5,1,L5340,70,A,PC,,,,,,.,.,1,1,..,,Y,1,,1,1,1,1,,,,2025-04-02,,55,134,1,,
