UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
09LA03283,09,H2150,05,82,31,07142,00,4.0,,30,30,2,0,y,L,041609,106,8,3,3,12.2,1,1,H5482,05,,30,,,,,,.,CRYPTORCID,.,.,..,.,J,1,,1,1,2,1,1,1.0,85,2009-04-16,0.0,26,140,2,53,183
09LA03284,09,H2150,05,82,31,07142,00,4.0,,30,30,2,0,y,L,041609,106,8,3,3,12.2,1,1,H5483,05,,30,,,,,,.,HAIRY,.,.,..,.,J,2,,0,0,0,1,1,1.0,78,2009-04-16,0.0,25,140,2,50,183
09LA03285,09,R6466,11,18,40,00026,00,3.0,,07,07,2,0,N,.,041609,106,8,2,2,9.7,1,1,R7926,11,,07,,,,,,.,.,.,.,..,.,J,1,,1,1,2,1,1,1.0,29,2009-04-16,0.0,17,140,2,26,183
09LA03286,09,R6466,11,18,40,00026,00,3.0,,07,07,2,0,N,.,041609,106,8,2,2,9.7,1,1,R7927,11,,07,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,65,2009-04-16,0.0,16,140,2,38,183
09LA03287,09,H3044,05,00,br3,X0000,82,2.0,,33,00,1,0,y,X,041609,106,5,2,3,10.6,5,2,X8153,82,,00,,,,,,.,.,.,.,..,BR3,J,1,,1,1,1,1,1,1.0,93,2009-04-16,0.0,33,140,H,66,181
09LA03288,09,R4588,11,18,57,R6538,11,5.0,,07,07,2,0,N,.,041609,106,8,3,1,10.9,1,1,R7928,11,,07,,,,,,.,.,.,.,..,.,J,1,,1,1,2,1,1,1.0,50,2009-04-16,0.051,16,140,2,31,183
09LA03289,09,R4588,11,18,57,R6538,11,5.0,,07,07,2,0,N,.,041609,106,8,3,1,12.6,1,1,R7929,11,,07,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,79,2009-04-16,0.051,25,140,2,52,183
09LA03290,09,X6530,82,6M,e12,K4048,64,1.0,,06,06,4,0,N,.,041609,106,5,3,2,11.5,1,1,K4601,64,,06,,,,,,U PROLAPSE,.,5,2,..,Mat,J,1,,1,1,1,1,1,1.0,88,2009-04-16,0.047,30,140,2,57,183
09LA03291,09,T1747,45,ID,AI,X0000,82,2.0,,02,00,1,0,y,X,041609,106,5,4,3,19.0,5,2,X8154,82,,00,6,183,93,,,.,PP,.,.,..,AI,J,1,,1,1,1,1,0,0.0,0,2009-04-16,0.0,33,127,H,80,181
09LA03292,09,H2897,05,88,49,H2171,05,3.0,,30,30,2,0,N,L,041609,106,8,3,2,9.4,1,1,H5484,05,,30,,,,,,.,.,.,.,..,PTH,J,1,,1,1,2,1,1,1.0,59,2009-04-16,0.044,16,140,2,32,183
09LA03293,09,H2897,05,88,49,H2171,05,3.0,,30,30,2,0,N,L,041609,106,8,3,1,11.8,1,1,H5485,05,,30,,,,,,.,.,.,.,..,PTH,J,2,,0,0,0,1,1,1.0,74,2009-04-16,0.044,23,140,2,46,183
09LA03294,09,T1373,45,ID,23,X0000,82,2.0,,02,00,1,0,N,.,041709,107,5,3,2,14.8,5,1,X8155,82,,00,,,,,,.,ENTROPION,.,.,..,.,J,1,,1,1,1,1,1,1.0,101,2009-04-17,0.0,24,127,H,73,181
09LA03295,09,X5233,82,00,e20,00027,00,2.0,,TR,Tx,4,0,y,.,041709,107,8,3,2,8.8,3,1,X8156,82,,MY,6,124,23,,,.,E.BLKSPOT,.,.,..,MYO,J,1,,1,1,2,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03296,09,X5233,82,00,e20,00027,00,2.0,,TR,Tx,4,0,y,.,041709,107,8,3,3,9.4,1,1,X8157,82,,MY,6,118,93,,,.,.,.,.,..,MYO,J,2,,0,0,0,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03297,09,R4114,11,18,35,05359,00,6.0,,07,07,2,0,N,.,041709,107,8,3,1,11.0,1,1,R7930,11,,07,,,,,,.,.,.,.,..,.,J,1,,1,1,2,1,1,1.0,75,2009-04-17,0.0,23,140,2,47,183
09LA03298,09,R4114,11,18,35,05359,00,6.0,,07,07,2,0,N,.,041709,107,8,3,1,11.6,1,1,R7931,11,,07,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,71,2009-04-17,0.0,26,140,2,43,183
09LA03299,09,R4713,11,18,60,R6996,11,5.0,,07,07,2,0,N,.,041709,107,9,3,1,7.2,1,1,R7932,11,,07,6,117,23,,,.,CRYPT,.,.,..,.,J,1,,1,1,3,1,0,0.0,0,2009-04-17,0.039,,,,,
09LA03300,09,R4713,11,18,60,R6996,11,5.0,,07,07,2,0,N,.,041709,107,9,3,1,9.2,1,1,R7933,11,,07,,,,,,.,HAIRY,.,.,..,.,J,2,,0,0,0,1,1,1.0,79,2009-04-17,0.039,23,140,2,49,183
09LA03301,09,R4713,11,18,60,R6996,11,5.0,,07,07,2,0,N,.,041709,107,9,3,1,9.3,1,1,R7934,11,,07,,,,,,.,.,.,.,..,.,J,3,,0,0,0,1,1,1.0,41,2009-04-17,0.039,20,140,2,25,183
09LA03302,09,R6654,11,18,43,20123,00,2.0,,07,RW,2,0,y,.,041709,107,8,3,3,10.5,1,1,X8158,82,,R3,,,,,,.,HAIRY,.,.,..,.,J,1,,1,1,2,1,1,1.0,69,2009-04-17,0.0,22,140,2,44,183
09LA03303,09,R6654,11,18,43,20123,00,2.0,,07,RW,2,0,y,.,041709,107,8,3,2,10.0,1,1,X8159,82,,R3,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,68,2009-04-17,0.0,20,140,2,42,183
09LA03304,09,R6888,11,18,35,05359,00,2.0,,07,07,2,0,N,.,041709,107,8,3,1,9.2,1,1,R7935,11,,07,7,179,97,,,.,.,.,.,..,.,J,1,,1,1,2,1,0,0.0,0,2009-04-17,0.0,12,140,2,,
09LA03305,09,R6888,11,18,35,05359,00,2.0,,07,07,2,0,N,.,041709,107,8,3,1,9.6,1,1,R7936,11,,07,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,81,2009-04-17,0.0,18,140,2,49,183
09LA03306,09,H4196,05,83,e19,H3039,05,1.0,,30,30,4,0,y,.,041709,107,5,3,2,9.6,1,2,H5486,05,,30,,,,,,.,E VET FIX,.,.,..,.,J,1,,1,1,1,1,1,1.0,75,2009-04-17,0.051,27,140,2,48,183
09LA03307,09,R5094,11,18,45,20224,00,5.0,,07,RW,2,0,y,.,041709,107,8,2,2,9.8,1,1,X8160,82,,R3,,,,,,.,H.E,.,.,..,.,J,1,,1,1,2,1,1,1.0,77,2009-04-17,0.0,28,140,2,51,183
09LA03308,09,R5094,11,18,45,20224,00,5.0,,07,RW,2,0,y,.,041709,107,8,2,3,12.2,1,2,X8161,82,,R3,,,,,,.,HAIRY,.,.,..,.,J,2,,0,0,0,1,1,1.0,88,2009-04-17,0.0,31,140,2,56,183
09LA03309,09,K4207,64,6T,e5,K3987,64,1.0,,06,06,4,0,y,.,041709,107,5,2,2,12.4,1,1,K4602,64,,06,,,,,,.,.,.,.,..,Ter,J,1,,1,1,1,1,1,1.0,88,2009-04-17,0.039,35,140,2,58,183
09LA03310,09,H3389,05,88,62,H3669,05,2.0,,30,30,2,0,N,L,041709,107,8,3,1,11.2,1,1,H5487,05,,30,,,,,,.,.,.,.,..,BLD,J,1,,1,1,2,1,1,1.0,90,2009-04-17,0.049,29,140,2,59,183
09LA03311,09,H3389,05,88,62,H3669,05,2.0,,30,30,2,0,N,L,041709,107,8,3,2,9.5,1,1,H5488,05,,30,,,,,,.,.,.,.,..,BLD,J,2,,0,0,0,1,1,1.0,55,2009-04-17,0.049,24,140,2,36,183
09LA03312,09,X5877,82,97,e11,00451,00,1.0,,97,97,4,0,y,.,041709,107,8,2,2,8.1,6,1,X8162,82,97,97,6,112,19,,,THICK MILK,ENTROPION,.,.,..,.,J,1,,1,1,2,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03313,09,X5877,82,97,e11,00451,00,1.0,,97,97,4,0,y,.,041709,107,8,2,3,10.3,6,1,X8163,82,97,97,,,,X6154,-,.,BAD LEG,.,.,..,.,J,2,,0,0,0,1,1,0.5,56,2009-04-17,0.0,14,127,H,,
09LA03314,09,T0821,45,ID,AI,X0000,82,3.0,,02,00,1,0,y,X,041709,107,5,3,3,14.7,5,1,X8164,82,,00,6,183,93,,,.,ENTROPION PP,5,2,..,AI,J,1,,1,1,1,1,0,0.0,0,2009-04-17,0.0,25,127,H,74,181
09LA03315,09,X6154,82,97,e10,X4731,82,1.0,,97,97,4,0,y,.,041709,107,5,3,2,11.0,6,4,X8165,82,,97,6,107,01,X8163,+,.,DIED,.,.,..,.,J,1,,1,1,1,1,0,0.5,0,2009-04-17,0.021,,,,,
09LA03316,09,R6343,11,18,60,R6996,11,3.0,,07,07,2,0,N,.,041709,107,8,3,1,10.5,1,1,R7937,11,,07,,,,,,.,.,.,.,..,.,J,1,,1,1,2,1,1,1.0,59,2009-04-17,0.035,22,140,2,38,183
09LA03317,09,R6343,11,18,60,R6996,11,3.0,,07,07,2,0,N,.,041709,107,8,3,2,10.0,1,1,R7938,11,,07,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,57,2009-04-17,0.035,21,140,2,42,183
09LA03318,09,R7061,11,18,36,00265,00,2.0,,07,07,2,0,N,.,041709,107,8,3,2,8.9,1,1,R7939,11,,07,,,,,,.,1ST DYS 3+4,7,5,..,PTH,J,1,,1,1,2,1,1,1.0,62,2009-04-17,0.0,21,140,2,39,183
09LA03319,09,R7061,11,18,36,00265,00,2.0,,07,07,2,0,N,.,041709,107,8,3,2,11.0,1,1,R7940,11,,07,,,,,,.,2ND.BRNEAR,3,5,..,PTH,J,2,,0,0,0,1,1,1.0,62,2009-04-17,0.0,22,140,2,40,183
09LA03320,09,H2341,05,00,br3,X0000,82,3.0,,33,00,1,0,y,X,041709,107,5,3,2,11.6,5,1,X8166,82,,00,6,117,95,X8169,+,.,.,.,.,..,BR3,J,1,,1,1,1,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03321,09,H2315,05,00,br3,X0000,82,3.0,,33,00,1,0,y,X,041709,107,9,2,2,10.6,5,2,X8167,82,,00,6,117,95,,,.,.,.,.,..,BR3,J,1,,1,1,3,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03322,09,H2315,05,00,br3,X0000,82,3.0,,33,00,1,0,y,X,041709,107,9,2,3,10.4,5,1,X8168,82,,00,6,117,95,,,.,.,.,.,..,BR3,J,2,,0,0,0,1,0,0.0,0,2009-04-17,0.0,,,,,
