ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
2013700996,13LA00021,13,L0517,70,,21,L0495,70,2.0,2,PC,PC,1,0,N,,030913,68,8,1,1,0,4,10.9,2,1,L0996,70,,PC,,,,,,HIGH1/LOW2,05BRN,1,1,..,OR,J,1,,1,1,2,1,1,1.0,84,2013-03-09,0.008,26,115,3,,
2013700997,13LA00022,13,L0517,70,,21,L0495,70,2.0,2,PC,PC,1,0,N,,030913,68,8,1,2,2,4,8.3,5,1,L0997,70,,PC,6,104,14,,,PNEU LF LAME,20BRN.DOWN.EUTH,1,1,..,OR,J,2,,0,0,0,1,0,0.0,0,2013-03-09,0.008,,,,,
2013831475,13LA00023,13,X9828,82,,6,Z1457,00,2.0,2,97,97,1,0,N,,031013,69,8,3,1,0,2,14.3,6,1,Z1475,83,,97,,,,,,SCOURS,.,1,1,..,B3G,J,1,,1,1,2,1,1,1.0,113,2013-03-10,0.0,58,115,3,,
2013831476,13LA00024,13,X9828,82,,6,Z1457,00,2.0,2,97,97,1,0,N,,031013,69,8,3,2,0,3,12.4,6,1,Z1476,83,,97,6,69,14,,,.,LIVE/DEADFrozen,1,1,..,B3G,J,2,,0,0,0,1,0,0.0,0,2013-03-10,0.0,,,,,
2013700998,13LA00025,13,L0349,70,,17,L0105,70,2.0,2,PC,PC,1,0,N,,031013,69,5,3,2,2,2,10.2,5,1,L0998,70,,PC,6,69,14,,,MYO AA,L/DFrozen,1,1,..,OR,J,1,,1,1,1,1,0,0.0,0,2013-03-10,0.009,,,,,
D13LA00026,13LA00026,13,L0833,70,,e11,L0482,70,1.0,1,PC,PC,4,0,N,,031013,69,0,1,1,.,.,5.8,2,1,.,,,,0,69,27,,,DRY,IMM,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2013-03-10,0.005,,,,,
D13LA00027,13LA00027,13,T4059,45,,29,T4177,45,2.0,2,02,02,1,7,N,,031013,69,0,1,.,.,.,0.0,.,.,.,,,,0,69,27,,,RP,NOT.FOUND,1,1,..,CTL,J,1,,1,1,1,0,0,0.0,0,2013-03-10,0.049,,,,,
2013831477,13LA00028,13,K4830,64,,6,Z1457,00,2.0,2,06,97,1,0,N,,031013,69,5,1,2,0,4,9.5,5,1,Z1477,83,,SC,,,,,,HIGH1/LOW2,85BRN,1,1,..,,J,1,,1,1,1,1,1,1.0,71,2013-03-10,0.0,27,115,1,,
2013700999,13LA00029,13,L0402,70,,19,L0341,70,2.0,2,PC,PC,1,0,N,,031013,69,8,2,2,0,2,8.1,5,1,L0999,70,,PC,,,,,,.,15BLK,1,1,..,OR,J,1,,1,1,2,1,1,1.0,59,2013-03-10,0.014,21,115,3,,
2013701000,13LA00030,13,L0402,70,,19,L0341,70,2.0,2,PC,PC,1,0,N,,031013,69,8,2,1,0,3,6.9,2,1,L1000,70,,PC,,,,,,.,FRECKLIPS,1,1,..,OR,J,2,,0,0,0,1,1,1.0,69,2013-03-10,0.014,20,115,3,,
2013701001,13LA00031,13,X7277,82,,14,X8834,82,4.0,4,T3,CS,1,,N,,031013,69,5,3,2,0,2,15.7,5,1,L1001,70,,PC,,,,,,FAT PNEUMONIA,30BRN.N SCOUR,1,1,..,OR,J,1,,1,1,1,1,1,1.0,105,2013-03-10,0.033,48,115,3,,
2013831478,13LA00032,13,X7463,82,,4,Z1449,00,4.0,4,97,97,1,,N,,031013,69,8,3,1,0,2,15.0,6,1,Z1478,83,,97,,,,,,.,SCOURS,1,1,..,B3G,J,1,,1,1,2,1,1,1.0,72,2013-03-10,0.0,37,115,3,,
2013831479,13LA00033,13,X7463,82,,4,Z1449,00,4.0,4,97,97,1,,N,,031013,69,8,3,1,0,4,13.5,6,1,Z1479,83,,97,,,,,,.,SCOURS,1,1,..,B3G,J,2,,0,0,0,1,1,1.0,61,2013-03-10,0.0,37,115,3,,
2013454678,13LA00034,13,T3437,45,,44,T3748,45,3.0,3,02,02,1,0,N,,031013,69,5,3,1,R,3,10.1,2,1,T4678,45,,02,6,70,90,L1018,+,RP,H20BELLY.WEAK,1,1,..,CTL,J,1,,1,1,1,1,0,0.0,0,2013-03-10,0.037,,,,,
2013701002,13LA00035,13,X7790,82,,28,X8610,82,4.0,4,SC,T3,1,,N,,031013,69,5,3,2,0,2,16.0,5,1,L1002,70,,PC,,,,,,.,15BL/GR.SCOURS,1,1,..,OR,J,1,,1,1,1,1,1,1.0,102,2013-03-10,0.003,48,115,3,,
2013831480,13LA00036,13,X7433,82,,23,Z1459,00,4.0,4,SC,Tx,1,,N,,031013,69,5,3,2,0,3,14.4,2,1,Z1480,83,,T3,,,,,,SRSMORE.SNOTTY,05BLK.HAIRY,1,1,..,,J,1,,1,1,1,1,1,1.0,103,2013-03-10,0.0,46,115,1,,
2013057938,13LA00037,13,H7656,05,,e19,H7324,05,1.0,1,30,30,4,0,Y,,031013,69,6,2,2,0,2,6.9,1,1,H7938,05,,30,3,72,93,,,H2O-YMILK.COUGH,PINK.PREMATURE,1,1,..,,J,1,,1,1,2,1,0,0.0,0,2013-03-10,0.026,,,,,
D13LA00038,13LA00038,13,H7656,05,,e19,H7324,05,1.0,1,30,30,4,0,Y,,031013,69,6,2,.,.,.,0.0,.,.,.,,,,0,69,27,,,DRY EWE,NASTYBLOB,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2013-03-10,0.026,,,,,
2013701003,13LA00039,13,X8580,82,,14,X8834,82,3.0,3,T3,CS,1,0,N,,031113,70,8,2,2,0,2,11.5,5,1,L1003,70,,PC,,,,,,LAMB SCOURS,15BLK.BRNEARS,1,1,..,OR,J,1,,1,1,2,1,1,1.0,91,2013-03-11,0.008,34,115,3,,
2013701004,13LA00040,13,X8580,82,,14,X8834,82,3.0,3,T3,CS,1,0,N,,031113,70,8,2,2,0,4,10.9,2,1,L1004,70,,PC,,,,,,.,<05BRN,1,1,..,OR,J,2,,0,0,0,1,1,1.0,76,2013-03-11,0.008,32,115,3,,
2013701005,13LA00041,13,L0209,70,,21,L0495,70,3.0,3,PC,PC,1,0,N,,031113,70,5,3,2,0,2,13.1,5,1,L1005,70,,PC,,,,,,.,35BLK,1,1,..,OR,J,1,,1,1,1,1,1,1.0,99,2013-03-11,0.005,46,115,3,,
2013831481,13LA00042,13,X6654,82,97,8,Z1460,00,5.0,5,97,97,1,,N,,031113,70,8,3,1,0,2,13.9,6,1,Z1481,83,,97,6,71,46,,,.,.,1,1,..,B3G,J,1,,1,1,2,1,0,0.0,0,2013-03-11,0.0,,,,,
2013831482,13LA00043,13,X6654,82,97,8,Z1460,00,5.0,5,97,97,1,,N,,031113,70,8,3,2,0,2,11.7,6,1,Z1482,83,,97,,,,,,.,.,1,1,..,B3G,J,2,,0,0,0,1,1,1.0,102,2013-03-11,0.0,45,115,3,,
D13LA00044,13LA00044,13,T4025,45,,43,T3264,45,2.0,2,02,02,1,7,N,,031113,70,4,2,2,.,2,7.8,1,1,.,,,,1,70,44,,,DRIED,DAB,1,1,..,CTL,J,1,,1,1,2,0,0,0.0,0,2013-03-11,0.034,,,,,
D13LA00045,13LA00045,13,T4025,45,,43,T3264,45,2.0,2,02,02,1,7,N,,031113,70,4,2,2,.,.,6.8,1,1,.,,,,1,70,44,,,.,DAB,1,1,..,CTL,J,2,,0,0,0,0,0,0.0,0,2013-03-11,0.034,,,,,
2013701006,13LA00046,13,L0049,70,,17,L0105,70,3.0,3,PC,PC,1,0,N,,031113,70,5,3,2,0,2,15.1,5,1,L1006,70,,PC,,,,,,L1006RFLAME,25BLBR,1,1,..,OR,J,1,,1,1,1,1,1,1.0,99,2013-03-11,0.004,39,115,3,,
2013701007,13LA00047,13,L0529,70,,19,L0341,70,2.0,2,PC,PC,1,0,N,,031113,70,5,3,2,0,4,14.4,5,1,L1007,70,,PC,,,,,,.,25BLK.FUZZY,1,1,..,OR,J,1,,1,1,1,1,1,1.0,112,2013-03-11,0.01,47,115,3,,
D13LA00048,13LA00048,13,Z0963,83,,e4,X8924,82,1.0,1,CS,T3,4,0,N,,031113,70,1,3,2,.,2,5.5,5,.,.,,,,1,70,44,Z1486,+,RESP.INFXN,DAB,1,1,..,OR,J,1,,1,1,1,0,0,0.5,0,2013-03-11,0.009,,,,,
2013831483,13LA00049,13,X7223,82,,6,Z1457,00,4.0,4,97,97,1,,N,,031113,70,7,3,1,0,4,15.7,6,1,Z1483,83,,97,,,,,,POSSMIXUPX6519,NICE LAMB,1,1,..,B3G,J,1,,1,1,2,1,1,1.0,125,2013-03-11,0.0,51,115,3,,
D13LA00050,13LA00050,13,X7223,82,,6,Z1457,00,4.0,4,97,97,1,,N,,031113,70,7,3,1,.,2,12.8,6,.,.,,,,1,70,44,,,.,DAB,1,1,..,B3G,J,2,,0,0,0,0,0,0.0,0,2013-03-11,0.0,,,,,
2013831484,13LA00051,13,X6519,82,97,5,Z1454,00,5.0,5,97,97,1,,N,,031113,70,7,4,2,0,2,8.5,6,1,Z1484,83,,97,,,,,,VLTS,SCOURS,1,1,..,B3G,J,1,,1,1,2,1,1,1.0,64,2013-03-11,0.0,26,115,3,,
D13LA00052,13LA00052,13,X6519,82,97,5,Z1454,00,5.0,5,97,97,1,,N,,031113,70,7,4,2,.,.,9.2,6,.,.,,,,1,70,44,L1019,+,MIXUP W/ X7223?,DAB,1,1,..,B3G,J,2,,0,0,0,0,0,0.0,0,2013-03-11,0.0,,,,,
2013701008,13LA00053,13,L0407,70,,17,L0105,70,2.0,2,PC,PC,1,0,N,,031113,70,8,3,1,0,4,10.5,5,1,L1008,70,,PC,,,,,,L.CORNEAL.ULCER,15-20BRN,1,1,..,OR,J,1,,1,1,2,1,1,1.0,63,2013-03-11,0.011,28,115,3,,
2013701009,13LA00054,13,L0407,70,,17,L0105,70,2.0,2,PC,PC,1,0,N,,031113,70,8,3,2,R,4,11.0,5,2,L1009,70,,PC,,,,,,.,25BRN,1,1,..,OR,J,2,,0,0,0,1,1,1.0,72,2013-03-11,0.011,28,115,3,,
2013701010,13LA00055,13,L0283,70,,19,L0341,70,2.0,2,PC,PC,1,0,N,,031113,70,5,3,2,0,2,16.5,5,1,L1010,70,,PC,,,,,,U.PROLAPSE,<10BLK.NICE,3,2,..,OR,J,1,,1,1,1,1,1,1.0,121,2013-03-11,0.014,57,115,3,,
D13LA00056,13LA00056,13,L0403,70,,20,L0492,70,2.0,2,PC,PC,1,0,N,,031113,70,4,1,1,.,3,9.1,5,1,.,,,,1,70,44,,,V.PROLAPSE,DAB,7,4,..,OR,J,1,,1,1,2,0,0,0.0,0,2013-03-11,0.007,,,,,
D13LA00057,13LA00057,13,L0403,70,,20,L0492,70,2.0,2,PC,PC,1,0,N,,031113,70,4,1,2,.,2,9.9,5,1,.,,,,1,70,44,,,DEAD 2@ONCE,2ND.DAB,7,4,..,OR,J,2,,0,0,0,0,0,0.0,0,2013-03-11,0.007,,,,,
2013701011,13LA00058,13,L0470,70,,17,L0105,70,2.0,2,PC,PC,1,0,N,,031113,70,5,3,1,0,2,15.7,5,2,L1011,70,,PC,,,,,,SOLE.ABSCESS,20BRN.BIGLAMB,8,2,..,OR,J,1,,1,1,1,1,1,1.0,110,2013-03-11,0.002,50,115,3,,
2013701012,13LA00059,13,L0046,70,,21,L0495,70,3.0,3,PC,PC,1,0,N,,031113,70,8,2,1,0,3,11.8,5,1,L1012,70,,PC,,,,,,BITCH.TAILCHEWR,40LTBRN,1,1,..,OR,J,1,,1,1,2,1,1,1.0,67,2013-03-11,0.007,29,115,3,,
2013701013,13LA00060,13,L0046,70,,21,L0495,70,3.0,3,PC,PC,1,0,N,,031113,70,8,2,2,0,2,10.9,5,1,L1013,70,,PC,,,,,,.,60LTBRN.BRITCHY,1,1,..,OR,J,2,,0,0,0,1,1,1.0,64,2013-03-11,0.007,28,115,3,,
2013831485,13LA00061,13,K4649,64,,23,Z1459,00,3.0,3,06,Tx,1,0,N,,031113,70,8,1,2,2,2,8.1,2,1,Z1485,83,,TC,,,,,,THIN.LLS,.,1,1,..,,J,1,,1,1,2,1,1,1.0,63,2013-03-11,0.0,24,115,1,,
2013831486,13LA00062,13,K4649,64,,23,Z1459,00,3.0,3,06,Tx,1,0,N,,031113,70,8,1,2,2,4,10.5,2,1,Z1486,83,,TC,,,,Z0963,-,.,.,1,1,..,,J,2,,0,0,0,1,1,0.5,87,2013-03-11,0.0,39,115,1,,
2013701014,13LA00063,13,L0201,70,,20,L0492,70,3.0,3,PC,PC,1,0,N,,031113,70,8,2,1,0,3,11.6,5,1,L1014,70,,PC,,,,,,.,20BLK,1,1,..,OR,J,1,,1,1,2,1,1,1.0,118,2013-03-11,0.006,47,115,3,,
2013701015,13LA00064,13,L0201,70,,20,L0492,70,3.0,3,PC,PC,1,0,N,,031113,70,8,2,1,0,4,12.1,5,1,L1015,70,,PC,6,99,14,,,.,25BRN,1,1,..,OR,J,2,,0,0,0,1,0,0.0,0,2013-03-11,0.006,,,,,
2013831487,13LA00065,13,X7497,82,,6,Z1457,00,4.0,4,97,97,1,,N,,031113,70,8,3,1,0,2,16.4,6,1,Z1487,83,,97,,,,,,.,NICE LAMB,1,1,..,B3G,J,1,,1,1,2,1,1,1.0,80,2013-03-11,0.0,34,115,3,,
2013831488,13LA00066,13,X7497,82,,6,Z1457,00,4.0,4,97,97,1,,N,,031113,70,8,3,1,0,4,14.6,6,1,Z1488,83,,97,,,,,,.,NICE LAMB,1,1,..,B3G,J,2,,0,0,0,1,1,1.0,100,2013-03-11,0.0,44,115,3,,
2013454679,13LA00067,13,T3432,45,,43,T3264,45,3.0,3,02,02,1,0,N,,031113,70,7,3,2,0,2,7.3,1,1,T4679,45,,02,,,,,,.,WEAK LAMB,1,1,..,CTL,J,1,,1,1,2,1,1,1.0,65,2013-03-11,0.03,24,115,1,,
D13LA00068,13LA00068,13,T3432,45,,43,T3264,45,3.0,3,02,02,1,0,N,,031113,70,7,3,1,.,2,8.9,2,1,.,,,,1,70,44,,,.,BLSPOTRSIDE.DAB,1,1,..,CTL,J,2,,0,0,0,0,0,0.0,0,2013-03-11,0.03,,,,,
2013831489,13LA00069,13,X4449,82,97,24,K4814,64,6.0,6,97,06,1,0,N,,031113,70,8,3,2,0,2,13.6,5,1,Z1489,83,,CS,6,121,10,,,.,60BL/BRN,1,1,..,GRN,J,1,,1,1,2,1,0,,,2013-03-11,0.0,31,115,3,,
2013831490,13LA00070,13,X4449,82,97,24,K4814,64,6.0,6,97,06,1,0,N,,031113,70,8,3,1,0,2,14.4,5,1,Z1490,83,,CS,,,,,,.,50BRN SCOURS,1,1,..,GRN,J,2,,0,0,0,1,1,1.0,103,2013-03-11,0.0,41,115,3,,
