UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,YRREC
00IN00001,1993003186, 3186,00, 5555,93,2,00,1,00,-Z-,000010,000000,7,,,,U,LIM,3,187,175,2,,,,,U,A,7.0,,2000
00IN00002,1993003237, 3237,00, 5053,93,2,00,1,00,-Z-,000010,000000,7,,,,U,LIM,3,169,176,2,,,,,U,A,7.0,,2000
