UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLPG1,CLPG2,CLPG3,YRREC
03IN00011,1998008136, 8136,00, 8136,98,2,00,1,03,L-0,000044,971563,.,,,,O,OVX,5,,173,0,0,X,,,.,O,O,5.0,"T X C ewe,OVX",,,,0,0,0,2003
03IN00012,1998008202, 8202,00, 8202,98,2,88,1,30,L-6,312904,382404,.,,,,3,.,5,,156,0,0,,93,0602,.,,.,5.0,"HARDBAG, X",,,991,0,0,0,2003
03IN00013,1998008210, 8210,00, 8210,98,2,68,1,06,L-5,895863,774263,.,,,,1,.,1,,187,177,2,,,,G,51K,1,5.0,,,,,0,0,0,2003
03IN00014,1998008212, 8212,00, 8212,98,2,68,1,06,L-5,895863,584263,.,,,,1,.,5,,159,154,1,,12,1218,G,47,2,5.0,NICE,,,,0,0,0,2003
03IN00015,1998008217, 8217,00, 8217,98,2,18,1,07,L13,735910,387010,.,,,,B,G1B,5,,127,150,1,,93,0911,.,,.,5.0,ABN.UTERUS,,,,0,0,0,2003
03IN00016,1998008281, 8281,00, 8281,98,2,18,1,07,L12,674810,674910,.,,,,O,OVX,5,,190,0,0,X,,,.,O,O,5.0,"OVX,PROD",,2,,0,0,0,2003
03IN00017,1998008286, 8286,00, 8286,98,2,68,1,06,L-5,895863,768863,.,,,,1,.,1,,202,187,2,,,,G,52K,1,5.0,,,,,0,0,0,2003
03IN00018,1998008295, 8295,00, 8295,98,2,18,1,43,L13,735910,288110,.,,,,6,G1A,*,,0,0,0,,58,0402,.,,.,5.0,ABD.RUPTURE,,,,0,0,0,2003
03IN00019,1998008320, 8320,00, 8320,98,2,18,1,43,L11,752910, 57100,.,,,,1,G1B,4,,161,148,2,,,,., 4,2,5.0,PG inDRYS'03,,,,0,0,0,2003
03IN00020,1998008375, 8375,00, 8375,98,2,18,1,07,L15,712410,515700,.,,,,1,G1B,5,,151,174,1,,,,., 5,2,5.0,,,,,0,0,0,2003
03IN00021,1998008416, 8416,00, 8416,98,2,18,1,07,L18,714610,200200,.,,,,1,G1A,4,,145,174,2,,,,., 6,2,5.0,,,,,0,0,0,2003
03IN00022,1998008423, 8423,00, 8423,98,2,88,1,30,L-9,365604,886003,.,,,,1,.,1,,141,146,2,C,,,.,11P,1,5.0,,,,,0,0,0,2003
03IN00023,1998008436, 8436,00, 8436,98,2,18,1,43,L11,752910, 51200,.,,,,3,.,1,,166,142,12,,93,1022,.,,.,5.0,"X, BAG",,,4315,0,0,0,2003
03IN00024,1998008439, 8439,00, 8439,98,2,88,1,30,L-8,348004,266604,.,,,,1,.,1,,158,164,2,,,,.,11,3,5.0,,,,,0,0,0,2003
03IN00025,1998008441, 8441,00, 8441,98,2,18,1,43,L11,752910,101000,.,,,,1,.,2,,153,170,2,,,,.,31R,1,5.0,,,,,0,0,0,2003
03IN00026,1998008443, 8443,00, 8443,98,2,88,1,30,L-7,346704,257904,.,,,,1,.,2,,168,162,3,,,,.,12,3,5.0,TAG CUT '2002,,,,0,0,0,2003
03IN00027,1998008462, 8462,00, 8462,98,2,88,1,30,L-9,365604,385904,.,,,,1,.,2,,153,174,2,C,,,.,12P,1,5.0,,,,,0,0,0,2003
03IN00028,1998008479, 8479,00, 8479,98,2,18,1,07,L16,700310,   500,.,,,,6,.,*,,0,0,0,,01,0315,.,,.,5.0,,,,,0,0,0,2003
03IN00029,1998008492, 8492,00, 8492,98,2,18,1,07,L18,714610,911100,.,,,,1,G1A,5,,178,206,1,,,,., 7,2,5.0,,,,,0,0,0,2003
03IN00030,1998008504, 8504,00, 8504,98,2,18,1,07,L13,735910,145610,.,,,,1,G1B,4,,140,147,2,,,,., 8,2,5.0,,,,,0,0,0,2003
03IN00031,1998008516, 8516,00, 8516,98,2,88,1,30,L-7,346704,273004,.,,,,1,.,2,,178,152,3,,,,.,21,3,5.0,WORN TAG,,,,0,0,0,2003
03IN00032,1998008524, 8524,00, 8524,98,2,18,1,07,L14,677210,436310,.,,,,B,G1A,5,,145,166,1,,93,0911,.,,.,5.0,,,,,0,0,0,2003
03IN00033,1998008526, 8526,00, 8526,98,2,88,1,30,L-8,348004,846103,.,,,,3,.,2,,142,150,11,,93,1022,.,,.,5.0,"X,MASTITIS",,,4342,0,0,0,2003
03IN00034,1998008539, 8539,00, 8539,98,2,18,1,07,L13,735910,701810,.,,,,1,G1B,4,,141,168,1,,,,.,11,3,5.0,1TAG,,,,0,0,0,2003
03IN00035,1998008595, 8595,00, 8595,98,2,88,1,30,L-9,365604,323204,.,,,,1,.,1,,165,153,2,W,,,.,01P,1,5.0,,,,,0,0,0,2003
