UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
10IN02992,2009117476,R7476,11,R7476,09,2,,1,07,e15,R6183,11,R7323,11,,,,1,,D,,113,160,1,,,,,42,2,1.0,,,,0,1,,0.042,,2010
10IN02993,2009117802,R7802,11,R7802,09,2,,1,07,60,R6996,11,R5000,11,,,,1,,D,,127,158,1,,,,,63,2,1.0,,,,0,1,,0.041,,2010
10IN02994,2009117844,R7844,11,R7844,09,2,,1,07,58,R6683,11,R4592,11,,,,1,,D,,122,163,1,,,,,60,2,1.0,,,,0,1,,0.032,,2010
10IN02995,2009827557,X7557,82,X7557,09,2,,1,C3,3,X5177,82,K3933,64,,,,1,,2,,110,153,2,,,,,13,1,1.0,,,,0,5,,0.0,,2010
10IN02996,2009828218,X8218,82,X8218,09,2,,1,C3,e3, 5988,00,X6774,82,,,,1,,D,,110,167,1,,,,,13,1,1.0,,,,0,1,,0.0,,2010
10IN02997,2009827474,X7474,82,X7474,09,2,,1,C3,3,X5177,82,K3580,64,,,,1,,2,,119,139,2,,,,,13,1,1.0,,,,0,3,,0.0,,2010
10IN02998,2009827545,X7545,82,X7545,09,2,,1,C3,2, 7622,00,K4041,64,,,,1,,1,,102,132,2,,,,,13,1,1.0,,,,0,1,,0.0,,2010
10IN02999,2009827236,X7236,82,X7236,09,2,,1,C3,1, 7621,00,K3849,64,,,,1,,D,,126,178,1,,,,,13,1,1.0,,,,0,2,,0.0,,2010
10IN03000,2009827828,X7828,82,X7828,09,2,,1,C3,e3, 5988,00,X5883,82,,,,1,,2,,140,180,2,,,,,13,1,1.0,,,,0,2,,0.0,,2010
10IN03001,2009827773,X7773,82,X7773,09,2,,1,C3,2, 7622,00,K3446,64,,,,1,,1,,140,168,2,,,,,13,1,1.0,,,,0,5,,0.0,,2010
10IN03002,2009827359,X7359,82,X7359,09,2,,1,C3,3,X5177,82,K3731,64,,,,1,,2,,125,155,2,,,,,13,1,1.0,,,,0,1,,0.0,,2010
10IN03003,2009827404,X7404,82,X7404,09,2,,1,C3,1, 7621,00,K1824,64,,,,3,,H,,116,,,,97,0906,,,,1.0,Prolapse,,,0,1,,0.0,,2010
10IN03004,2009827293,X7293,82,X7293,09,2,,1,C3,2, 7622,00,K3652,64,,,,1,,D,,125,168,1,,,,,13,1,1.0,,,,0,5,,0.0,,2010
10IN03005,2009827316,X7316,82,X7316,09,2,,1,C3,1, 7621,00,K3725,64,,,,1,,D,,90,148,1,,,,,13,1,1.0,,,,0,1,,0.0,,2010
10IN03006,2009827754,X7754,82,X7754,09,2,,1,C3,e3, 5988,00,X6047,82,,,,1,,D,,114,168,1,,,,,13,1,1.0,,,,0,5,,0.0,,2010
10IN03007,2009054687,H4687,05,H4687,09,2,,1,30,51,H3215,05,H3727,05,,,,1,,H,,97,132,2,,,,,53,2,1.0,,,,0,1,,0.066,,2010
10IN03008,2009055194,H5194,05,H5194,09,2,,1,30,e19,H3039,05,H4049,05,,,,1,,2,,85,124,2,,,,,53,2,1.0,,,,0,1,,0.056,,2010
10IN03009,2009055231,H5231,05,H5231,09,2,,1,30,49,H2171,05,H3370,05,,,,1,,2,,113,156,2,,,,,52,2,1.0,,,,0,1,,0.055,,2010
