UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
09IN00001,2000000976,00976,00,00976,00,2,18,1,07,L35,S8667,10,S7789,10,0,,,7,.,,.,0,0,0,,97,0126,.,,,9.0,,Ramb,,0,1,,0.027,,2009
09IN00002,2000001161,01161,00,01161,00,2,18,1,07,L34,S7853,10,8680,00,0,,,3,.,1,.,146,180,2,,93,1008,.,,,9.0,MISSING?,Ramb,,9050,1,,0.026,,2009
09IN00003,2005003101,03101,00,03101,05,2,m3,1,m3,,03278,00,03030,00,0,,,1,III,D,.,164,190,1,,,,.,,,4.0,NE23-5031,marc,,0,5,NE23,0.0,AI-JA,2009
09IN00004,2005003178,03178,00,03178,05,2,m3,1,m3,,03183,00,03403,00,0,,,3,III,2,.,0,0,0,,,,.,,,4.0,NE23-5031,marc,,0,5,NE23,0.0,AI-JA,2009
09IN00005,2005003193,03193,00,03193,05,2,m3,1,m3,,03288,00,03760,00,0,,,1,III,2,.,137,174,1,,,,.,,,4.0,NE23-5031,marc,,0,5,NE23,0.0,AI-JA,2009
09IN00006,2003303022,03022,30,03022,03,2,00,2,33,FL-,K0000,64,A6732,04,7,,,1,RN,H,.,134,173,1,,,,X,,,5.5,BIGUD,CxP,,0,1,,0.0,,2009
09IN00007,2003303039,03039,30,03039,03,2,00,2,33,FL-,K0000,64,A3546,04,7,,,3,RN,D,.,148,0,0,,93,0504,X,,,5.5,LT,CxP,,8603,1,,0.0,,2009
09IN00008,2003303058,03058,30,03058,03,2,00,2,33,FL-,K0000,64,A8751,04,7,,,1,RN,H,.,159,190,1,,,,X,,,5.5,BIGUD,CxP,,0,1,,0.0,,2009
09IN00009,2003303060,03060,30,03060,03,2,00,2,33,FL-,K0000,64,A5606,04,7,,,1,RN,C,.,186,212,1,,,,X,,,5.5,,CxP,,0,1,,0.0,,2009
09IN00010,2003303083,03083,30,03083,03,2,00,2,33,FL-,K0000,64,A2884,04,7,,,1,RN,T,.,0,196,1,,,,X,,,5.5,,CxP,,0,1,,0.0,,2009
09IN00011,2003303085,03085,30,03085,03,2,00,2,33,FL-,K0000,64,A5320,04,7,,,1,RN,T,.,0,182,1,,,,X,,,5.5,,CxP,,0,1,,0.0,,2009
09IN00012,2003303160,03160,30,03160,03,2,00,2,33,FL-,K0000,64,A3952,04,7,,,O,OVX,D,.,0,213,1,,,,X,Ovx,O,5.5,LATEtoMIL,CxP,,0,1,,0.0,,2009
09IN00016,2001048236,A8236,04,A8236,01,2,84,1,30,52,A6853,04,A3564,04,0,,,3,.,1,.,129,152,2,,93,1008,.,,,8.0,NICE EWE,Poly,,8976,1,,0.033,,2009
09IN00017,2001048274,A8274,04,A8274,01,2,84,1,30,53,A6501,04,A3708,04,0,,,3,.,2,.,152,154,4,,93,1008,.,,,8.0,LEYE PROB CUL,Poly,,8958,1,,0.04,,2009
09IN00018,2001048283,A8283,04,A8283,01,2,81,1,30,04,A6970,04,A5050,04,0,,,3,Lww,2,.,149,170,2,,93,1008,.,,,8.0,,Poly,,8891,1,,0.072,,2009
09IN00019,2001048294,A8294,04,A8294,01,2,84,1,30,56,A6672,04,A3721,04,0,,,3,.,1,.,119,141,0,,93,1008,.,,,8.0,Ytex 2005,Poly,,8922,1,,0.024,,2009
09IN00020,2001048295,A8295,04,A8295,01,2,84,1,30,56,A6672,04,A3721,04,0,,,3,.,D,.,168,188,1,,93,1008,.,,,8.0,,Poly,,8970,1,,0.024,,2009
09IN00021,2001048394,A8394,04,A8394,01,2,82,1,30,27,A6220,04,A4327,04,0,,,3,Ctl,,.,0,0,0,,66,0331,.,,,8.0,"Preg tox, pbc",Poly,,0,1,,0.073,,2009
09IN00022,2001048404,A8404,04,A8404,01,2,82,1,30,27,A6220,04,A1503,04,0,,,3,Ctl,1,.,140,171,2,,93,1008,.,,,8.0,,Poly,,8919,1,,0.077,,2009
